node_id	best_path	gene_use
E75_Caudal_neurectoderm	E75_Caudal_neurectoderm,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	Sgk1,Car2,Fgf5,Utf1,Upp1,Irx3,Plpp3,Plpp4,Meis2,Cdx2,Gbx2,Hes3
E105_Chondrocyte_prog	E105_Chondrocyte_prog,E95_Chondrocyte_prog,E85_Paraxial_mesoderm_A,E825_Paraxial_mesoderm_A,E8_Paraxial_mesoderm_A,E775_Paraxial_mesoderm_A,E75_Paraxial_mesoderm_A,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Pou5f1,Tdgf1,Pmaip1,Eomes,Epcam,Prrx1,Tgfb2,Ptn,Hbb-bh1,Col2a1,Pax1,Pax9
E115_Branchial_arch_epithelium	E115_Branchial_arch_epithelium,E105_Branchial_arch_epithelium,E95_Branchial_arch_epithelium,E85_Placodal_area,E825_Surface_ectoderm,E8_Surface_ectoderm,E775_Surface_ectoderm,E75_Surface_ectoderm,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	Rbpms2,Utf1,Tdgf1,Anp32b,Pim2,Amotl1,Arid5b,Ece1,Hba-x,Ptn,Has2,Pax1,Pitx2
E105_Endothelium	E105_Endothelium,E95_Endothelium,E85_Endothelium,E825_Endothelium,E8_Endothelium,E775_Endothelium,E75_Haematoendothelial_prog,E725_Haematoendothelial_prog,E7_Haematoendothelial_prog,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Pou5f1,Set,Car14,Tdgf1,Bccip,Pecam1,Klhl4,Cdh5,Thsd1,Esam,Kdr
E135_Epidermis	E135_Epidermis,E125_Epidermis,E115_Epidermis,E105_Epidermis,E95_Epidermis,E85_Epidermis,E825_Surface_ectoderm,E8_Surface_ectoderm,E775_Surface_ectoderm,E75_Surface_ectoderm,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	Car14,Sall4,Nt5dc2,Pgk1,Fgf8,Wnt7b,Spats2l,Cxcl14,Svil,Nkain2,Slc1a3,Trp63,Epcam
E85_Spinal_cord	E85_Spinal_cord,E825_Spinal_cord,E8_Caudal_neurectoderm,E775_Caudal_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Utf1,2010111I01Rik,Sfn,Cldn7,Gstt2,Ptn,H2afy,Crabp2,Pknox2,Hoxb2,Foxb1,Pax6
E85_Placodal_area	E85_Placodal_area,E825_Surface_ectoderm,E8_Surface_ectoderm,E775_Surface_ectoderm,E75_Surface_ectoderm,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	Tmem238,Ina,Rbpms2,2010111I01Rik,Klf9,H2afy,Irx2,Hapln1,Dlk1,Stard10,Six1,Eya1
E115_Spinal_cord	E115_Spinal_cord,E105_Spinal_cord,E95_Spinal_cord,E85_Spinal_cord,E825_Spinal_cord,E8_Caudal_neurectoderm,E775_Caudal_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Rbpms2,Dnmt3b,Utf1,Hnrnpf,Tomm20,Fgfbp3,Igfbp5,Phyhipl,Plpp3,Sox9,Foxb1,Pax6,Crabp2
E115_Cardiomyocytes	E115_Cardiomyocytes,E105_Cardiomyocytes,E95_Cardiomyocytes,E85_Cardiomyocytes,E825_Cardiomyocytes,E8_Cardiomyocytes,E775_Cardiomyocytes,E75_Splanchnic_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Emb,Sall4,Lyar,Pou5f1,Srsf9,Hba-x,Tnnt2,Ankrd1,Nexn,Tpm1,Myl4,Myl7
E125_White_blood_cells	E125_White_blood_cells,E115_White_blood_cells,E105_White_blood_cells,E95_Blood_prog,E85_Blood_prog,E825_Blood_prog,E8_Blood_prog,E775_Blood_prog,E75_Blood_prog,E725_Blood_prog,E7_Haematoendothelial_prog,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Pou5f1,Rbpms2,Pkm,Tdgf1,Igf1,Ddx60,Adgrl4,Nfia,Plcl1,Ms4a4a,Apoe,Lyz2,Selenop,Ptprc,Ly86
