day	Anno	celltype	UMAP_1	UMAP_2	marker:Tnnt2	marker:Myl4	marker:Myl7	up:Bcl11a	up:Nfib	up:Nfia	up:Mecom	up:Tox	up:Foxp2	up:Sox5	up:Npas3	up:Nr3c1	up:Gli3	down:Nr6a1	down:Arid3b	down:Gata4	down:Lin28b	down:Lef1	down:Mef2c
E9.5	E95_First_heart_field	First_heart_field	0	-2.32	0	4.5	5.9	0	0	0	0	0	3.8	4.5	0	3.8	0	4.5	0	4.9	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-5.79	-4.34	0	4.2	0	0	4.9	0	0	0	4.2	5.3	0	0	0	4.2	0	4.2	0	0	5.6
E9.5	E95_First_heart_field	First_heart_field	-5.28	-2.11	0	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6	0	0	6
E9.5	E95_First_heart_field	First_heart_field	-7.07	-4.85	0	0	0	0	0	5.9	0	0	4.6	0	4.8	0	3.9	0	0	5.6	0	0	4.6
E9.5	E95_First_heart_field	First_heart_field	-5.97	-3.55	0	0	0	0	3.7	4.4	0	0	5.6	0	4.4	0	4.4	0	0	6.2	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-5.38	-2.19	0	3.7	0	0	0	0	0	0	5.7	0	0	0	3.7	0	0	5.7	4.3	3.7	4.3
E9.5	E95_First_heart_field	First_heart_field	-4.9	-3.75	4.4	0	0	0	0	0	0	0	5.1	0	0	0	0	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-5.07	-1.53	0	3.2	0	0	0	4.3	0	0	6.5	0	4.8	0	3.2	5.3	0	4.6	0	3.2	4.8
E9.5	E95_First_heart_field	First_heart_field	-1.58	4.06	0	0	0	0	0	0	0	0	0	0	0	0	4.8	0	5.9	0	4.8	0	0
E9.5	E95_First_heart_field	First_heart_field	-6.66	-3.68	0	5	5	0	0	5.4	0	0	4.3	0	4.3	0	0	0	5	5.7	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-4.68	-2.25	5.3	0	0	0	0	0	0	0	4.4	5.4	0	0	3.7	4.4	4.8	5.3	0	0	4.8
E9.5	E95_First_heart_field	First_heart_field	-5.82	-3.48	5.2	0	0	0	0	0	0	0	5.2	0	0	0	4.6	0	0	0	0	0	4.6
E9.5	E95_First_heart_field	First_heart_field	-4.47	-4.31	3.5	0	0	0	0	0	0	0	3.5	0	0	0	3.5	3.5	0	0	0	0	5.1
E9.5	E95_First_heart_field	First_heart_field	-7.04	-2.38	0	0	0	0	0	5.7	0	0	5	0	5	0	3.6	4.9	0	4.8	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-3.72	-0.84	3.9	0	0	0	0	0	0	0	5	3.9	0	3.9	0	0	4.6	5.5	3.9	0	4.8
E9.5	E95_First_heart_field	First_heart_field	-3.21	4.19	0	4.2	4.6	0	0	0	4.9	0	5.4	4.2	3.5	0	4.6	0	0	0	4.2	0	0
E9.5	E95_First_heart_field	First_heart_field	5.11	1.5	4.1	3.4	0	0	4.8	0	0	0	0	0	0	0	0	5	3.4	4.8	0	3.4	4.8
E9.5	E95_First_heart_field	First_heart_field	3.63	-3.88	4.4	4.4	0	0	0	5.1	3.7	0	0	0	0	0	0	0	0	0	0	3.7	0
E9.5	E95_First_heart_field	First_heart_field	6.04	1.7	4.2	0	0	0	0	0	0	0	0	0	3.5	0	3.5	5.1	0	4.2	0	3.5	4.9
E9.5	E95_First_heart_field	First_heart_field	4.13	-3.12	5.5	4.8	3.4	0	0	4.5	0	0	0	0	0	0	0	4.5	0	4.5	0	5	5.5
E9.5	E95_First_heart_field	First_heart_field	-5.94	-3	3.4	3.4	0	0	0	5.4	0	0	6	4.8	4.1	0	0	4.1	0	4.1	0	0	5.8
E9.5	E95_First_heart_field	First_heart_field	2.69	2.08	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	0	5.7
E9.5	E95_First_heart_field	First_heart_field	-2.2	3.62	4.9	0	0	0	4.2	0	0	0	4.9	0	0	0	4.2	0	4.2	0	4.9	0	0
