day	Anno	celltype	UMAP_1	UMAP_2	marker:Itga11	marker:Atp1a2	marker:Lamc3	marker:Epha7	up:Nfia	up:Zic4	up:Zic1	up:Zfpm2	up:Zfhx4	up:Prrx1	up:Mkx	up:Nr3c1	up:Zfhx3	up:Lmx1b	up:Prdm6	up:Msx1	up:Zic2	up:Zfp536	up:Nfat5	up:Thrb	up:Arid5b	up:Rora	up:Mta3	up:Klf6	up:Elf1	up:Rarb	up:Purg	up:Tshz3	up:Pbx3	up:Zfp950	up:Zfp423	up:Ppard	up:Zeb1	up:Hmbox1	up:Smad6	up:Tshz1	up:Nr2f1	up:Arnt	up:Pias1	up:Pou2f1	up:Aff1	up:Gli3	up:Rreb1	up:Zfp948	down:Ebf2	down:Dach1	down:Ebf3	down:Meis2	down:Pax9	down:Hmga2	down:Rere	down:Meis1	down:Sox6	down:Bbx	down:Tfdp2	down:Peg3	down:Smarcc1	down:Tcf7l1	down:E2f3	down:Pknox2	down:Tcf7l2	down:Meox2	down:Rfx3	down:Fli1	down:Sox11	down:Cux1	down:Etv6	down:Arid1b	down:Arid2	down:Whsc1	down:Smad3	down:D630045J12Rik	down:Tshz2	down:Zfp292	down:Foxn3	down:Baz2b	down:Twist2	down:Pbx1	down:Hivep2	down:Zfp207	down:Vezf1	down:Elk3
E9.5	E95_Chondrocyte_and_osteoblast_progenitors	Chondrocyte_and_osteoblast_progenitors	7.16	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3.3	0	0	0	4.4	0	4.4	0	0	4.4	0	0	0	0	0	0	0	4.4	0	0	4	6.9	4.4	0	0	5.8	4.7	0	4	0	3.3	4	0	0	4	4.9	4	0	3.3	0	0	0	0	3.3	3.3	4	0	4	3.3	4	0	4.7	0	5.1	0	3.3	3.3	0
E9.5	E95_Chondrocyte_and_osteoblast_progenitors	Chondrocyte_and_osteoblast_progenitors	-0.27	0.59	0	0	0	5.4	0	0	0	0	4.3	0	0	0	4.3	0	0	0	0	0	4.3	0	0	0	0	0	0	0	0	0	0	0	5.9	0	5	0	0	0	4.3	0	0	0	0	0	0	0	0	0	5	5.4	0	5.4	5	4.3	0	0	0	5	0	0	5.7	0	4.3	0	5	4.3	4.3	4.3	4.3	0	5	5	0	4.3	0	0	0	4.3	0	0	0	4.3	0	0
E9.5	E95_Chondrocyte_and_osteoblast_progenitors	Chondrocyte_and_osteoblast_progenitors	-1.6	2.43	0	0	0	5.4	0	3.3	3.3	0	3.9	0	0	4.3	3.3	0	0	0	0	0	3.3	0	0	4.3	0	3.3	0	0	0	0	4.3	0	4.6	0	4.8	4.3	0	4.3	0	3.3	0	4.3	0	3.3	4.3	0	0	5.6	3.9	5.9	0	3.9	5.6	0	5.3	4.6	3.3	0	3.9	3.9	4.8	5.3	3.3	0	3.9	4.3	0	3.9	4.6	4.6	3.3	0	4.8	0	0	4.6	4.3	5.3	4.6	5.3	0	5	0	0
E9.5	E95_Chondrocyte_and_osteoblast_progenitors	Chondrocyte_and_osteoblast_progenitors	7.18	0.72	0	0	0	0	0	0	0	5.3	4.6	0	0	0	0	4.6	0	0	0	0	0	0	0	0	0	0	0	4.6	0	0	6.2	0	5.3	0	0	0	0	0	0	0	4.6	0	0	6.2	0	0	0	5.3	0	0	0	5.3	0	0	0	5.3	0	0	5.3	0	6	0	0	0	0	0	4.6	0	0	0	0	5.3	0	0	0	5.3	0	5.3	0	6	0	0	0	0
E9.5	E95_Chondrocyte_and_osteoblast_progenitors	Chondrocyte_and_osteoblast_progenitors	-0.79	2.51	0	0	0	4.8	0	0	0	0	4.1	0	0	0	0	0	0	0	0	0	0	0	0	4.1	0	0	0	0	0	0	5.2	0	0	0	4.8	0	0	4.8	4.1	0	0	0	0	0	4.1	0	4.8	6.1	4.1	6.2	0	5.5	6.1	4.8	5.7	0	0	0	4.8	4.1	4.8	5.2	4.1	5.2	4.1	0	4.8	4.1	0	4.1	5.2	0	0	0	4.1	0	0	5.5	0	5.9	4.8	4.1	0	4.1
E9.5	E95_Chondrocyte_and_osteoblast_progenitors	Chondrocyte_and_osteoblast_progenitors	3.8	0.1	0	0	0	0	0	0	0	0	0	0	0	0	4.3	0	0	0	0	4.3	0	0	0	0	0	4.3	0	0	0	0	0	0	5	0	0	0	0	4.3	0	0	0	0	0	4.3	0	0	4.3	0	5.9	5.9	0	4.3	4.3	0	5	0	4.3	0	0	5.4	0	0	0	0	4.3	4.3	0	5	5.4	4.3	0	0	0	5	5	0	0	4.3	0	5.4	0	4.3	0	0
E9.5	E95_Chondrocyte_and_osteoblast_progenitors	Chondrocyte_and_osteoblast_progenitors	4.27	-0.59	0	0	0	5.2	0	0	0	4.5	4.5	0	0	0	0	0	0	0	0	0	4.5	0	0	4.5	0	0	0	0	4.5	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	5.6	0	4.5	5.6	0	0	0	0	4.5	5.2	0	5.8	0	0	0	4.5	6.1	4.5	4.5	5.2	0	0	0	5.2	0	0	4.5	0	0	0	0	0	0	0	0	0	6.1	0	5.2	0	0
E9.5	E95_Chondrocyte_and_osteoblast_progenitors	Chondrocyte_and_osteoblast_progenitors	3.32	2.79	0	0	0	0	0	0	0	3.5	3.5	0	0	0	3.5	0	0	0	0	5.1	3.5	0	0	3.5	0	0	0	0	0	0	4.2	0	3.5	0	0	0	4.2	0	0	0	0	0	0	0	0	0	4.9	4.2	0	4.9	0	4.9	4.6	0	0	3.5	0	4.2	5.3	4.2	0	5.1	0	0	4.9	3.5	4.9	3.5	0	4.2	4.2	5.3	0	0	0	3.5	4.9	4.2	3.5	5.6	0	4.2	0	0
E9.5	E95_Chondrocyte_and_osteoblast_progenitors	Chondrocyte_and_osteoblast_progenitors	5.12	-0.53	0	0	0	4.1	0	0	0	4.1	0	0	0	0	0	0	0	0	0	3.5	3.5	0	0	4.1	0	0	0	0	0	0	3.5	0	0	0	4.5	0	0	3.5	0	0	3.5	4.1	0	0	0	0	4.1	5.5	4.1	5	0	5.2	4.1	0	5	0	3.5	4.1	0	4.5	4.1	5	3.5	0	5.6	3.5	0	4.1	4.5	0	4.5	4.1	0	0	4.5	0	5	4.1	0	4.5	3.5	3.5	0	0
E9.5	E95_Chondrocyte_and_osteoblast_progenitors	Chondrocyte_and_osteoblast_progenitors	-1.66	1.06	0	0	4.2	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2	0	4.2	4.9	0	4.2	4.9	0	4.2	0	0	0	0	0	0	4.2	0	6	0	0	5.3	0	0	0	4.2	0	5.3	4.9	0	4.9	4.2	0	0	0	0	0	4.2	0	0	4.2	4.2	0	4.9	4.9	0	0	0	4.2	0	0	0	0
