day	Anno	celltype	UMAP_1	UMAP_2	down:Trps1	down:Maf	down:Tcf7l2	down:Hivep3	down:Mef2c	down:Zfp608
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.17	-4.06	0	0	0	0	5.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.81	-5.7	0	0	0	0	4.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.2	5.77	5.2	0	5	4.7	5	5
E9.5	E95_Blood_progenitors	Blood_progenitors	0.67	4.22	4.2	0	0	0	6.1	4.9
E9.5	E95_Blood_progenitors	Blood_progenitors	2.81	-2.77	0	0	4	0	0	5.1
E9.5	E95_Blood_progenitors	Blood_progenitors	-4.83	-7.33	0	0	0	0	6.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.72	2.43	5	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.57	-2.66	0	0	0	0	4.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.56	-6.41	0	0	0	0	4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.14	4.13	0	4.3	5	0	6.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.16	-2.89	4.2	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.97	3.17	0	0	0	0	6.1	4.7
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.01	-3.77	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.12	3.02	5.3	5.3	5.3	0	6	5.3
E9.5	E95_Blood_progenitors	Blood_progenitors	3.1	-0.05	5.7	0	0	0	6.6	5
E9.5	E95_Blood_progenitors	Blood_progenitors	3.29	0.94	5.6	4.5	4.5	4.5	5.6	4.5
E9.5	E95_Blood_progenitors	Blood_progenitors	-2.14	-6.52	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.63	0.63	4.7	5.3	0	0	5.3	4.7
E9.5	E95_Blood_progenitors	Blood_progenitors	2.99	0.97	6.1	0	4.5	0	6.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.3	-4.7	0	0	0	0	5.3	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.59	1.33	5.3	0	5.7	0	5.3	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.26	-4.16	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.67	0.46	5.9	0	0	0	5.9	4.5
E9.5	E95_Blood_progenitors	Blood_progenitors	-1.71	5.92	4.7	0	5.4	0	4.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.18	0.78	0	0	0	0	6.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.01	-4.72	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-7.4	-5.71	0	0	0	0	5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	4.28	-0.53	4.1	0	0	0	5.2	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.08	0.12	0	0	0	0	5.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-4.25	-5.36	0	0	0	0	5.9	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-7.05	-4.97	0	0	0	0	5.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.23	-3.62	0	0	0	0	5.3	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-1.13	2.95	5.2	0	0	5.9	6.3	5.2
E9.5	E95_Blood_progenitors	Blood_progenitors	3.81	1.04	5.6	0	4.5	4.5	6.8	4.5
E9.5	E95_Blood_progenitors	Blood_progenitors	2.71	-1.85	0	0	0	0	4.2	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.01	0.13	0	0	0	0	6.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.35	-3.62	0	0	0	0	5.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.12	0.26	0	0	0	0	6.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-4.41	-6.85	0	0	0	0	5.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.2	4.49	5.3	0	0	0	6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.79	-0.03	0	0	0	0	5.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.39	-5.16	0	0	0	0	4.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.87	1.12	4.8	4.8	0	0	4.8	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-3.92	-7.33	0	0	0	0	5.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.41	-6.77	0	0	0	0	6.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.97	-3.19	0	0	0	0	5.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.76	7.07	5.8	0	3.9	3.9	4.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	4.09	-0.25	3.9	0	3.9	4.6	5.5	3.9
E9.5	E95_Blood_progenitors	Blood_progenitors	3.22	-3.12	0	0	0	0	5.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.59	-6.61	0	0	0	0	5.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.1	-0.71	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.79	-5.51	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.02	-4.26	4.5	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.98	2.11	0	0	0	0	6.6	0
E9.5	E95_Blood_progenitors	Blood_progenitors	3.68	-3.59	5.5	0	0	0	4.2	4.9
E9.5	E95_Blood_progenitors	Blood_progenitors	-7.21	-6.4	0	0	0	0	0	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.2	0.58	5.2	0	0	0	6.3	0
E9.5	E95_Blood_progenitors	Blood_progenitors	0.21	-0.6	0	0	0	0	5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	2.78	0.29	5.5	4.8	0	0	7.1	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.36	0.46	6.2	0	0	0	6.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	1.99	1.05	0	0	0	0	6.5	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-7.39	-6.33	0	0	0	0	5.4	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.28	-6.89	0	0	0	0	4.8	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-5.3	-5.43	0	3.6	0	0	5.2	3.6
E9.5	E95_Blood_progenitors	Blood_progenitors	-6.74	-6.98	0	0	0	0	5.8	4.4
E9.5	E95_Blood_progenitors	Blood_progenitors	3.42	0.42	4.8	0	0	0	6.7	4.8
E9.5	E95_Blood_progenitors	Blood_progenitors	3.19	-0.58	5.2	0	0	0	5.9	0
E9.5	E95_Blood_progenitors	Blood_progenitors	-0.8	1.52	0	0	5.3	5.3	6.7	0
E9.5	E95_Blood_progenitors	Blood_progenitors	4.41	-0.06	4.9	0	4.9	4.9	6.3	4.9
E9.5	E95_Blood_progenitors	Blood_progenitors	3.65	0.24	4.2	0	0	0	6	0
