day	Anno	celltype	UMAP_1	UMAP_2	marker:Fstl5	marker:Dscaml1	marker:Lhx2	up:Myt1l	up:Uncx	up:Ebf2	up:Aff3	up:Emx2	up:Nfib	up:Tshz1	up:Ncoa1	up:Fezf1	up:Klf12	up:Pbx1	up:Ebf3	up:Tshz3	up:Zfp608	up:Lcorl	up:Mxi1	up:Foxo6	up:St18	up:Mbd2	up:Foxp1	up:Arid5b	down:Zeb2	down:Setbp1	down:Isl1	down:Pou4f1	down:Zeb1	down:Meis2	down:Tcf4	down:Rora	down:Onecut1	down:Foxn3	down:Neurod1	down:Nr2f2
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.09	2.89	0	0	0	0	0	4.9	3.5	0	3.5	0	0	0	4.9	0	0	0	4.6	0	0	0	0	0	0	0	4.2	5.4	0	0	4.9	5.9	4.9	0	0	4.2	4.6	5.1
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	1.41	1.96	0	4.9	0	0	0	4.9	0	0	5.5	0	0	0	0	5.5	0	0	5.9	0	0	0	0	0	0	0	0	5.5	5.5	0	5.9	6.2	4.9	0	0	0	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-3.61	3.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	4.8	0	0	0	0	0	0	4.8	0	0	4.8	5.9	0	0	0	0	6.2	5.5
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	1.1	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7	0	0	5.1	0	0	0	0	5.7	0	6.4
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-3.33	4.45	0	0	0	0	0	4.9	4.2	0	0	0	0	0	0	5.5	4.2	0	0	0	0	0	0	0	4.2	0	0	6.6	4.2	0	0	5.8	4.9	4.2	0	4.2	4.2	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	1.42	1.56	0	0	0	0	0	4.8	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	4.8	0	0	0	0	0	4.8	0	6.2	0	0	0	0	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-5.34	5.44	0	4.6	0	0	0	5	5.7	0	0	0	0	0	0	5.3	5.3	3.9	5.5	5	0	0	6.1	0	4.6	0	5.5	6.4	5.3	0	0	6	5.7	3.9	0	5	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.58	5.83	0	4.7	0	0	0	4	6.4	0	0	4	0	0	0	0	0	0	6	4.7	0	0	4.7	0	4	0	5.4	5.1	0	4	5.4	0	6	4	0	5.1	4.7	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.36	2.08	0	0	0	0	0	0	4.7	0	0	0	0	0	0	6.1	0	0	0	6.1	0	0	0	0	5.4	0	0	6.1	4.7	0	5.4	5.8	4.7	0	4.7	0	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	3.79	3.06	0	0	0	0	0	0	5.4	0	0	0	0	0	0	5.4	0	0	0	4.7	0	0	0	0	0	4.7	5.4	6.1	0	5.4	5.4	5.4	0	4.7	0	0	0	4.7
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	4.45	2.18	0	0	0	0	0	4.9	5.3	0	0	0	0	0	0	0	0	0	4.9	4.9	0	0	0	4.2	5.3	0	6	5.6	0	0	4.9	0	5.6	5.3	4.2	5.3	0	5.3
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	3.72	0.76	0	0	0	0	0	4.8	0	0	0	0	0	0	0	6.1	4.8	0	0	5.5	0	0	0	0	4.1	0	6.3	7.1	4.8	0	6.4	6.2	5.5	0	0	0	5.2	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.76	6.9	0	5.9	0	0	0	0	5.5	0	0	5.9	0	0	0	0	0	0	0	4.8	0	0	0	0	5.9	0	0	5.9	0	0	5.9	0	4.8	5.5	0	0	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-3.12	3.51	0	0	0	0	0	6.1	6.1	0	5.8	0	0	0	0	4.7	5.4	0	0	0	4.7	0	0	0	5.8	0	4.7	6.7	0	0	4.7	5.8	5.4	6.3	0	0	0	0
