day	Anno	celltype	UMAP_1	UMAP_2	Casz1	Epha6	Mecom	Mitf	Oca2	Pou2f2	Rora	Rorb	Sox6	Trpm1	Trpm3	Tyr	Vsx2	Zfp385b	Zmat4
E10.5	E105_Retina_primordium	Retina_primordium	-2.87	-4.67	0	0	0	5.3	0	0	5.3	0	0	0	0	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	-4.82	-5.65	0	0	0	0	0	0	5.3	0	5.3	0	6	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	1.28	-0.08	0	5	0	0	0	0	5.7	0	0	5	5	0	5	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.4	0.01	0	5.3	0	6.4	0	0	5.3	0	5.3	0	6.7	6.7	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.25	-0.88	0	0	0	4.9	5.8	0	5.6	0	5.3	5.3	7.1	6.1	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.37	-1.93	0	0	0	6.6	0	0	6.3	0	5.9	0	6.6	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.64	1.76	0	4	0	6.5	6.5	0	6.4	5.8	4	5.9	7.4	4.7	0	4	4.7
E10.5	E105_Retina_primordium	Retina_primordium	6.41	0.49	0	0	0	6.4	5.7	0	5	5	6.1	5	6.6	5.7	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.53	1.77	0	0	0	6.6	0	0	5.6	0	4.9	5.3	7.1	6.3	0	5.6	5.3
E10.5	E105_Retina_primordium	Retina_primordium	7	-0.13	0	0	0	6.4	4.8	0	6.4	0	5.5	4.8	6.2	6.2	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	2.2	-2.38	0	0	0	5.3	0	0	4.6	5.3	4.6	4.6	6.2	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.16	-0.22	0	0	0	0	0	0	6.3	0	0	0	6.8	5.2	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	4.78	-1.87	0	0	0	5.8	0	0	4.7	0	5.4	0	4.7	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.55	-0.96	0	0	0	4.4	0	0	0	0	4.4	4.4	6.4	5.5	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.8	0.92	0	4.4	5	5.7	6.3	0	6.1	0	5	0	7.3	6	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.58	-1.79	0	0	0	5	0	0	0	0	4.3	0	6.3	0	0	0	4.3
E10.5	E105_Retina_primordium	Retina_primordium	2.8	-1.34	0	0	0	0	0	0	0	4.9	6.4	4.9	6	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.65	0.14	0	0	0	6.7	5.9	0	5.9	0	4.8	4.8	7.3	4.8	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	2.69	-1.51	0	0	0	0	0	0	0	0	5.6	0	6	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	-4.33	2.71	0	5.1	0	0	0	0	0	5.8	0	5.1	5.8	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.38	1.87	0	0	0	5.3	5.3	0	0	0	5.3	5.3	7.1	5.3	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	0.24	0.75	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	4.68	1.02	0	0	0	5.1	0	0	5.1	0	5.8	0	5.8	5.1	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	1.74	-1.77	0	0	0	5.7	0	0	0	5.5	4.4	4.4	5.5	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.48	-0.79	0	4.9	0	5.6	5.6	0	6	0	5.6	6	6.3	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.57	-0.84	0	0	0	6.4	0	0	5.3	0	0	0	7.1	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.19	-1.75	0	0	0	5.7	0	0	0	5	5	5.7	6.9	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.11	0.59	0	0	4.6	0	5.3	0	6.2	5.3	4.6	4.6	7.4	0	0	5.3	0
E10.5	E105_Retina_primordium	Retina_primordium	7.44	-0.91	0	0	0	6.5	6.3	0	0	4.9	0	0	6.8	6.3	0	4.9	0
E10.5	E105_Retina_primordium	Retina_primordium	5.24	0.89	0	0	0	6.1	5.8	0	6.6	0	0	5.4	7.2	4.7	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.23	-0.82	0	0	0	5.9	0	0	5.5	4.2	4.2	4.9	6.2	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.94	2.29	0	4.4	0	6	0	0	4.4	0	4.4	0	6.5	0	0	4.4	5.1
E10.5	E105_Retina_primordium	Retina_primordium	4.95	-0.59	0	0	0	6.1	0	0	6.1	0	5	0	6.8	0	0	5	0
