day	Anno	celltype	UMAP_1	UMAP_2	down:Trp63	down:Sox6	down:Nr2f2	down:Sox5	down:Foxp2	down:Lef1	down:Bnc2	down:Bach2	down:Mbnl2	down:Nr3c1	down:Dach2	down:Rarb	down:Meis2	down:Foxp4	down:Foxp1
E8.5	E85_Placodal_area	Placodal_area	-1.78	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	2.2
E8.5	E85_Placodal_area	Placodal_area	7.58	6.45	1.5	0	0	0	0	2.9	0	0	1.5	0	0	0	2	1.5	2.7
E8.5	E85_Placodal_area	Placodal_area	2.25	-4.1	0	0	2	0	0	2	0	0	0	0	0	0	3.5	0	2
E8.5	E85_Placodal_area	Placodal_area	0.94	-2.57	0	0	0	0	0	0	0	0	0	0	0	2.8	3.5	0	0
E8.5	E85_Placodal_area	Placodal_area	5.33	4.65	0	0	0	0	0	2.2	0	0	2.2	0	0	0	3	0	2.2
E8.5	E85_Placodal_area	Placodal_area	3.78	-2.38	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	2.6
E8.5	E85_Placodal_area	Placodal_area	0.71	-1.26	0	1.7	2.3	0	0	1.7	0	0	2.7	0	0	1.7	3	1.7	0
E8.5	E85_Placodal_area	Placodal_area	5.87	4.71	0	0	1.7	0	0	0	0	1.7	0	0	0	0	3.2	1.7	0
E8.5	E85_Placodal_area	Placodal_area	-0.85	-3.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
E8.5	E85_Placodal_area	Placodal_area	1.81	-5.4	0	0	0	1.8	0	0	0	0	0	0	0	0	2.4	0	0
E8.5	E85_Placodal_area	Placodal_area	0.01	-1.76	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0	2.1
E8.5	E85_Placodal_area	Placodal_area	-0.81	0.32	0	0	1.6	0	0	0	0	0	0	0	0	1.6	3.3	1.6	1.6
E8.5	E85_Placodal_area	Placodal_area	7.52	5.32	0	0	0	0	0	0	0	0	0	0	0	0	1.8	1.8	1.8
E8.5	E85_Placodal_area	Placodal_area	-2.27	1.94	0	0	0	0	0	2.4	0	0	0	0	0	0	2.8	0	1.8
E8.5	E85_Placodal_area	Placodal_area	-0.73	-0.57	1.6	0	0	0	0	1.6	0	0	0	0	0	0	3.7	0	2.6
E8.5	E85_Placodal_area	Placodal_area	0.84	-1.85	0	0	1.8	0	0	0	0	0	0	0	0	0	1.8	0	0
E8.5	E85_Placodal_area	Placodal_area	0.53	-6.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
