day	Anno	celltype	UMAP_1	UMAP_2	Car10	Hivep3	Jazf1	Ntng1	Pou6f2	Tshz2	Zfp804b
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	2.27	0.99	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	2.47	4.33	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.72	6.73	0	3.8	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-6.61	-1.61	5.9	0	3.9	3.9	4.6	5	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.48	-3.2	0	3.6	3.6	0	4.7	4.9	4.9
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-3.07	-6.78	0	3.8	3.8	0	0	3.8	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-5.13	-2.49	0	0	5.2	0	0	5.2	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	6.18	-1.05	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	3.65	4.32	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.59	-5.54	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.45	-3.08	0	0	0	4.5	0	5.1	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.06	-4.82	0	0	3.8	6.4	0	5.4	3.8
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	4.68	-5.12	0	0	5	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	0.18	2.57	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.37	1.1	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.61	1.84	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.14	-3.09	5	3.7	4.7	0	5	5	5.2
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.47	0.69	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.74	1.33	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	2.03	-2.75	0	4.3	5	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.6	5.52	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	2.95	-5.91	0	0	4.5	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.72	-1.04	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	3.29	-5.91	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.98	-0.04	0	0	4.5	0	0	5.8	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.13	-2.93	0	0	4.6	0	4.6	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.76	-1.94	0	0	0	3.7	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.01	0.15	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.36	2.54	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.77	2.13	0	0	0	0	0	5.6	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.38	-2.17	0	0	0	0	3.9	3.9	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.86	4.07	0	0	4	4	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-6.23	1.47	7.2	0	4.9	0	0	6.3	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.66	2.64	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.35	5.75	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.2	-3.76	0	0	4.5	4.5	0	5.2	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.54	1.55	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.35	-0.25	0	0	0	0	5.9	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.56	2.24	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	0.3	0.84	0	0	0	0	5.1	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-4.13	2.54	0	5	0	0	0	5	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.07	0.4	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.95	0.61	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.14	-0.44	0	0	0	4.2	0	4.2	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.01	0.67	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.82	1.08	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	2.13	4.89	0	0	0	0	0	4.7	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.11	2.89	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.74	0.21	4	0	4	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.26	5.48	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.19	-1.57	6.4	0	0	0	0	4.4	5.5
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	2.88	5.88	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	3.02	-5.62	0	0	0	6.3	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	6.76	-2.43	0	0	4.8	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.34	-1.08	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-4.36	-1.97	5.1	0	5.1	0	5.1	6.5	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.4	1	0	0	4.7	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	4.05	4.17	0	0	0	0	5.8	4.7	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.95	5.67	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.46	0.64	0	0	0	0	5.5	5.1	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	6.28	3.27	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	0.79	3.68	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-6.57	-1.01	5.6	4.9	4.9	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.7	1.55	0	0	5.2	0	5.9	5.9	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.07	-3.57	0	0	4.6	0	0	4.6	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-4.49	2.61	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	0.68	-5.76	5.6	0	4	0	4	5.1	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	2.18	6.86	0	0	4.2	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	2.93	1.2	0	0	5	4.3	0	4.3	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-4.97	-2.38	0	0	0	0	0	5.8	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.57	2.78	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	0.12	-6.19	5.6	0	5.1	0	0	5.6	0
