day	Anno	celltype	UMAP_1	UMAP_2	marker:Rorb	marker:Trpm3	marker:Epha6	up:Tox	up:Casz1	up:Vsx2	up:Mecom	up:Pou2f2	up:Meis1	up:Dach1	up:Zbtb16	up:Myb	up:Plagl1	up:Zfpm2	up:Npas3	up:Rax	up:Baz2b	up:Zfhx4	up:Zfp532	up:Tbx3	up:Zeb2	down:Mitf	down:Sox5	down:Pax2	down:Sox6	down:Pbx3	down:Otx2	down:Prdm16	down:Meis2	down:Nr2f2
E10.5	E105_Retinal_primordium	Retinal_primordium	5.96	0.31	0	6.4	0	0	0	0	0	0	5.7	0	0	0	0	0	4.6	0	5.3	0	0	0	5.3	6.2	0	0	5.7	7	0	5.3	5.3	0
E10.5	E105_Retinal_primordium	Retinal_primordium	0.79	1.14	0	6.6	5.3	0	0	0	0	0	5.8	7.1	0	0	0	0	3.9	0	5.3	3.9	3.9	0	0	3.9	0	0	4.6	6.1	3.9	0	5.5	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-3.97	0.03	0	5.7	0	6	0	0	4.6	4.6	5.3	6.9	6.2	0	0	0	5.3	5.3	4.6	5.3	0	4.6	6	0	0	0	0	0	0	0	5.3	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-2.2	-1.78	5.5	0	4.8	0	4.8	0	4.8	0	5.5	4.8	0	0	0	0	0	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	3.06	-2.45	0	4.1	0	0	0	0	0	0	6.4	5.2	0	0	0	0	0	0	5.7	0	0	0	0	4.1	5.8	0	5.4	4.8	0	0	6	0
E10.5	E105_Retinal_primordium	Retinal_primordium	5.49	-0.22	0	5.5	0	0	0	0	0	0	0	5.5	0	0	4.2	0	4.2	0	4.8	0	0	0	0	5.2	4.8	5.2	6.2	7.1	5.2	5.8	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-3.25	2.78	0	6	6.2	5.4	0	0	6.3	3.8	5.4	6.4	0	0	0	0	3.8	0	4.9	3.8	4.5	3.8	3.8	3.8	5.2	0	3.8	5.4	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	3.13	-0.02	5.2	6.1	0	5	0	0	0	0	5	5.5	3.6	0	0	0	0	0	5.2	3.6	3.6	0	0	3.6	0	0	6.7	4.7	4.3	0	5.9	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-3.59	-1.51	6	4.7	4	5.9	0	4.7	4	4	4.7	5.6	5.6	0	4.7	0	5.1	0	5.1	0	4	0	5.1	0	4	4	4	5.1	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	1.24	-4.08	5.1	0	0	0	4.4	0	0	0	0	0	0	0	0	0	0	0	5.5	5.8	0	0	0	0	6.5	4.4	0	5.5	0	0	0	0
