day	Anno	celltype	UMAP_1	UMAP_2	marker:Pcdh15	marker:Sox6	up:Zfpm2	up:Sox6	up:Myt1	up:Etv1	up:Olig1	up:Sox10	down:Pax3	down:Gli3	down:Setbp1	down:Meis1
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-0.44	3.36	0	5.2	0	5.2	0	0	0	0	0	0	0	0
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	0.11	4.61	0	6.5	6.2	6.5	0	0	0	0	0	0	5.2	0
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-0.57	2.63	0	0	0	0	0	0	0	0	0	0	0	6.4
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-4.65	1.83	0	5.6	4.9	5.6	0	0	0	0	0	4.9	6.3	0
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	0.41	-0.77	0	0	0	0	0	0	0	0	5	0	0	5
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	0.48	0.1	0	0	0	0	4.5	0	0	0	4.5	0	6.2	0
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-2.52	-0.25	0	0	0	0	0	0	0	0	0	0	5	0
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-3.99	-0.49	0	4.1	0	4.1	0	0	0	0	5.5	4.8	5.9	4.8
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-1.99	3.38	0	6.1	4.8	6.1	0	0	0	0	0	4.8	0	5.4
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-0.36	-1.32	0	0	5.5	0	0	0	0	0	6.8	0	6.8	6.5
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	2.23	3.46	0	5.2	4.5	5.2	0	0	0	0	0	0	5.6	4.5
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-1.58	-2.15	0	0	0	0	0	0	0	0	5.4	0	6.1	5.8
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-4.98	0.09	0	0	0	0	0	0	0	0	5.7	6.2	4.3	4.3
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	0.76	4.22	4.5	5.9	0	5.9	0	0	0	0	0	0	6.1	0
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-1.44	0.81	4.5	5.2	0	5.2	0	0	0	0	0	5.2	5.2	0
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-2.92	-0.33	0	5.5	0	5.5	0	0	0	0	0	0	5.5	6.1
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-0.26	3.94	0	0	0	0	0	0	0	0	0	4.8	5.5	0
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-5.21	1.35	0	0	0	0	0	0	0	0	0	4.9	4.9	4.9
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-0.06	6.47	0	6.3	4.9	6.3	0	0	0	0	0	0	4.9	0
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-0.41	4.65	0	0	0	0	0	0	0	0	0	0	5.5	5.5
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-2.98	1.03	0	5.1	0	5.1	0	0	0	0	5.8	0	5.8	5.1
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	0.17	4.41	0	5.1	0	5.1	0	0	0	0	0	0	6.2	5.7
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-5.47	0.81	0	0	0	0	0	0	0	0	5	5.4	5.4	5.4
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-1.97	2.73	0	5.1	0	5.1	0	0	0	0	5.1	5.1	0	0
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-0.8	-0.49	0	0	0	0	0	0	0	0	0	4.3	6.6	5.4
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-3.34	4.22	0	5.8	0	5.8	0	0	0	0	0	0	4.7	4.7
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-0.8	4.01	0	5.6	0	5.6	0	0	0	0	0	0	5.6	4.5
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-0.43	-5.23	0	0	0	0	0	4.9	0	0	0	0	6	0
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-0.23	1.75	0	6.2	0	6.2	0	0	0	0	0	5.5	5.5	0
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-3.32	-0.27	0	5.3	0	5.3	0	0	0	0	0	3.9	5	4.6
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-4.97	-0.46	0	4.8	0	4.8	0	0	0	0	4.8	4.8	5.4	5.4
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-2.45	-1.52	0	4.6	0	4.6	0	0	0	0	5.7	5.3	6.6	6
E11.5	E115_Spinal_cord_ventral	Spinal_cord_ventral	-1.42	-1.18	0	5.8	0	5.8	0	0	0	0	6.2	5.7	6.6	3.9
