day	Anno	celltype	UMAP_1	UMAP_2	Apoa2	Apoe	Arid3c	Creb3l3	Gli3	Hand1	Lamb1	Lhx1	Myc	Sparc	Srebf2	Tfap2c	Ttr	Zic3
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-3.66	-2.83	0	4.6	0	0	0	1.3	6.1	0	2.8	7	1.8	0	1.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.54	-0.59	1.7	6.8	3.1	2.7	0	2.7	3.5	0.4	2.4	4.9	4.1	2.2	5.5	3.4
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-3.82	-1.58	0	7	0.3	1.3	0	2.3	5.3	0	2	7	3.7	1.6	4.7	2.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.76	-0.74	0	6.7	0.4	3.6	0	1.9	3.6	0.9	1.5	5.3	4	1	4.5	3.5
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-2.55	-1.96	0	5.6	0	0	0.2	0.8	5.9	0	0.1	6.7	3.2	1.4	2.2	0.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.2	-1.13	0	6.6	2.1	1.9	0	2	3.2	0.9	1.4	5.3	3.6	1.9	4.5	3.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.19	-0.5	0.7	7	1.7	3.4	0	0.8	3.8	2.8	0	5.6	3.6	0.1	5.3	2.8
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-3.61	-2.44	0	5.9	0	0	0	1.8	6.5	0	0	7.5	1.9	0.9	1.5	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-2.16	-2.76	0	4.2	0	0	0	3.1	5.8	0	3.1	6.9	2.6	2.7	2.2	2.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.3	-0.96	0	6.8	1.7	1.2	0	1	2.8	2.7	0	5.2	3.5	0.1	5.4	3.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.42	-0.22	1.2	7.3	2.4	3.1	0	1.6	3.8	0.2	2	5.5	3.7	2.3	5.7	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.58	-1.81	0	6.6	2.2	1.9	0	3.9	3.7	1.5	2.5	5	3.4	3.6	5.3	2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.16	-1.59	1.6	6.6	1.3	1.9	0.3	3	3	1.6	1.8	4.9	3.8	2.7	5.4	3.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.85	-2.1	1.1	6.9	2.9	1.3	0	1.2	3.8	3.1	1.4	5	3.8	1	5.1	3.3
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-2.99	-1.66	0	6.9	0	0	0	2.6	5.7	0	2	6.5	3.4	2.7	4.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.44	-1.17	0	6.9	0	2	0	1.9	4.9	1.2	1.6	6.5	4	1.5	4.4	2.5
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-3.46	-1.71	0	6.3	0	0	0	3	5.2	0	2.4	6.6	3.5	2.7	4.3	1.4
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-2.55	-3.32	0	5.8	0	1.4	0	2.4	6	0.2	1.5	7.1	1.7	0.7	1	1.7
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-2.54	-2.66	0	5	0	0	0	1.5	6.5	0	1.6	7.2	3.3	1.7	1.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.61	-1.33	1.8	6.9	2.8	2.9	0	0.2	3.6	1.2	0	5.2	4.3	0.1	5.4	2.7
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-3.06	-2.28	0	4.7	0	0	0	2.2	6.3	0	2	6.6	3	2	2.6	1.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.06	-1.88	0.9	6.9	2.3	1.7	0	1.9	3.4	3.8	1.2	5	4.2	1.1	5.6	4.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.3	-1.14	2.1	6.8	1.7	1.6	0	1.1	3.3	2.4	1.3	5.3	4.1	0.8	5.6	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.27	-1.69	1.5	6.6	0.1	0	0	2	3.1	3	0	5	3.6	1.6	4	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.85	0.89	0.9	7.2	2.9	3.3	0	2.1	3.5	0.1	1.5	5.3	3.8	1.3	6	3.6
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-2.78	-2.93	0	5.1	0	1.8	0	2.6	6	0	3.2	6.6	2	2.4	3.3	1.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.81	-2.62	3	6.7	3.1	2.1	0	0	3.9	3.2	0	4.9	3.6	0	5.3	2.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.22	-0.91	2.3	6.9	2.2	0.3	0	0	3.9	3.2	0	5.1	3.6	0	6	3.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.46	4.13	4.7	7.9	0	4.5	0	0	3.1	0.5	0	6.4	3.8	1.9	6.4	0.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.51	-3.22	0	7	2.2	1.5	0	0	4.1	3.4	0	5.3	3.9	0	5.6	3.4
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-3.09	-2.3	1	4.7	0	0	1	0.7	5.8	0	2.8	6.9	3.4	0	2.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.78	0.24	3.9	7.3	3.2	3.4	0	0	3.6	2.8	1.4	5.2	3.9	0	5.9	2.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.72	-1.56	2.5	7.1	3.4	2.5	0.5	0	3.6	3.6	0.2	4.9	3.8	1	5.9	3.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.85	-1.78	2.2	6.9	2.9	1.5	0	0	3.5	3.1	0	5.2	3.5	0	5.7	3
