day	Anno	celltype	UMAP_1	UMAP_2	marker:Gata6	marker:Pdgfra	marker:Sox17	up:Foxq1	up:Tfec	up:Hnf1b	up:Gata4	up:Sox7	up:Xbp1	up:Creb3l2	up:Hesx1	up:Runx1	up:Nfxl1	up:Zfp37	up:Meis3	down:Pou5f1	down:Nanog	down:Rest	down:Sox2	down:Mybl2	down:Zfp57	down:Klf2	down:Esrrb
E3.5	E35_ICM	ICM	-5.37	4.37	3.1	0.8	1.1	0	0	0	0	0	3.4	0	0.5	0	0	0	0	5.8	4.1	3.9	2.8	2.6	0.8	3.9	0.9
E3.5	E35_ICM	ICM	-7.5	4.49	3.4	2.1	3	0	0	0	2.5	0	0	0	0.5	0	0	0	0	5.2	2.7	4.3	3.2	3.6	2	3.8	1.2
E3.5	E35_ICM	ICM	-6.55	4.43	4.4	0.3	0	0	0	0	0	0	0	0	0.5	0	0	0	0	4.9	1.9	4	3.5	2.9	3.4	2.9	0
E3.5	E35_ICM	ICM	-7.36	4.86	3.8	3.2	0	0	0	0	0	0	0.1	0	0	0	0	0	0	5.2	1	2.8	3.7	1.9	2.7	3.9	0.1
E3.5	E35_ICM	ICM	-6.09	4.65	3.5	1.7	0	0	0	0	0	0	1.7	0.8	0	0	1.6	0	0	5.5	2.8	3	0.5	3.3	0	1.4	0.5
E3.5	E35_ICM	ICM	-5.02	4.33	4.6	3.3	3.8	0	0	0	1.5	0	2.5	1.9	0.4	0	0	1.1	0	5.2	1.1	3.9	2.8	3.2	3.1	1.9	1.3
E3.5	E35_ICM	ICM	-6.9	4.65	4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	1.8	4.4	3.9	3.1	0.2	3.3	2.4
E3.5	E35_ICM	ICM	-8.45	7.67	1.3	0	0	0	0.5	0	0	0	3.2	0	0	0	1.2	0	0	4.8	1.8	2	0.3	3.5	3.4	2.2	1.6
E3.5	E35_ICM	ICM	-7.28	4.27	2.8	0	0	0	0	0	0	0	0.9	0	0	1.8	2.3	0	0	5.2	3.7	3.5	2.2	3.5	3.4	3.5	3.1
E3.5	E35_ICM	ICM	-6.92	3.92	1.9	0	0	0	2.8	0	0	0	4.3	0	0	0	0	0.1	0	5.5	2.2	3.1	0	0.4	0	0.6	2.6
E3.5	E35_ICM	ICM	-7.68	5.65	4	2.6	0	0	0	0	0	0	2.7	1.6	0	0	1.6	0	0	5.2	0.4	3.2	2.1	3.2	1.9	2.4	2.5
E3.5	E35_ICM	ICM	-6.23	3.89	3	0	0	0	0	0	0	0	2.9	0	0.8	0	0	0	0	4.9	2.9	5	1.7	3.2	2.7	3.7	1.2
E3.5	E35_ICM	ICM	-5.37	3.04	2.4	0	0	0	0	0	0	0	2.8	0	1.7	0	0	0	0	5.3	1.5	4.3	1.1	3.7	0.7	4.4	2
E3.5	E35_ICM	ICM	-5.75	5.02	3.2	0	0	0	0	0	0	0	0.4	0	3.1	0	1.4	0	0	5.2	4.1	4.1	2.6	2.1	1.7	1.7	3.2
E3.5	E35_ICM	ICM	-7.49	2.54	0	0	0	0	0	0	0	0	3.6	0	2.1	0	0	0	0	5.3	0.8	3.8	0.7	0.5	0	3.6	2.4
E3.5	E35_ICM	ICM	-6.93	2.37	3.5	0	0	0	0	0	0	0	2.7	0	0	0.5	0	0	0	5.1	3.8	3.9	0	1.6	2.9	2.8	1.3
E3.5	E35_ICM	ICM	-7.23	3.06	2	1.6	0	0	0	0	2.3	0	2.6	0	1.3	0.6	0.2	1.8	0	5.1	1.8	3.4	0.2	3.6	0	2.3	3.6
E3.5	E35_ICM	ICM	-4.1	5.9	3.8	1.7	0	0	0	0	0	1.2	0.7	0	0	0	1.3	0	0	5.3	3.8	4.4	2.7	3.3	1.6	1.7	3.2
E3.5	E35_ICM	ICM	-6.85	7.75	1.8	2.6	2.2	0.7	0	0	2.7	0	2.4	0	2	1	3.2	0	0	5.8	2.6	2.6	2.5	4.1	1.8	2.6	1.5
E3.5	E35_ICM	ICM	-4.3	5.36	2.5	1	0	0	0	0	2.6	0	0.4	0	2.2	0	0	1	0	5.6	3.9	3.5	3.5	3.9	1.8	3.3	1.9
E3.5	E35_ICM	ICM	-8.74	5.97	3.1	3.3	4.3	1.5	0	0	3.3	0	3.1	0	0	0	1.9	0	0	5.7	0.2	1.8	0.2	4	1	0.6	0.7
E3.5	E35_ICM	ICM	-8.07	2.72	2.9	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	3.6	1.1	0.8	4.2	0	2.2	1.6
