day	Anno	celltype	UMAP_1	UMAP_2	marker:Lamb1	marker:Sparc	up:Hand1	up:Tfap2c	up:Myc	up:Gli3
E5.25	E525_Parietal_endoderm	Parietal_endoderm	2.26	4.1	6.1	7	1.3	0	2.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.16	0.27	3.5	4.9	2.7	2.2	2.4	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	3.65	2.52	5.3	7	2.3	1.6	2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.24	1.45	3.6	5.3	1.9	1	1.5	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	2.36	2.99	5.9	6.7	0.8	1.4	0.1	0.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.04	1.53	3.2	5.3	2	1.9	1.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.02	0.76	3.8	5.6	0.8	0.1	0	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	2.49	3.85	6.5	7.5	1.8	0.9	0	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	2.57	4.11	5.8	6.9	3.1	2.7	3.1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.96	-0.53	2.8	5.2	1	0.1	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.45	0.08	3.8	5.5	1.6	2.3	2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.25	1.35	3.7	5	3.9	3.6	2.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.25	1.26	3	4.9	3	2.7	1.8	0.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.92	0.37	3.8	5	1.2	1	1.4	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	3.41	2.47	5.7	6.5	2.6	2.7	2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.86	1.71	4.9	6.5	1.9	1.5	1.6	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	3.04	2.34	5.2	6.6	3	2.7	2.4	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	1.75	3.65	6	7.1	2.4	0.7	1.5	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	2.95	3.47	6.5	7.2	1.5	1.7	1.6	0
