day	Anno	celltype	UMAP_1	UMAP_2	marker:Ttr	marker:Apoa2	marker:Apoe	up:Zic3	up:Arid3c	up:Creb3l3	up:Nfia	up:Srebf2	up:Hmg20b	up:Mlxipl	up:Prdm6	up:Lhx1	up:Hnf4a	up:Stat6	up:Zfp280b	up:Tfcp2l1	down:Egr1
E5.25	E525_Parietal_endoderm	Parietal_endoderm	2.26	4.1	1.9	0	4.6	0	0	0	0	1.8	2.1	0	0	0	0.1	0	2.3	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.16	0.27	5.5	1.7	6.8	3.4	3.1	2.7	0	4.1	2.8	1.4	2.2	0.4	3	2.6	2.7	2.7	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	3.65	2.52	4.7	0	7	2.9	0.3	1.3	0	3.7	2.7	0.7	0	0	2.9	1.1	1.8	0	0.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.24	1.45	4.5	0	6.7	3.5	0.4	3.6	0.9	4	2.7	1.7	1.6	0.9	3.1	2.6	2.6	0.6	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	2.36	2.99	2.2	0	5.6	0.1	0	0	0	3.2	2.5	0	0.7	0	3.3	1.1	1.7	0.5	1.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.04	1.53	4.5	0	6.6	3.6	2.1	1.9	0.3	3.6	2.9	1	1.3	0.9	2.2	1.9	2.3	0.1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.02	0.76	5.3	0.7	7	2.8	1.7	3.4	0.3	3.6	3.2	0.3	1.5	2.8	2.9	2.1	2.8	1.7	3.1
E5.25	E525_Parietal_endoderm	Parietal_endoderm	2.49	3.85	1.5	0	5.9	0	0	0	0.1	1.9	2.6	0	1	0	2	1.5	1.2	0	0.1
E5.25	E525_Parietal_endoderm	Parietal_endoderm	2.57	4.11	2.2	0	4.2	2.3	0	0	0	2.6	2.2	0	0	0	0	0.7	1.3	2.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.96	-0.53	5.4	0	6.8	3.7	1.7	1.2	0.5	3.5	2.3	1.1	2.6	2.7	2.7	1.4	2.5	1.9	0
