day	Anno	celltype	UMAP_1	UMAP_2	marker:Amot	marker:Sfrp1	marker:Sfrp5	marker:Hhex	marker:Lefty1	up:Lhx1	up:Eomes
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.51	2.59	4.1	2.6	2.1	0.4	1.1	0.4	2.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.65	2.32	3.8	0	0	2	0.1	0.9	1.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.37	2.68	3.6	0.1	1	1.5	0	0.9	2.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.48	1.55	4.1	2.8	1.8	1.4	0	2.8	2.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.21	0.96	4.1	1.9	3.5	1.3	1.2	2.7	3.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.9	0.94	3.6	0	0.9	1.7	0	0.2	2.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.35	3.24	3.3	2.6	2.1	1.1	0.2	1.5	2.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.12	3.18	4.2	1.8	2.3	0.5	1.2	1.6	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.94	0.23	4	3.5	3.2	2.6	0	3.1	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.02	2.34	3.5	0.2	0	0	0	1.2	1.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.92	1.05	4.5	3.6	3.5	0.8	1.1	1.2	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.8	1.82	4.3	3.5	3.7	1.7	2.8	3.8	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.6	3.25	4.2	0.9	2	0.9	0	2.4	2.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.41	1.2	4	2.7	3.2	1.6	0.7	3	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.3	0.11	4.4	0	0	1	0	0.1	2.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.2	-1.55	5.3	3.8	4	3.6	2.6	3.2	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.01	0.79	5.4	4.2	4.3	2.9	5.1	3.2	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.98	-0.87	3.9	0.3	1.3	0	0	0.5	0.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.92	-1.94	5.6	4.4	4.1	2.7	2.5	3.4	3.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.07	1.06	4.5	3.2	3.5	1.3	3.2	2.8	2.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.91	-0.25	4.9	4	4.7	3	4.6	3.6	2.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.12	-0.76	5.2	3.8	3.8	2.6	4.8	3.1	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.46	-1.61	5.5	4.3	4.2	2.1	3.4	3.2	2.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.64	-0.2	4.7	3.7	3.8	3.1	4.9	3.6	2.1
