day	Anno	celltype	UMAP_1	UMAP_2	Gata6	Hand1	Lefty2	Lhx1	Mesp1	Mesp2	Sp5
E6.5	E65_Primitive_Streak	Primitive_Streak	5.9	-0.79	1.5	0.7	2.5	2.1	4.1	2.2	2.3
E6.5	E65_Primitive_Streak	Primitive_Streak	5.96	-1.11	1.8	0.3	1.4	2.2	4.2	1.2	2.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.43	1.45	0.9	0.1	3.3	2.2	4.9	3.1	3.8
E6.5	E65_Primitive_Streak	Primitive_Streak	5.94	-0.79	0.7	0	1.9	2.4	4.3	2.3	2.6
E6.5	E65_Primitive_Streak	Primitive_Streak	5.75	-0.21	0.6	0.6	3.2	0.3	2.3	0.8	1.5
E6.5	E65_Primitive_Streak	Primitive_Streak	4.35	-1.61	0	0	0	0.2	0.2	0.2	0.2
E6.5	E65_Primitive_Streak	Primitive_Streak	5.74	-0.57	0	0.7	1.3	1	0.7	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	5.96	-0.58	0.6	0	3	2	1.6	0	3
E6.5	E65_Primitive_Streak	Primitive_Streak	6.22	-0.84	1.7	1	1.1	0.9	2.9	0	2.9
E6.5	E65_Primitive_Streak	Primitive_Streak	5.48	0.12	0	0	0.7	0.5	2.2	1.8	0.3
E6.5	E65_Primitive_Streak	Primitive_Streak	4.85	-0.54	0	0	1.8	0.9	0	0	1.1
E6.5	E65_Primitive_Streak	Primitive_Streak	5.2	-0.74	0	0	1.8	0	1.1	0.1	0.1
E6.5	E65_Primitive_Streak	Primitive_Streak	4.05	2.41	0.5	0	0.7	0	0	0	0.5
E6.5	E65_Primitive_Streak	Primitive_Streak	4.59	1.88	0.1	0	1.7	0	0	0	0.6
E6.5	E65_Primitive_Streak	Primitive_Streak	4.94	1.74	0.3	0	1.4	0.2	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	3.52	2.85	0.1	0	2.2	0.6	0.3	0	1.2
E6.5	E65_Primitive_Streak	Primitive_Streak	4.5	-0.83	0.8	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	4.26	-0.8	0	0	2.2	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	4.46	-0.37	0	1.6	1.5	0.1	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	4.59	-0.27	0.3	0	1.3	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	3.73	-1.05	0	0	2.2	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	4.57	-0.67	0	1.9	2	0	0.1	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	5.31	-1.09	0.4	0	0	1.2	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	4.95	-0.89	0.2	1.6	1	1	1.8	1.2	1.6
E6.5	E65_Primitive_Streak	Primitive_Streak	5.34	0.69	0.2	2.7	0	2.1	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	5.4	0.17	1.2	0	0	0.2	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	5.48	0.29	0.7	1.6	1.8	2.4	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.7	2.4	2.1	1.6	4.8	2.8	4.8	3.7	3.9
E6.5	E65_Primitive_Streak	Primitive_Streak	3.65	-2.42	0	0	0.9	0.9	2.1	0	3
E6.5	E65_Primitive_Streak	Primitive_Streak	3.06	-1.13	0.3	0.1	1.2	3.5	1.1	0	4.1
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.98	2.52	2.1	0	5.6	4.5	4.8	5	3.5
E6.5	E65_Primitive_Streak	Primitive_Streak	-1.1	1.3	1.6	0	2.7	1.5	3.4	1.3	3.3
E6.5	E65_Primitive_Streak	Primitive_Streak	3.66	-0.58	0	0.9	1	0	0	0.5	0.1
E6.5	E65_Primitive_Streak	Primitive_Streak	2.95	-1.67	0	0.1	0	0.1	0	0	3
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.86	2.26	2.7	0.1	3.6	3.9	4.2	3.2	2.9
E6.5	E65_Primitive_Streak	Primitive_Streak	-2.02	1.6	1.4	0	0	2.6	3.9	2.6	4.1
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.31	2.43	0.7	0	3.3	3.5	4.3	3.4	3.1
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.55	2.11	1.3	0	5.1	2.7	4.2	3.8	4.1
E6.5	E65_Primitive_Streak	Primitive_Streak	-2.23	1.69	0	0.1	3.7	0.2	4.4	1.9	3.5
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.43	-2.14	0.8	4.2	4.2	3.3	4.4	0.8	2.2
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.82	-1.8	1.5	4.6	3.8	2.4	4.9	1.3	1.4
E6.5	E65_Primitive_Streak	Primitive_Streak	0.24	-0.13	0	1.9	0.9	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.53	-3.19	0.9	1.9	0.5	0	1.3	0.9	1.7
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.28	-1.02	0.1	1.9	0.8	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.48	-2.71	0.3	1	0.3	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.11	-3.69	0	0.9	1.9	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	0	-3.67	0	0.2	0	0	0.1	0	2.6
E6.5	E65_Primitive_Streak	Primitive_Streak	0.23	-0.45	0	1.5	0	0.1	1.3	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.58	-3.37	0	1.9	0	0.1	2.3	0.4	1.5
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.38	-3.62	0.8	2.2	1	0.6	0.7	0	1.1
E6.5	E65_Primitive_Streak	Primitive_Streak	4.87	1.36	0	0	0	0	0	0.7	0
E6.5	E65_Primitive_Streak	Primitive_Streak	4.72	1.54	0	0	0.3	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	5.19	0.78	0.7	0	0.1	2	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	4.72	1.48	1.7	0	0	0.3	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.65	1.3	1.5	0	4.1	3.3	4.6	4.7	3.3
E6.5	E65_Primitive_Streak	Primitive_Streak	3.58	0.96	0.3	0.5	0	0.5	0.3	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.04	1.29	1	0	4.9	4.5	4.3	4	4.1
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.76	-2.25	0.3	4.2	2.8	1.8	4.6	1.3	1.7
E6.5	E65_Primitive_Streak	Primitive_Streak	3.57	-0.19	0	0	0.1	0	0	0	2.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.23	0.99	1.2	0.7	4.2	3.6	3.9	2	3.4
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.73	0.27	2.8	2	3.8	3.6	4.6	4.1	3.9
E6.5	E65_Primitive_Streak	Primitive_Streak	-6.22	-1.74	2.3	1.6	5	3.7	2.9	0.8	3.2
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.59	-2.62	1.2	3.8	2	3.7	3.6	1	2.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.82	-3.64	0.1	4.3	0.7	1.8	1.9	0.1	2.3
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.08	-1.9	2.1	3.8	3.9	2	4.4	0.5	2.2
E6.5	E65_Primitive_Streak	Primitive_Streak	-6.41	-4.33	1.2	0	0	1	0	0.7	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.04	1.35	1.6	0	5.1	3.4	4.7	3.9	3.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.26	-0.57	1.9	0.8	5.5	3.2	2.7	1.2	3.2
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.72	-0.78	3	0.9	5	2.9	3.8	3.3	3.6
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.09	1.81	1.4	1.1	4.4	3.7	4.3	3.5	3.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.35	0.13	2.7	0	4.8	3.3	3.7	2	4.1
E6.5	E65_Primitive_Streak	Primitive_Streak	5.51	-2.52	2.6	0	0.3	3.4	0.5	0	4.1
