day	Anno	celltype	UMAP_1	UMAP_2	marker:Mesp2	marker:Lefty2	marker:Mesp1	up:Id1	up:Gata6	up:Hand1	up:Lhx1	up:Sp5	up:Hmga2	up:Peg3	up:T	up:Snai1	up:Msx2	up:Smad1	down:Pou3f1	down:Nanog
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.85	-4.06	2.2	2.5	4.1	3.2	1.5	0.7	2.1	2.3	1.3	3.7	3.5	3.2	1.2	2.3	1.2	2.5
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.72	-3.58	1.2	1.4	4.2	3.4	1.8	0.3	2.2	2.8	0.6	3.8	3	3.7	1.9	2.8	1	2.6
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.38	0.43	3.1	3.3	4.9	3.6	0.9	0.1	2.2	3.8	1.1	4	4	5	1.6	2.8	0	2.6
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.6	-2.86	2.3	1.9	4.3	3.2	0.7	0	2.4	2.6	1.5	4	3.9	3.9	2.6	2.6	0.8	3.7
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.27	-3.2	0.8	3.2	2.3	1.9	0.6	0.6	0.3	1.5	1.9	3.2	2.7	2.8	1.5	1.7	1.5	3
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	2.97	-3.29	0.2	0	0.2	1.1	0	0	0.2	0.2	1.1	2.9	1.6	0.5	0	2.3	1.6	3.4
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.55	-3.51	0	1.3	0.7	2.8	0	0.7	1	0	0.9	3.6	0.5	1.1	1.6	1.8	1.7	3.8
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.48	-3.45	0	3	1.6	2.6	0.6	0	2	3	1.7	3.5	3.8	3.1	1.4	1.4	1.4	3.3
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.88	-3.59	0	1.1	2.9	2.5	1.7	1	0.9	2.9	1.3	4.1	3.2	3.7	2	1.7	1.2	3.1
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	2.9	-4.04	1.8	0.7	2.2	2.5	0	0	0.5	0.3	0.9	3	1.5	2.4	1.6	1.4	2.5	2.2
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	2.46	-2.92	0	1.8	0	3.1	0	0	0.9	1.1	1	3.5	0.8	1	0.5	1.8	1.4	3.6
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.13	-3.92	0.1	1.8	1.1	2.5	0	0	0	0.1	0	1.1	0.5	1.9	1.4	0.6	1.6	2.4
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	1.67	-3.42	0	0.7	0	1.5	0.5	0	0	0.5	0.8	2	0.6	0.7	0.7	1.8	1.3	3.3
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	1.24	-4.34	0	1.7	0	0.8	0.1	0	0	0.6	1.4	2.7	0	1.9	0	1.1	1.9	3
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	1.48	-4.05	0	1.4	0	0.9	0.3	0	0.2	0	1.3	2.8	0.4	1.2	0.5	1.7	1.4	3
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	2.36	-2.82	0	2.2	0.3	1.6	0.1	0	0.6	1.2	1.4	3	2.4	2.5	0.8	1.3	1.5	3.4
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	1.71	-2.99	0	0	0	4.7	0.8	0	0	0	1.7	2.5	0.6	1.6	0	1.5	2	3.9
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	2.42	-2.57	0	2.2	0	3.5	0	0	0	0	1.6	2.2	0.6	0	0	0	0.5	2.9
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	1.89	-2.59	0	1.5	0	2.6	0	1.6	0.1	0	0.1	0	0	0	0	0	1.7	3.3
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	1.89	-2.7	0	1.3	0	3.8	0.3	0	0	0	0.8	1.8	0	0	1.4	0	1.8	3.7
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	1.84	-2.04	0	2.2	0	4.4	0	0	0	0	0.9	0.1	2.1	0	0	1.9	0.6	3.7
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	2.25	-2.4	0	2	0.1	3.6	0	1.9	0	0	0	2.5	0	0	0	0.1	1.8	3.5
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.21	-3.55	0	0	0	3.6	0.4	0	1.2	0	1.1	1.8	0	0	0.6	1.5	1.6	1.1
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	2.71	-3.01	1.2	1	1.8	3.5	0.2	1.6	1	1.6	1.7	2.4	2.2	2.1	1.4	0.1	2.4	2.2
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.03	-4.11	0	0	0	1.8	0.2	2.7	2.1	0	1.1	2.1	0	1.6	0	0	1.5	0
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.03	-3.78	0	0	0	1.2	1.2	0	0.2	0	0	2.9	0	0	1.3	1.3	1.5	0
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	2.56	-4.18	0	1.8	0	0.7	0.7	1.6	2.4	0	1	1.8	0	0.4	0.4	0	3.1	2
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	4.27	0.05	3.7	4.8	4.8	3.2	2.1	1.6	2.8	3.9	1.4	3.8	4.2	4.6	2.3	3.1	1.1	2.4
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	4.11	-1.43	0	0.9	2.1	2.1	0	0	0.9	3	0.7	2.5	0.8	2.1	0	1.7	0.8	3.2
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.5	-0.81	0	1.2	1.1	0.8	0.3	0.1	3.5	4.1	0.6	3.1	3	2	0	2.4	1.4	3.4
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.15	0.78	5	5.6	4.8	2.6	2.1	0	4.5	3.5	1.8	3.7	4.5	4.6	0	3.4	0	1.8
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.83	-0.6	1.3	2.7	3.4	3	1.6	0	1.5	3.3	2.1	3.6	3.9	3.6	1.8	1.6	0.1	3.5
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	1.78	-1.66	0.5	1	0	3.5	0	0.9	0	0.1	1.4	2	0.3	1.3	1.5	1.4	1.3	3.1
E6.5	E65_Primitive_streak_and_adjacent_ectoderm	Primitive_streak_and_adjacent_ectoderm	3.77	-1.24	0	0	0	1.5	0	0.1	0.1	3	0.6	3.5	1.4	3.2	0	2.2	0	2.5
