day	Anno	celltype	UMAP_1	UMAP_2	Cdx2	Dnd1	Dppa3	Gsc	Hhex	Ifitm3	Lhx1	Mesp1	Msx1	Msx2	Otx2	Sox17	Sp5	T
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.71	-2.23	0	0	0	0	0	2.5	0	0	0	0	3.2	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.28	2.2	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	1.98	-2.07	0	0	0	2.5	0	0	0	0	0	0	0	0	3.8	2.5
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.03	0.23	0	0	0	0	0	2.5	0	0	0	0	2.5	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.04	0.56	0	0	0	0	0	2.9	0	0	2.2	2.2	0	0	0	3.3
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.72	-1.87	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0
E6.75	E675_Primitive_Streak	Primitive_Streak	6.67	-2.45	0	0	0	4.1	4.1	0	4.3	0	0	0	3.4	5.4	2.3	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.24	0.45	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.43	-1.61	0	0	0	0	0	0	0	0	0	0	2.5	0	3.8	2.5
E6.75	E675_Primitive_Streak	Primitive_Streak	0.02	2.68	0	0	0	2.8	0	0	0	0	0	2.8	0	0	0	3.5
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.29	1.63	1.8	0	0	0	0	1.8	0	0	0	0	0	0	0	1.8
E6.75	E675_Primitive_Streak	Primitive_Streak	0.74	2.11	0	0	2	2	0	0	0	0	0	0	0	0	2	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.41	-6.37	2.7	2.7	2.7	0	0	4.3	0	0	2.7	4	0	0	0	4.4
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.49	-6.29	2.8	3.1	2.1	2.1	0	0	0	4.1	2.1	2.1	2.8	0	2.1	3.6
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.51	2.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	5.02	3.12	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2
E6.75	E675_Primitive_Streak	Primitive_Streak	0.36	-0.12	0	0	0	2.9	0	3.3	0	0	2.9	0	0	0	2.9	2.3
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.09	-0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.42	-1.46	0	0	0	0	0	0	0	0	2.5	2.5	0	2.5	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	2.89	-1.71	0	0	0	2.5	0	0	3.1	0	0	0	0	0	2.5	3.5
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.95	-1.22	0	2.6	0	0	0	0	0	0	0	0	0	0	0	2.6
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.27	-0.99	0	2.4	0	0	0	0	0	0	0	0	0	0	3	3.4
E6.75	E675_Primitive_Streak	Primitive_Streak	0.84	1.8	0	3	0	2.4	0	0	0	0	0	0	2.4	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.07	-3.98	0	0	0	0	0	0	0	2.9	3.8	0	0	0	0	2.3
E6.75	E675_Primitive_Streak	Primitive_Streak	1.45	-2.72	0	0	0	0	0	0	2.6	4	0	0	2.6	0	0	2.6
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.03	-1.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	1.75	-0.65	0	0	0	2.7	0	0	0	0	3.1	0	2.1	0	3.1	3.6
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.15	2.76	0	0	0	0	0	0	0	0	0	0	2.4	0	0	2.4
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.2	-0.49	0	0	0	0	0	2.6	2.6	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.04	2.65	0	0	0	0	0	0	0	0	0	0	3	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.49	-0.05	0	0	0	0	0	0	0	0	0	2.2	2.9	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.4	2.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.98	0.89	0	0	0	2.5	0	0	0	0	0	0	2.5	0	0	0
