day	Anno	celltype	UMAP_1	UMAP_2	marker:Hlx	marker:Bmp2	marker:Krt8	marker:Col1a1	marker:Nrp1	up:Lrrfip1	up:Klf6	up:Hoxb2	up:Hoxb6	up:Foxf1	up:Hic2	down:Mesp1	down:Eomes	down:Mixl1	down:Pou5f1	down:Id1	down:T	down:Smad1	down:Etv2	down:Evx1	down:Snai1
E7	E7_Mixed_mesoderm	Mixed_mesoderm	2.85	0.51	0	0	5.1	0	0	0	0	2.9	0	3.9	0	0	0	0	0	0	0	0	0	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	0.68	2.73	0	0	2.9	0	2.9	2.9	0	0	0	0	0	0	3.5	2.9	0	2.9	2.9	0	2.9	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	1.53	1.42	0	0	0	0	2.7	2.7	0	3.8	0	4.3	2.7	0	0	0	0	2.7	0	2.7	3.8	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	-3.15	-0.46	0	0	0	0	0	0	0	0	0	2.6	0	3.2	3.2	3.2	3.6	3.2	0	2.6	0	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	4.46	0.62	0	0	3.6	0	0	2.5	2.5	0	0	3.9	0	0	0	0	3.2	0	2.5	0	0	2.5	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	0.84	-1.85	0	0	2.9	0	0	0	0	0	0	4	0	2.9	0	0	0	3.6	2.9	0	0	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	0.72	-3.92	0	0	0	0	0	0	0	2.9	0	2.9	0	2.9	0	3.6	2.9	3.6	2.9	0	0	3.6	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	-0.7	4.54	2.6	0	0	0	0	0	2.6	2.6	0	3.3	0	0	3.7	3.7	0	0	2.6	0	4	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	-4.01	2.62	0	0	3.7	0	0	0	0	0	0	2.6	0	0	2.6	0	0	3.3	0	2.6	5.3	0	2.6
E7	E7_Mixed_mesoderm	Mixed_mesoderm	1.87	2.06	2.9	0	4	0	0	0	2.9	0	0	2.9	0	0	0	0	0	2.9	0	0	2.9	0	0
