day	Anno	celltype	UMAP_1	UMAP_2	marker:Runx1	marker:Hapln1	marker:Fli1	up:Hoxb2	up:Gata1	up:Gfi1b	up:Lyl1	up:Hoxb4	up:Runx1	up:Ascl2	up:Hoxb5	up:Emx2	up:Bcl11b	up:Hoxb6	down:Etv2	down:Pou5f1	down:Hes1	down:Msx1	down:E2f4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.32	2.15	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	2.7	0	0	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-4.95	3.12	2.3	2.3	2.3	3.3	0	2.3	2.9	0	2.3	0	2.3	2.3	0	0	0	0	0	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-4.18	-0.4	0	0	0	0	2.8	2.8	0	0	0	0	0	0	0	0	0	0	0	0	2.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.74	-1.03	0	4.4	0	0	0	0	0	0	0	0	0	0	0	0	4.1	0	4.8	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.51	1.31	2.5	0	0	0	4	0	2.5	0	2.5	0	0	2.5	0	0	0	0	2.5	0	3.1
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.49	1.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0	2.9	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.77	2.49	2.7	0	0	0	0	2.7	2.7	0	2.7	0	0	0	0	0	3.4	0	0	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.9	2.05	3.6	0	0	0	4.3	3	0	0	3.6	3	0	0	0	0	0	3	0	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.43	-1	0	2.8	2.8	0	0	0	2.8	0	0	3.4	0	0	0	0	0	0	0	0	2.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.11	-1.59	3.5	0	3.5	3.5	0	0	0	0	3.5	0	0	0	0	0	4.2	0	0	0	0
