day	Anno	celltype	UMAP_1	UMAP_2	Apela	Hesx1	Krt8	Tal2
E7.25	E725_Def_endoderm	Def_endoderm	-2.87	-1.84	0	0	4.5	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.4	-0.44	0	0	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	1.1	-0.7	0	0	3.6	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.8	-1.93	0	3.2	4.4	0
E7.25	E725_Def_endoderm	Def_endoderm	4.74	0.65	0	0	4.1	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.86	-0.56	2.8	3.3	5.1	0
E7.25	E725_Def_endoderm	Def_endoderm	2.92	1.37	0	0	2.1	0
E7.25	E725_Def_endoderm	Def_endoderm	2.87	2.78	0	0	2.7	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.29	-1.94	0	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.48	3.92	0	2.8	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	0.47	-2.22	0	3.4	3.4	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.46	-0.35	0	2.7	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	1.86	-1.88	1.9	0	2.9	0
E7.25	E725_Def_endoderm	Def_endoderm	2.06	-0.87	0	3.2	3.8	0
E7.25	E725_Def_endoderm	Def_endoderm	2.35	-1.09	0	0	4.2	0
E7.25	E725_Def_endoderm	Def_endoderm	4.62	0.25	0	0	3.8	0
E7.25	E725_Def_endoderm	Def_endoderm	-5.01	1.52	2.6	0	3.8	0
E7.25	E725_Def_endoderm	Def_endoderm	5.62	1.29	2.2	0	3.2	0
E7.25	E725_Def_endoderm	Def_endoderm	2.47	-2.18	0	0	3.2	0
E7.25	E725_Def_endoderm	Def_endoderm	3.77	2.4	0	0	3	0
E7.25	E725_Def_endoderm	Def_endoderm	1.98	2.22	2.4	1.8	3.1	0
E7.25	E725_Def_endoderm	Def_endoderm	2.45	-0.26	0	0	3.1	0
E7.25	E725_Def_endoderm	Def_endoderm	0.97	2.46	0	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	3.63	-0.25	0	0	3.1	0
E7.25	E725_Def_endoderm	Def_endoderm	-4	-2.22	2.6	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	2.73	2.06	2	0	2.6	0
E7.25	E725_Def_endoderm	Def_endoderm	2.49	0.43	0	0	3.5	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.66	-1.48	0	0	4.2	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.39	-0.45	0	0	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.59	-2.45	2.2	2.2	3.3	0
E7.25	E725_Def_endoderm	Def_endoderm	2.66	3.39	0	3	2.4	0
E7.25	E725_Def_endoderm	Def_endoderm	-5.02	0.15	3.7	0	3	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.67	-2.02	2.1	0	3.1	2.1
E7.25	E725_Def_endoderm	Def_endoderm	-3.08	-3.6	0	0	2.8	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.49	-2.58	0	0	3.5	0
