day	Anno	celltype	UMAP_1	UMAP_2	marker:Cer1	marker:Krt18	up:Sox17	up:Hesx1	up:Nr2f6	up:Hmga1	up:Sall4	up:Ovol2	up:Klf6	up:Mbd3	up:Elf3	up:Lin28a	up:Tead2	up:Nfkb1	up:Ybx1	down:Pou5f1	down:Mixl1	down:T	down:Foxj1	down:Sp5	down:Pa2g4	down:Foxa2	down:Trp53	down:Eomes	down:Cebpb	down:Junb	down:Sox11	down:Mycn	down:Lef1	down:Egr1	down:Olig1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.48	-2.22	0	1.8	0	0	1.8	3.3	2.8	0	0	3.3	0	0	3.4	0	6.2	4.7	4	1.8	0	3	4.3	3.7	3.8	1.8	1.8	1.8	3.3	0	0	2.8	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.67	-2.09	3.4	1.5	3	0	1.5	3	2.7	0	1.5	3.3	0	2.7	3.7	0	6	4.5	3	1.5	0	3.4	4.6	3.5	3.1	3.1	0	1.5	2.5	0	1.5	0	2.1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.47	0.76	2.1	2.7	3.1	0	3.1	2.7	3.1	0	2.1	3.1	0	3.1	3.1	0	5.8	3.1	0	0	0	0	3.6	0	2.1	2.7	0	0	2.1	2.1	2.1	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.82	-0.27	5.6	2.7	4.3	2.3	1.7	2.3	2.7	1.7	0	3	0	0	3.6	0	6	3	2.7	0	0	2.3	3.5	0	3.2	2.7	0	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-5.94	2.18	4.7	2.7	4.9	0	0	0	4.1	2.7	3.8	0	0	3.4	3.4	0	5.6	4.6	0	0	0	2.7	4.1	0	3.4	0	0	0	3.4	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.63	-1.75	1.9	0	0	0	1.9	3.3	2.9	0	0	2.9	0	0	3.5	0	6.1	4.8	3.3	2.5	0	3.5	4.7	3.8	3.7	2.9	0	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.07	-0.81	2.3	0	0	0	0	3.6	0	0	0	2.3	0	0	3.6	0	5.8	4.8	2.3	2.3	0	2.3	4.3	3.6	4.2	0	0	2.3	0	0	2.3	0	2.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2	-5.02	2.9	1.7	2.9	0	1.7	3.3	2.7	0	2.3	3.5	0	1.7	3.3	0	6	4.4	1.7	0	0	2.3	4.1	2.9	3.7	2.7	0	1.7	2.3	1.7	1.7	1.7	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.98	4.49	2.9	1.9	0	0	0	2.9	2.9	0	0	3.4	0	0	2.6	0	5.9	5	0	3.2	0	3.6	4.6	3.7	3.6	3.2	1.9	0	1.9	0	0	0	1.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.31	-0.5	3.2	1.6	1.6	0	0	3.2	0	1.6	2.2	2.6	1.6	2.9	3.7	0	6.1	4.7	3.4	0	0	0	4.4	3.4	3.4	3.5	1.6	1.6	2.2	0	1.6	0	2.2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.64	-5.22	3.7	1.9	3.9	0	0	3.8	3.2	0	2.6	3.1	0	1.4	3.7	0	6	4.6	1.4	1.4	0	2.3	4.3	1.9	3.5	2.6	1.4	0	1.9	1.4	1.9	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	6.1	2.4	0	0	0	0	1.9	3.2	0	0	1.9	3.2	1.9	1.9	2.6	0	6.1	4.9	0	0	2.9	0	4.4	3.6	4.2	3.2	0	1.9	2.6	1.9	2.6	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	2.81	0.87	3.8	0	0	0	0	0	0	0	0	3.4	0	3.4	2.7	0	6	4.6	3.4	0	0	3.4	3.4	4.5	2.7	3.8	3.4	2.7	0	0	0	0	2.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.48	-3.28	0	0	0	0	0	3.4	0	0	0	3.4	0	0	3.4	0	6.2	4	1.9	1.9	0	0	4.4	4.6	3.9	2.5	0	0	0	0	1.9	0	3.2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.8	2.67	0	0	0	0	0	2	0	0	0	3.3	0	2.7	4	0	6	4.5	2.7	2	3.7	3.9	4	3.3	3.9	3.7	0	2	2.7	0	2	0	2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	2.81	-3	0	0	0	0	0	3.7	1.9	0	0	2.5	0	0	3.4	0	6	4.8	2.9	0	0	1.9	4.4	4.3	3.5	3.1	0	1.9	2.5	0	1.9	1.9	1.9
