day	Anno	celltype	UMAP_1	UMAP_2	Cdx2	Hesx1	Irx3	Meis2	Six3	Sp5
E7.25	E725_Epiblast	Epiblast	-2.23	-1.26	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.54	-3.65	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.95	1.18	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.26	2.91	0	1.7	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.11	-2.32	0	2.2	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.15	1.41	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.13	1.08	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.84	-1.47	0	1.7	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.99	-4.11	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.48	1.17	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.51	-3.87	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.13	-3.27	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.39	0.35	0	0	0	2.1	0	0
E7.25	E725_Epiblast	Epiblast	-0.31	1.02	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.31	0.63	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.47	-2.5	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.48	-0.16	0	0	0	0	2	0
E7.25	E725_Epiblast	Epiblast	2.19	2.72	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.91	3.33	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.16	3.55	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.94	-0.27	0	0	0	0	0	1.8
E7.25	E725_Epiblast	Epiblast	1.35	3.7	1.7	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-6.25	-0.67	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.87	0.33	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.51	1.48	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.45	-3.04	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.41	-4.95	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.52	0.24	0	2.1	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.39	-4.9	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.83	-4.34	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.95	2.23	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.55	-1.88	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.68	3.19	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.41	-2.85	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.05	-1.42	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.18	-3.02	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.65	3.62	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-6.22	-0.16	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-4.97	1	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.23	-0.71	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.77	2.17	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.41	2.91	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.24	-4.45	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-5.82	0.99	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.84	-3.48	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.4	3.8	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.02	0.42	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.32	2.19	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.81	0.07	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.21	-0.29	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.28	-2.11	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.28	-3.82	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.67	2.89	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-4.89	1.46	0	0	0	0	0	2
E7.25	E725_Epiblast	Epiblast	0.26	-0.7	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-4.19	2.7	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.31	3.59	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.34	-1.83	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.31	-3.49	0	0	2.2	0	0	0
E7.25	E725_Epiblast	Epiblast	2.4	1.49	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.21	-3.8	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-5.59	0.57	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.66	-2.56	0	0	0	2.1	0	0
E7.25	E725_Epiblast	Epiblast	-1.2	1.03	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.96	3.19	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-6.51	0.25	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.05	-4.6	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.47	-3.26	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.84	2.52	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.82	-3.8	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.15	1.67	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.68	-0.31	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.78	-2.28	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.46	-2.55	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.87	1.87	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.42	3.82	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.57	2.68	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.5	3.15	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.05	3	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.44	-0.7	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.3	-0.33	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.69	2.78	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.8	-2.66	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.61	-0.63	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.5	0.48	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-6.53	-1.21	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.69	1.89	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.44	1.68	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.99	1.43	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.48	3.63	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.68	2.4	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.32	-3.33	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.39	-1.68	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.72	2.21	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.12	0.4	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.62	-0.86	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.61	2.81	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.04	-2.78	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-5.17	1.28	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.64	-4	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.95	-3.84	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.75	2.94	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.07	0.57	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.76	-4.14	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.5	1.42	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.96	0.99	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.33	-2.05	0	0	0	0	2.3	0
E7.25	E725_Epiblast	Epiblast	-5.47	1.22	0	0	0	1.8	0	0
E7.25	E725_Epiblast	Epiblast	5	2.53	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.65	-3.59	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.06	-3.32	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-5.66	0.81	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.92	-3.36	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.4	-3.6	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.42	-1.78	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.76	-1.39	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.49	-0.08	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0	-4.26	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.07	0.21	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.13	-2.81	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.58	3.03	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.23	-4.51	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.51	-1.06	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.02	-3.27	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.68	-3.3	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.13	-2.22	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.07	-2.24	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.19	-3.99	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.97	-2.64	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.51	0.18	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.97	1.81	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.19	-2.51	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.03	-2.55	0	0	0	1.8	0	0
E7.25	E725_Epiblast	Epiblast	-0.09	-3.59	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	5.08	0.69	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.05	-2.85	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.54	3.53	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.68	0.62	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.21	-3.9	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.19	-4.21	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.08	3.03	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.96	-0.05	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.5	0.18	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.77	-3.99	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.95	2.1	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.64	0.01	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.95	-0.35	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.17	0.19	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.54	-3.37	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.56	3.37	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.12	-3.22	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.72	-1.26	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.31	-4.02	0	0	0	0	2.2	0
E7.25	E725_Epiblast	Epiblast	2.72	-3.76	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.24	2.19	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.07	-2.07	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.54	2.57	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.37	-1	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.51	-2.58	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.48	1.59	0	0	0	0	0	0
