day	Anno	celltype	UMAP_1	UMAP_2	Alx1	Bmp4	Dll1	Etv2	Foxc2	Foxf1	Fzd4	Gata4	Hand1	Hes7	Hoxa1	Hoxb1	Irx1	Irx5	Isl1	Meis2	Meox1	Msx1	Msx2	Mycn	Pax3	Tbx1	Tbx6	Tcf15	Tcf21
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	4.76	1.07	0	0	0	1.7	0	2.3	0	2.3	3.4	0	0	0	1.7	0	0	0	0	2.6	2.9	3.4	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.24	1.09	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	3.1	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	2.07	2.3	0	0	0	0	0	0	0	2.1	2.1	0	0	0	0	0	0	0	0	3.2	0	3.2	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.63	3.46	0	0	2	2	0	0	0	2.6	0	0	0	0	0	2	0	0	0	2.6	0	3	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	2.47	-1.13	0	0	0	4.2	0	2.3	0	2.7	4	0	0	0	0	0	1.7	1.7	0	2.9	2.7	3.3	0	0	1.7	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	2.16	-2.76	0	0	0	0	0	2.5	0	2.5	1.8	0	0	0	0	0	0	1.8	0	4	3.3	3.6	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	3.49	-1.14	0	0	1.8	1.8	0	1.8	0	0	2.8	0	0	0	0	0	1.8	0	0	2.4	2.4	2.8	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.74	-2.74	0	0	2	3	0	2	0	2.6	2.6	0	0	0	0	0	0	2	0	0	2.6	3.3	0	0	2	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	4.06	1.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	2.3	2.3	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.84	0.55	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0	0	2.7	0	3.4	0	3.8	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	3.26	-2.25	0	0	0	3.7	0	1.8	0	0	0	0	0	1.8	1.8	1.8	0	1.8	0	1.8	1.8	2.4	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.29	-3.62	0	0	0	2.1	0	0	0	0	3.4	0	0	0	0	0	0	0	0	2.1	0	2.1	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.59	-4.87	0	0	0	1.9	0	2.5	0	0	3.5	0	0	2.5	0	0	0	2.5	0	2.5	3.4	2.9	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.68	1.85	0	0	0	2.5	0	0	0	1.9	0	0	0	0	0	0	1.9	0	0	0	0	2.9	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.25	-4.02	0	0	0	0	0	2.1	0	1.6	2.1	0	0	0	0	2.1	1.6	2.5	0	2.5	3.2	2.5	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.76	0.53	0	0	2.3	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	2.3	2.9	2.3	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.3	0.52	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	3.4	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.6	1.36	0	0	0	0	0	0	0	2.2	3.2	0	0	0	0	0	0	2.2	0	3.9	3.5	2.8	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-5.87	-1.92	0	0	0	0	0	0	0	0	0	0	0	0	2.1	2.7	0	2.1	0	0	0	4.2	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.94	0.83	0	0	1.9	1.9	0	1.9	0	2.5	3.9	0	0	0	0	0	0	1.9	0	1.9	3.2	3.9	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.73	1.19	0	0	0	0	0	0	0	2.1	2.8	0	0	0	0	0	0	2.1	0	2.8	0	2.8	0	0	2.1	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-4.5	0.35	0	0	2.2	1.6	0	0	0	0	0	0	0	0	0	1.6	0	1.6	0	0	0	3.4	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	5.05	-1.43	0	2.4	0	1.8	0	1.8	0	3	3.6	0	0	0	0	0	1.8	0	0	3	2.8	3	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.57	0.87	0	0	0	0	0	0	0	2.3	2.3	0	0	0	0	0	0	2.9	0	2.9	0	4.6	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.43	1.71	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2.6	0	3.5	0	0	0	2	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.59	2.19	0	0	0	2.2	0	2.2	0	2.2	0	0	0	0	2.2	0	0	2.2	0	2.2	2.2	2.8	0	0	2.2	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.04	-3.02	0	1.6	0	1.6	0	1.6	0	2.2	1.6	0	0	1.6	0	0	0	2.6	0	0	1.6	2.9	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.1	-3.65	0	0	0	2.9	0	2.9	0	2.2	3.2	0	0	2.2	0	0	0	0	0	2.9	2.9	3.2	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.18	0.66	0	0	0	0	0	0	0	2	2	0	0	2	0	0	2	0	0	3.3	0	4.1	0	0	0	2	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	3.6	-4.67	0	2.9	0	4.9	0	3.6	0	2.3	4.1	0	0	2.3	0	0	2.3	2.3	0	3.3	0	3.3	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.58	2.16	0	0	0	1.7	0	0	0	2.3	2.3	0	0	0	0	0	0	1.7	0	1.7	0	3.3	0	0	1.7	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.14	1.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-5.97	0.03	0	0	0	1.8	0	0	0	0	0	0	0	0	0	1.8	0	2.4	0	0	0	3.1	0	0	0	2.4	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.5	1.11	0	0	2.2	0	0	0	0	2.9	0	0	0	0	0	0	0	2.2	0	0	0	3.3	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.7	-3.36	0	0	1.7	1.7	0	0	0	0	2.2	0	0	0	0	0	0	2.2	0	0	0	2.2	0	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	3.47	0.59	0	0	0	2.7	0	0	0	1.7	2.7	0	0	0	0	0	1.7	1.7	0	1.7	0	3.2	0	0	0	0	0
