day	Anno	celltype	UMAP_1	UMAP_2	marker:T	marker:Noto	up:Foxj1	up:T	up:Noto	up:Jund	up:Mterf4	up:Meox1	up:Rfx3	up:Ebf1	up:Rfx2	up:Dmrtb1	down:Sox17	down:Gsc	down:Lhx1	down:Gata6	down:Otx2	down:Pa2g4	down:Hhex	down:Zfp706
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.48	-2.22	1.8	0	0	1.8	0	2.8	0	0	0	0	0	0	0	4.3	3.9	2.8	3	4.3	1.8	3.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.67	-2.09	1.5	1.5	0	1.5	1.5	1.5	0	0	1.5	0	0	0	3	3.1	3.6	0	2.7	4.6	1.5	3.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.47	0.76	0	0	0	0	0	0	0	0	0	0	0	0	3.1	2.1	4.2	2.7	2.7	3.6	3.8	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.82	-0.27	0	0	0	0	0	3	1.7	0	0	0	0	0	4.3	3.5	3.6	2.7	2.7	3.5	1.7	3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-5.94	2.18	0	0	0	0	0	0	0	0	0	0	0	0	4.9	2.7	2.7	3.4	2.7	4.1	2.7	2.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.63	-1.75	2.5	0	0	2.5	0	0	0	0	0	0	0	0	0	4.2	2.5	0	3.1	4.7	0	2.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.07	-0.81	2.3	0	0	2.3	0	0	2.3	0	0	0	0	0	0	3.6	2.3	0	3.8	4.3	2.3	3.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2	-5.02	0	0	0	0	0	2.7	0	0	0	0	0	0	2.9	3.6	2.9	1.7	2.3	4.1	0	3.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.98	4.49	3.2	2.6	0	3.2	2.6	3.4	0	0	0	0	0	0	0	2.9	1.9	0	3.2	4.6	3.4	3.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.31	-0.5	0	0	0	0	0	2.9	2.9	0	1.6	0	0	0	1.6	3.8	3.4	2.2	3.5	4.4	2.6	3.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.64	-5.22	1.4	0	0	1.4	0	2.6	1.9	0	0	0	0	0	3.9	3.2	4	2.6	3.1	4.3	2.6	3.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	6.1	2.4	0	0	2.9	0	0	2.9	1.9	0	0	0	0	0	0	1.9	0	0	1.9	4.4	0	3.6
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	2.81	0.87	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	3.4	0	0	3.4	3.4	3.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.48	-3.28	1.9	0	0	1.9	0	1.9	0	0	0	0	0	0	0	4.1	2.9	0	2.5	4.4	0	3.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.8	2.67	2	0	3.7	2	0	2.7	2	0	0	0	0	0	0	3.5	0	0	0	4	0	3.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	2.81	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7	4.5	0	1.9	4.4	1.9	3.8
