day	Anno	celltype	UMAP_1	UMAP_2	E2f4	Hba-a1	Hba-x	Hbb-bh1	Klf1	Klf3	Thra	Ybx3
E7.5	E75_Blood_prog	Blood_prog	4.91	1.92	0	0	2.1	0	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-6.14	-0.2	2.3	0	0	3.8	3.3	0	0	2.3
E7.5	E75_Blood_prog	Blood_prog	5.29	2.82	2.4	0	0	0	0	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	-2.26	-1.66	2.1	0	0	3.8	0	0	0	3.1
E7.5	E75_Blood_prog	Blood_prog	0.87	-0.96	0	0	0	0	0	0	0	2.7
E7.5	E75_Blood_prog	Blood_prog	4.52	-2.96	1.6	0	0	0	0	0	0	3.2
E7.5	E75_Blood_prog	Blood_prog	0.28	-2.79	0	0	0	2.9	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-0.97	1.11	2.8	0	0	0	1.8	0	0	1.8
E7.5	E75_Blood_prog	Blood_prog	-3.26	1.89	0	0	0	3.3	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	1.95	0.37	2.2	0	0	0	0	0	0	3.2
E7.5	E75_Blood_prog	Blood_prog	-6.21	1.46	0	0	0	0	2.3	0	0	2.3
E7.5	E75_Blood_prog	Blood_prog	-5.57	-2.61	3	0	0	0	2	0	0	2.7
E7.5	E75_Blood_prog	Blood_prog	7.1	1.88	2.1	0	0	3.4	0	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	-5.19	-0.38	0	0	0	5.2	0	0	0	3.4
E7.5	E75_Blood_prog	Blood_prog	-2.18	-0.87	2.1	0	0	0	0	0	0	3.5
E7.5	E75_Blood_prog	Blood_prog	-5.06	2.25	2.8	0	0	0	0	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	-5.12	-0.59	2.3	0	0	4.7	0	0	0	2.3
E7.5	E75_Blood_prog	Blood_prog	-6.21	0.78	0	0	0	0	0	0	0	2.5
E7.5	E75_Blood_prog	Blood_prog	4.22	1.3	2.6	0	0	0	0	0	0	2.6
E7.5	E75_Blood_prog	Blood_prog	-3.62	-1.81	0	0	0	4	2.7	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	-1.77	2.02	0	0	0	0	3	0	0	3.7
E7.5	E75_Blood_prog	Blood_prog	2.45	-2.38	2.9	0	0	0	0	0	0	1.9
E7.5	E75_Blood_prog	Blood_prog	5.12	-1.97	0	0	0	2.2	0	0	0	3.2
E7.5	E75_Blood_prog	Blood_prog	-5.19	-1.94	1.7	0	0	0	1.7	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	-0.93	-0.69	2.1	0	0	0	0	0	2.1	3.4
E7.5	E75_Blood_prog	Blood_prog	2.37	4.17	2	0	0	0	0	0	0	2
E7.5	E75_Blood_prog	Blood_prog	-2.7	0.66	0	0	0	3.5	0	0	0	2.6
E7.5	E75_Blood_prog	Blood_prog	5.54	2.2	2.3	0	0	2.3	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-0.52	-2.97	0	0	0	0	2.2	0	0	2.2
E7.5	E75_Blood_prog	Blood_prog	6.21	1.27	0	0	0	3.5	1.7	0	0	2.9
E7.5	E75_Blood_prog	Blood_prog	5.17	1.22	1.8	0	0	0	0	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	-4.84	1.26	2.9	0	0	1.9	0	0	0	1.9
E7.5	E75_Blood_prog	Blood_prog	-3.16	0.49	0	0	0	3.2	2.1	0	0	3.2
E7.5	E75_Blood_prog	Blood_prog	-0.5	2.15	2	0	0	0	0	0	0	2
E7.5	E75_Blood_prog	Blood_prog	-4.48	0.92	0	0	0	5.4	0	0	0	2.5
E7.5	E75_Blood_prog	Blood_prog	-1.51	2.69	0	0	0	0	0	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	6.21	-3.04	0	0	0	2.9	0	0	0	2.9
E7.5	E75_Blood_prog	Blood_prog	-1.08	-0.51	1.9	0	0	4	0	0	0	1.9
E7.5	E75_Blood_prog	Blood_prog	7.52	2.33	2.5	0	0	0	0	0	0	1.9
E7.5	E75_Blood_prog	Blood_prog	-4.02	-0.31	2.4	0	0	5.2	0	0	2.4	3.4
E7.5	E75_Blood_prog	Blood_prog	-2.97	-1.65	0	2.2	0	0	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	2.29	1.1	0	0	0	0	0	0	0	2.6
E7.5	E75_Blood_prog	Blood_prog	4.08	1.09	0	0	0	0	0	0	0	1.8
