day	Anno	celltype	UMAP_1	UMAP_2	marker:Apela	marker:Krt8	up:Hesx1	up:Tal2	down:Pou5f1	down:Eomes	down:Lhx1	down:Sp5
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.5	-4.22	2.9	4	4.1	0	2.3	0	0	2.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.19	-2.91	3.8	5.1	0	0	2.5	0	0	0
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	1.25	-2.39	0	2.2	0	0	3.7	0	2.9	2.9
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.9	-1.95	0	5.3	3.7	3	2	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	2.18	6	3.4	3.7	2.5	0	4.2	0	0	3.2
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.2	2.41	0	4.3	0	0	2.8	0	2.8	2.2
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.53	-0.69	1.9	3.9	0	0	3.4	2.9	4.2	2.5
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.88	-3.18	0	3.7	4.6	0	3.7	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.89	0.31	3.6	2.9	0	0	3.1	1.7	0	2.6
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	0.52	0.19	0	0	0	0	4.8	2.4	4.4	3.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-5.36	0.34	3.4	4.9	1.6	2.2	2.2	1.6	0	2.9
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.27	-1.94	1.7	3.4	3.4	0	3	1.7	2.7	2.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	3.05	2.36	0	3.1	0	0	4.6	2.7	3.1	4.6
E7.5	E75_Gut	Gut	-3.62	-4.11	4.8	4.4	0	0	3.7	0	0	0
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	0.7	-1.77	0	3.6	0	0	4.2	0	3.6	2.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.4	3.39	0	4.7	0	0	3.3	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.39	-2.75	0	3.9	2.5	0	2.5	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.32	1.3	0	5.1	3.5	0	2	0	2.6	2
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.48	-3.69	0	4.8	3.6	0	3.3	0	2.3	2.9
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.02	-4.66	0	4.2	3.5	0	0	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.57	2.49	0	3.5	0	1.6	4.3	2.1	3.4	3.5
E7.5	E75_Gut	Gut	-3.34	-4.36	3.6	4.7	3.1	0	2.7	0	0	2.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.75	0.94	0	5.1	0	0	4.5	2.6	0	0
E7.5	E75_Gut	Gut	-3.26	0.86	2.8	2.8	1.8	2.8	3.3	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.19	-2.94	0	4.4	0	0	3.5	2.2	2.2	3.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.33	0.12	1.7	3.6	0	0	3.9	0	0	1.7
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	-0.57	-4.08	0	4.2	3	0	2.4	3	2.4	3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.25	-3.7	2.1	4.6	3.6	0	3.4	2.7	0	2.1
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.34	2.93	1.6	3.5	3.4	0	4.2	0	0	0
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	0.4	-2.18	0	3.7	3.1	0	4.1	3.3	3.9	3.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.52	2.38	0	3.3	0	0	4.4	1.8	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	2.67	4.68	2.2	3.5	0	0	4.7	2.8	0	2.2
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.73	5.21	1.7	3.8	1.7	0	2.7	0	0	4.3
E7.5	E75_Gut	Gut	-1.24	0.66	2.3	4.8	0	0	2.3	0	0	2.9
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.95	3.87	0	2.4	2	1.5	4.8	0	0	2.4
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.83	-3.97	0	3.7	0	0	2	2	0	0
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	2.53	-0.67	0	3.1	0	0	4.4	3.4	3.6	4.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.81	-4.45	2.6	4.4	2.2	1.6	2.8	0	0	3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.06	5	0	3.8	0	0	3.9	1.3	1.3	3.1
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.8	1.56	2.7	3.4	0	0	4.3	1.7	0	2.3
E7.5	E75_Gut	Gut	-3.14	-1.99	3.9	4.5	4.3	2.1	2.7	0	0	2.1
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.04	-4.04	3.6	4.8	0	0	3.1	2.1	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.07	4.61	1.7	3	0	0	4.5	0	2.3	3.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.45	-0.31	0	4.2	3.5	0	3.1	2.5	2.5	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-6.33	0.18	1.9	4.3	1.9	0	1.9	1.9	0	3.2
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.51	4.27	2.6	3.7	0	0	4.3	0	2.6	4.2
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	2.84	2.68	0	3.9	0	0	4.6	0	2.6	2.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.03	3.84	0	3.7	2	0	4.3	0	0	2.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.66	2.75	0	5.1	0	0	3	0	2	3
