day	Anno	celltype	UMAP_1	UMAP_2	Atf3	Cdh5	Cebpd	Elk3	Kdr	Klf7	Pecam1	Xbp1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.79	-3.93	0	2.2	0	2.2	2.9	0	2.9	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.87	3.24	0	0	0	0	2.7	0	0	2.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.74	1.52	1.8	0	0	0	2.4	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.91	4.73	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-5.83	1.13	2.4	0	0	0	2.4	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.84	0.68	0	0	0	0	2	0	0	2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.92	-2.37	0	0	0	2.5	2.5	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.56	-2.33	0	0	0	0	2.6	2.6	2.6	2.6
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.79	2.63	0	0	0	0	2.6	0	2.6	2.6
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.41	1.82	0	0	0	0	2.7	0	0	2.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.8	-0.62	0	0	0	0	3.2	0	0	2.6
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.93	1.23	0	0	0	0	1.7	1.7	0	1.7
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.13	-1.38	0	2	0	0	3	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.36	-0.66	0	0	0	3.2	4.2	3.2	0	2.8
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.14	2.6	0	0	0	0	2.5	0	0	3.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.68	4.07	0	0	0	0	0	0	0	2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.35	-0.78	0	0	0	0	3.6	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.12	4.67	0	0	0	0	0	0	0	2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.15	-0.06	0	2	0	0	3	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.1	-3.49	0	2.5	0	0	3.5	0	2.9	1.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-6.25	2.06	0	0	0	0	1.8	1.8	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.61	-0.8	0	0	0	0	0	0	0	3.3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.03	1.18	0	0	0	0	2.4	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	0.48	3.47	0	0	2.8	0	2.1	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.75	3.52	0	0	0	1.9	0	1.9	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.85	1.67	0	3	0	2.4	4.1	0	2.4	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.89	1.53	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.63	3.04	0	0	0	0	1.9	1.9	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.6	2.64	1.8	0	0	0	0	0	0	2.4
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.95	-3.58	2.2	0	0	0	2.2	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.98	0.37	1.9	0	1.9	0	2.8	0	1.9	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.04	-0.27	0	2.7	0	0	3.1	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.41	-2.12	0	0	0	0	2	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.46	-2.68	0	3.1	0	0	0	0	2.4	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.47	3.59	0	0	0	0	1.9	0	0	1.9
