day	Anno	celltype	UMAP_1	UMAP_2	Alx1	Arid3b	Foxc2	Gata5	Irx1	Irx5	Mef2c	Myl4	Myl7	Nkx2-5	Pax3	Tbx1	Tcf15	Tnnt2	Tsc22d1
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	4.27	-0.11	0	1.9	2.5	0	0	3.5	0	0	1.9	0	0	0	4.8	0	2.5
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	1.09	5.33	0	0	2	0	0	0	2	0	2	0	0	0	0	0	3
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	0.25	-1.26	0	2	0	0	0	0	0	0	2	2.7	0	2	0	0	2
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	2.2	-1.17	2	0	0	0	2	0	0	2	3.9	2	0	0	0	0	2.7
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.94	-3.24	0	2.4	0	3	0	0	3.4	0	4.1	0	0	0	0	0	2.4
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.86	-2.12	2.7	0	4	0	0	2.7	0	0	3.3	0	0	0	3.3	0	3.3
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	2.7	-0.04	0	0	1.7	0	1.7	2.7	0	0	3.7	0	0	0	2.3	0	2.7
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	5.14	-0.51	0	0	2	0	0	2	0	2	2.6	0	0	2	4.2	0	2
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	1.85	-1.99	0	2.7	3.3	0	0	0	0	0	2.7	0	0	0	0	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.03	-1.92	0	0	0	2.8	0	0	2.8	0	4.4	0	0	0	0	0	4
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.22	3.75	0	0	2.9	0	0	3.3	0	0	4.5	0	0	2.3	2.3	0	3.3
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.03	-2.03	0	0	0	0	0	3	3	0	2	2	0	0	0	0	3
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.64	1.1	0	1.8	0	2.4	0	0	0	0	4.9	0	0	0	1.8	0	3
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	0.28	1.71	2.2	0	2.2	0	2.2	2.2	0	0	3.9	0	0	0	0	0	2.2
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.88	-3.24	0	2.1	0	0	0	0	3.1	0	3.1	0	0	0	0	0	4.2
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	6.05	-1.78	0	0	0	0	0	2.6	0	0	2.6	0	0	0	3.6	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-6.17	-0.98	0	0	0	0	0	0	3.2	2.8	5.8	2.8	0	0	0	3.2	2.1
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	1.49	5.64	0	0	2.2	0	0	0	2.2	2.2	4	0	0	0	0	0	2.8
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.4	-2.73	0	0	0	2.8	2.1	0	2.1	2.1	4.7	2.1	0	0	0	0	3.2
