day	Anno	celltype	UMAP_1	UMAP_2	marker:Tcf21	marker:Isl1	marker:Gata4	up:Mycn	up:Hmga2	up:Id2	up:Meis1	up:Mef2c	up:Foxc2	up:Irx1	up:Zic3	up:Irx5	up:Tcf15	up:Meis2	up:Twist1	up:Hmgb1	up:Irx3	up:Foxp1	up:Tbx1	up:Tgif1	up:Gata5	up:Osr1	up:Alx1	up:Sox4	up:Prrx2	up:Prrx1	up:Id3	up:Foxc1	up:Otx2	up:Meox1	up:Gata6	up:Pbx1	up:Id1	up:Rarb	down:Lyar	down:Hand1	down:Mixl1	down:Msx1	down:Evx1	down:Msx2	down:T	down:Cdx2	down:Tbx3	down:Prdm6	down:Cdx1	down:Myc	down:Cdx4	down:Foxf1
E7.5	E75_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.27	2.29	0	0	0	0	3.5	3.5	0	0	0	0	0	0	0	2.2	0	5.7	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	2.2	0	3.2	0	4.5	3.7	0	3.2	2.2	3.5	0	3.9	0	2.2	0	3.5	0	3.9
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.86	-1.8	2.3	0	0	0	2.3	1.4	0	0	0	0	0	0	0	1.4	0	5.5	0	1.4	0	1.4	0	0	0	2.3	0	0	3.5	0	0	0	2	2.3	1.4	0	4.6	3.5	0	2.3	0	2.3	0	3.5	0	1.4	0	2	0	3.2
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.82	-1.14	2.3	0	0	3	3.9	2.3	0	0	0	0	0	0	0	0	0	5.5	0	0	0	0	2.3	0	0	0	0	0	4.2	0	0	0	0	2.3	3	2.3	3.4	4.7	0	3.4	0	3.9	0	3.4	3	0	0	0	0	3.9
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.33	-1.11	0	2.2	0	0	3.2	2.8	0	0	0	0	0	0	0	0	0	5.4	0	0	0	0	0	0	0	2.8	0	0	4.1	0	0	0	2.2	0	2.2	0	4.3	4.5	0	2.2	0	2.2	0	3.2	2.2	2.2	0	0	0	4
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	0.31	-2.15	1.9	1.9	0	2.9	3.6	2.9	2.5	0	0	0	0	0	0	2.5	1.9	5.4	0	0	0	1.9	1.9	0	0	2.5	1.9	0	4.2	0	0	0	1.9	1.9	0	0	3.8	3.8	0	3.4	1.9	2.9	1.9	0	0	1.9	0	1.9	0	3.6
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-5.71	-4.66	2.9	0	0	3.5	3.3	1.9	0	0	2.5	0	0	3.5	4.8	2.5	1.9	5.3	2.5	0	0	2.5	0	0	0	3.1	2.5	0	3.3	1.9	0	3.3	1.9	1.9	0	0	4.1	0	0	0	0	0	0	0	0	0	0	0	0	1.9
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.75	1.88	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	2.8	0	0	0	2.8	0	0	5.3	0	0	0	0	2.8	3.5	0	4.2	3.5	2.8	2.8	0	0	0	3.5	0	0	0	2.8	0	2.8
E7.5	E75_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.16	-1.13	0	0	2	2.7	3.5	2	0	0	0	0	0	0	0	0	0	5.7	0	2	0	0	0	0	0	0	0	0	4.7	0	0	0	2	2	2	0	4.5	4.2	0	3.5	0	2	0	0	2	0	0	0	0	3.5
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.24	-2.91	0	0	0	3.5	2.7	0	0	0	0	0	0	0	0	0	0	5.6	0	0	0	0	2	0	0	3.1	0	0	4.6	0	0	2	0	0	2	0	4	4.9	0	3.5	0	3.1	0	2	0	0	0	2.7	0	4.4
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	0.56	-0.89	0	0	0	3.5	3.8	3	2	2	0	0	0	0	0	0	0	5.8	0	0	0	2.6	0	0	0	2.6	0	0	5.1	0	0	0	2	0	4	0	4.4	4.5	0	3.8	0	2.6	0	0	2.6	2.6	0	3	0	3.5
