day	Anno	celltype	UMAP_1	UMAP_2	marker:Tbx4	marker:Hoxa11	up:Pitx1	up:Hoxc9	up:Hoxa10	up:Hoxa9	up:Hoxa7	up:Hoxc8	up:Prrx2	up:Smad7	up:Twist1	up:Snai1	up:Twist2	up:Gata5	up:Bbx	up:Hoxc10	up:Smarca1	up:Zfx	up:Hey2	up:Hoxc11	up:Jun	up:Gata4	up:Tcf21	up:Smad6	up:Klf14	up:Tbx2	down:Mesp1	down:Pou5f1	down:T	down:Hoxb1	down:Foxf1	down:Mixl1	down:Evx1	down:Sub1	down:Cdx2	down:Cdx4	down:Irf1	down:Msx2	down:Foxo4	down:Cdx1
E7.75	E775_Allantois	Allantois	-4.34	1.92	0	1.9	3.5	0	0	3.1	1.9	2.5	1.9	3.4	1.9	2.9	0	2.5	2.5	0	3.1	1.9	1.9	0	2.5	1.9	0	1.9	0	0	0	0	0	0	2.5	0	0	5.2	1.9	0	0	2.9	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.56	0.41	0	1.5	2.5	0	2.8	0	0	2.1	0	2.1	0	2.1	1.5	0	2.1	0	2.1	0	0	0	0	0	0	1.5	0	0	0	3.4	1.5	1.5	3.1	0	1.5	4.7	4.2	3	1.5	3.6	1.5	3.6
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.73	-2.95	0	0	2.1	3.1	2.1	2.7	3.1	3.4	3.1	3.1	2.1	0	2.1	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	2.1	4.9	3.4	3.1	0	2.7	2.7	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.63	-1.89	0	0	0	0	0	0	0	0	0	2.1	0	2.7	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	3.9	3.8	3.9	2.1	3.1	0	3.1	4.4	4	2.1	0	3.8	2.7	3.9
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	6.65	-0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	2.4	0	0	1.8	1.8	0	0	0	0	4.2	4.1	2.4	3.1	3.3	0	2.4	4.8	2.8	2.4	0	2.8	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.37	0.84	1.8	1.8	2.4	2.4	2.4	2.8	2.4	2.4	0	3.1	0	2.4	1.8	0	0	1.8	0	0	0	0	1.8	0	0	1.8	0	1.8	1.8	3.1	0	1.8	1.8	0	0	4.1	2.8	3.1	0	3.9	0	1.8
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.02	-1.39	0	0	1.7	0	3.1	0	0	2.6	2.6	1.7	1.7	2.6	2.3	1.7	1.7	0	1.7	1.7	0	0	2.3	2.6	0	0	0	0	3.9	2.9	1.7	1.7	3.4	0	2.6	4.5	3.7	3.1	0	2.6	1.7	1.7
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.5	0.37	0	0	3.9	0	0	2.9	2.9	0	0	0	0	0	0	0	2.9	0	0	0	2.9	0	0	0	0	2.9	0	0	0	2.9	0	0	2.9	0	0	4.9	4.4	3.9	0	2.9	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-2.33	-1.18	0	0	3	2.6	3.2	2.6	3.2	3	2.8	0	2.8	2.8	1.6	0	2.2	0	0	2.6	0	0	0	1.6	0	1.6	0	1.6	0	2.2	0	0	3.4	0	1.6	4.5	4.3	2.8	0	3.4	0	0
E7.75	E775_Allantois	Allantois	-2.6	0.47	0	0	4.3	0	3.3	2.3	2.9	0	2.9	2.9	2.3	3.3	0	0	2.3	2.3	0	0	0	0	2.9	2.3	2.3	2.3	0	0	0	0	0	0	2.3	0	0	4.6	2.3	0	0	3.8	0	0
E7.75	E775_Allantois	Allantois	-5.04	1.57	2.2	0	4.2	0	2.2	2.2	0	0	3.2	2.2	0	3.2	0	0	3.2	0	2.8	0	0	0	0	2.8	2.2	2.2	0	0	0	0	0	0	3.2	0	0	4.9	3.2	3.2	0	2.2	0	0
E7.75	E775_Allantois	Allantois	-3.46	-1.76	0	1.8	3.6	2.8	3.1	2.8	3.5	2.4	2.4	1.8	1.8	2.8	2.4	0	2.8	0	1.8	0	1.8	2.8	2.4	3.6	1.8	0	0	0	0	2.4	0	0	3.6	0	0	4.4	2.4	1.8	0	3.3	2.4	0
E7.75	E775_Allantois	Allantois	-4.72	-0.53	0	0	3.5	0	0	2.2	2.2	3.2	4	2.8	0	3.2	2.2	0	0	0	2.2	2.2	0	2.2	2.2	2.2	0	3.5	0	2.8	0	0	0	0	2.8	0	0	4.6	3.2	2.2	0	2.2	0	0
