day	Anno	celltype	UMAP_1	UMAP_2	marker:Kdr	marker:Pecam1	marker:Cdh5	up:Elk3	up:Cebpd	up:Erg	up:Atf3	up:Sox18	up:Klf7	up:Bcl6b	up:Ets2	up:Mef2c	up:Carhsp1	up:Fli1	up:Lyl1	up:Xbp1	down:Lyar	down:T	down:Hand1	down:Tal1	down:Etv2	down:Mlx
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	0.53	-1.54	2.5	0	0	1.9	1.9	1.9	0	0	1.9	0	2.8	0	2.5	3.3	1.9	0	4	0	0	2.8	1.9	0
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.54	-1.28	3.2	2.5	0	2.1	0	0	0	1.6	0	0	2.5	0	2.1	2.5	0	2.8	4.1	1.6	0	3.2	4.1	0
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.83	-0.14	3.5	0	0	2.9	0	0	2.2	2.2	0	0	0	0	2.2	2.9	0	0	3.2	2.9	0	3.2	4.4	2.2
E7.75	E775_Endothelium	Endothelium	1.85	-2.66	3.1	1.6	2.2	3.1	2.6	0	1.6	1.6	3.7	1.6	2.2	2.8	2.8	3.1	2.2	0	3.8	0	0	2.2	2.6	1.6
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	0.9	-2.33	3.1	0	0	2.5	3.1	0	0	2.5	0	0	0	0	2.5	0	0	0	4.3	0	0	0	3.1	2.5
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.44	1.47	2.9	0	0	0	2.9	0	0	0	2.9	0	0	0	0	0	0	0	4	0	2.9	2.9	4	0
E7.75	E775_Endothelium	Endothelium	1.88	-2.86	3.6	1.7	0	3.4	1.7	1.7	1.7	0	3	0	1.7	1.7	2.3	3.5	0	2.3	3.4	0	0	1.7	3.8	0
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1.84	2.29	2.4	0	1.8	0	0	0	0	0	0	0	1.8	0	2.8	2.4	2.4	2.8	4.2	1.8	0	3	3.8	1.8
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-4.7	-1.39	2	0	0	0	0	0	0	0	0	0	0	0	1.4	1.4	0	0	4	1.4	1.4	3.1	4.8	1.4
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.88	-0.68	3.7	1.8	0	1.8	0	0	2.4	0	2.7	0	2.7	0	0	3.5	1.8	1.8	4.2	0	0	2.7	4.8	1.8
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-6.37	0.51	0	1.7	0	2.3	0	0	0	0	0	0	0	0	0	1.7	0	0	4	0	0	1.7	2.6	0
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1.42	2.32	2.5	0	2.5	2.5	0	0	0	2.5	0	0	0	0	2.5	3.8	0	0	2.5	0	0	0	3.5	0
E7.75	E775_Endothelium	Endothelium	2.86	-1.43	3.4	2.4	3	3	0	2.4	2.4	3	0	0	2.4	2.4	2.4	3	0	3	2.4	0	0	2.4	0	0
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-4.03	0.84	3.2	1.9	0	1.9	0	0	0	0	0	0	0	0	0	1.9	0	1.9	3.9	1.9	0	3.7	3.9	0
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.04	-1.51	3.7	0	0	2	0	0	2.6	0	2.6	0	0	0	0	0	0	2	4.2	2	0	2	4.8	0
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1.65	-2.02	0	2.2	0	2.8	2.2	2.2	0	0	2.8	0	0	0	2.8	3.2	0	0	3.2	0	0	0	2.2	0
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.06	-3.55	4.3	3.1	2.1	2.1	0	0	3.1	0	2.1	2.7	2.7	2.1	2.1	3.1	0	2.1	4.4	0	0	2.1	2.7	0
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.52	0.07	2.8	0	2.2	0	0	0	2.2	0	0	0	0	0	3.5	2.2	0	0	3.9	0	0	0	4.7	2.2
E7.75	E775_Endothelium	Endothelium	5	-1.92	3.7	2.2	0	2.2	0	0	0	0	0	0	2.9	0	2.9	3.2	2.2	2.9	3.9	0	0	2.2	2.9	0
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.05	1.04	3.2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	3	3.8	2	0	3.6	6	3
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	0.34	-0.26	3.5	1.3	2.2	1.3	2.7	0	1.9	1.3	2.5	1.3	2.5	1.3	0	2.8	1.9	2.8	3.3	0	2.5	1.3	2.2	0
E7.75	E775_Endothelium	Endothelium	1.22	0.15	3.4	1.5	2.1	0	2.1	1.5	1.5	1.5	1.5	0	1.5	0	2.4	2.9	0	0	3.8	0	1.5	1.5	2.7	1.5
E7.75	E775_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.1	-0.76	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4.2	2.6	0	2.6	5.4	2
