day	Anno	celltype	UMAP_1	UMAP_2	marker:Tbx5	marker:Hcn4	marker:Gata4	up:Nkx2-5	up:Mef2c	up:Casz1	up:Arid3b	up:Gata5	up:Fos	up:Tbx20	up:Srf	up:Atf3	up:Irx2	up:Tsc22d1	up:Zbtb20	up:Irx4	up:Hoxb8	up:Mafg	up:Bbx	up:Prox1	down:Mycn	down:Id3	down:Hmgb1	down:Cnbp	down:Litaf	down:E2f5	down:Trp53	down:Lyar	down:Tgif1	down:Tfap4	down:Terf1	down:Tcf3	down:Hmgb3	down:Foxc2	down:Tcf15
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.01	0.02	0	0	2.8	0	3.2	0	0	2.8	0	2.2	0	0	0	3.2	0	0	0	0	0	0	2.2	4.7	5.5	4.6	0	0	4	3.8	2.2	0	2.8	0	3.7	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.96	-2.23	0	0	0	0	0	0	1.9	0	1.9	0	1.9	0	0	3.2	1.9	0	0	0	0	0	2.9	4.9	5.5	4.6	0	1.9	2.5	4.1	1.9	2.5	1.9	1.9	3.9	2.9	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	2.55	0.84	0	0	0	0	0	1.8	1.8	0	1.8	0	0	0	0	2.7	0	0	0	1.8	1.8	0	4	4.9	5.7	4.9	2.4	1.8	2.4	4.1	2.4	0	2.4	2.7	3.2	2.4	3.2
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.08	-1.7	0	0	2.5	3.6	3.2	0	2.2	1.6	0	1.6	1.6	0	0	3.2	0	0	0	1.6	2.5	0	3	3.9	5.3	4.6	1.6	1.6	2.5	4.2	1.6	1.6	1.6	2.8	3.7	1.6	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.85	2.77	0	0	0	0	0	0	0	0	0	0	2.5	0	0	3	0	0	0	2.2	1.6	0	2.5	0	5.6	4.7	0	1.6	3.5	4.1	0	0	2.2	3	3.8	2.8	4.5
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.31	3.71	0	0	2.1	0	0	0	2.1	0	2.1	0	2.1	0	0	3.4	0	0	0	0	2.1	0	0	4.6	5.6	4.6	0	2.7	3.6	4.5	2.7	2.1	2.7	3.8	3.4	2.1	2.1
E7.75	E775_First_heart_field	First_heart_field	-5.17	-3.89	3.1	0	0	3.7	4.8	0	3.3	2.9	0	3.3	0	0	1.9	4.2	0	2.5	0	2.9	0	0	0	3.3	5.5	4.3	0	2.5	2.5	2.5	0	0	1.9	2.5	3.1	0	0
E7.75	E775_First_heart_field	First_heart_field	-5.45	-3.86	1.9	0	0	4	3.6	0	2.6	2.9	2.6	2.9	2.6	0	0	3.4	0	0	0	2.6	2.9	0	1.9	4	5.2	4.5	0	1.9	2.6	3.4	0	0	0	0	3.2	0	0
E7.75	E775_First_heart_field	First_heart_field	-6.1	-3.92	0	0	0	3.3	2.7	1.3	1.9	2.5	2.2	1.9	1.3	0	1.3	3.5	1.9	1.3	0	2.5	0	0	1.3	3.6	5.2	4.7	1.3	1.3	2.7	3.9	0	2.2	1.3	2.2	2.5	1.9	4.2
E7.75	E775_First_heart_field	First_heart_field	-5.13	-3.01	0	0	0	2.6	3.6	0	1.7	2.9	0	1.7	1.7	0	0	2.6	0	0	0	0	2.6	0	1.7	3.8	5.6	4.7	1.7	2.6	3.3	4.1	0	0	0	2.6	3.5	3.3	4.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.05	3.37	0	0	0	1.5	1.5	0	2.4	0	0	1.5	0	0	0	3.1	0	0	0	0	0	0	2.9	3.8	5.6	4.7	0	1.5	3.5	3.7	2.7	1.5	2.1	2.4	3.9	2.7	3.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.72	3.87	0	0	0	0	0	0	0	0	3.5	0	2	0	0	0	0	0	0	0	2	0	0	3.7	5.9	4.4	2	0	0	3.5	2	0	2	2	3.7	2.6	4.3
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.65	-0.25	0	0	1.8	2.8	1.8	0	1.8	0	1.8	0	0	0	0	2.4	0	0	0	1.8	0	0	4	5.2	5.9	4.9	0	2.4	3.3	3.6	1.8	1.8	2.4	1.8	3.3	1.8	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.09	5.99	0	0	0	0	0	0	2.2	0	0	0	0	0	2.2	2.2	0	0	0	2.2	3.3	0	4.1	4.3	6	4.5	0	2.9	2.9	3.9	0	0	2.9	2.9	4.5	3.5	2.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.43	-2.01	0	0	0	2.9	2.9	0	2.3	3.1	0	0	0	0	0	2.9	0	0	0	2.7	1.7	0	1.7	4.8	5.7	4.9	2.3	2.3	1.7	4.2	1.7	0	1.7	2.7	3.8	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.54	-0.61	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	3	3	0	3	4.3	5.6	4.9	2.6	2	2	4.3	2.6	0	0	0	4.3	2	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.99	-0.83	0	0	0	1.9	0	0	1.9	0	1.9	0	0	0	1.9	2.9	0	0	0	2.9	1.9	0	1.9	4.7	5.7	4.6	1.9	0	2.5	4.7	3.1	0	2.5	2.9	4.1	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.37	-1.8	0	0	0	0	0	0	1.6	0	0	0	0	0	0	1.6	0	0	0	1.6	0	0	3	3.7	5.8	4.9	0	2.2	2.8	3.9	2.5	1.6	2.2	3	4	2.2	2.8
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.57	3.38	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0	0	0	1.9	0	0	1.9	0	5.7	4.5	0	1.9	3.2	3.2	1.9	0	1.9	1.9	3.6	3.4	4.9
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.15	-0.36	0	0	0	0	0	0	2.5	0	1.9	0	0	0	0	3.2	0	0	0	0	2.5	0	0	4.1	5.7	4.4	0	2.9	3.4	4.1	3.2	0	2.5	3.4	3.7	0	2.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.63	-0.83	1.6	0	2.8	0	2.8	0	1.6	0	3.2	0	1.6	0	0	2.8	0	0	0	1.6	2.8	0	2.2	4.6	5.6	5	0	2.5	2.5	4	1.6	0	2.8	2.2	3.7	1.6	2.2
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.29	2.27	0	0	0	0	0	0	0	0	0	0	1.9	0	0	2.9	0	0	0	0	0	0	2.9	4.4	5.9	5.2	1.9	1.9	3.4	4.3	0	0	0	3.2	3.6	0	1.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.63	-0.67	0	0	0	3.5	3.7	0	1.9	0	1.9	0	1.9	0	0	2.9	0	0	0	1.9	1.9	0	2.5	4.5	5.6	4.8	0	2.5	2.9	4.5	2.5	0	0	2.9	3.7	1.9	3.3
E7.75	E775_First_heart_field	First_heart_field	-5.47	-3.29	2.3	0	3.3	3.9	4	0	2.3	3.1	2.6	2.6	1.7	0	0	3.6	0	0	0	2.3	1.7	0	1.7	3.5	4.5	4.4	0	0	0	0	0	0	0	2.3	3.3	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.5	-1.8	0	0	0	0	0	0	2.6	0	3.6	0	0	0	0	0	0	0	0	0	2.6	0	2.6	6.2	5.8	4.8	0	2.6	2.6	4.4	0	2.6	0	2.6	3.6	2.6	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.22	3.85	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	3.8	2	5.8	5.2	2.6	2.6	3.5	4.2	3	0	2	2.6	3.6	3	3.9
E7.75	E775_First_heart_field	First_heart_field	-4.94	-4.49	0	0	0	4.3	4.4	2.3	3	3	3	2.3	0	0	3	4.9	0	0	0	2.3	0	0	0	3.6	5.3	3.3	0	0	2.3	2.3	0	0	0	3.3	3.8	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.96	-0.46	0	0	3	0	3.8	0	0	3	0	0	3	0	0	3.3	0	0	0	0	0	0	3.6	5	5.5	5.3	2.3	3	3.3	4.4	0	0	2.3	0	4.2	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.57	3.83	0	0	0	0	1.9	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	2.9	4.6	5.8	5.3	1.9	1.9	3.4	4.5	1.9	0	2.5	1.9	3.8	1.9	1.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.35	4.08	0	0	2.3	0	0	0	0	1.7	0	0	2.3	0	0	1.7	0	0	0	2.3	1.7	0	2.7	3.8	5.8	4.7	0	1.7	2.7	4	2.7	0	1.7	2.3	3.2	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	1.28	1.56	0	0	2	0	0	0	0	0	2.6	0	0	0	0	2.6	0	0	0	0	0	0	3	4.4	5.5	4.3	0	0	3.9	3.5	0	0	2	3	3.9	3	2
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.48	-0.17	0	0	0	0	0	0	1.9	0	0	0	0	0	0	1.9	0	0	0	2.5	1.9	0	2.9	4.1	5.7	5	0	0	3.3	4.2	0	0	2.5	2.5	3.7	2.5	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.4	-0.05	0	0	0	0	0	0	1.7	0	3.2	0	0	0	0	2.7	0	0	0	2.4	0	0	2.4	3.7	5.5	4.9	1.7	0	2.7	4.3	1.7	0	1.7	0	3.9	2.4	3.4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.89	3.11	0	0	0	0	0	0	0	0	2	0	0	0	0	2.7	0	0	0	0	0	0	2.7	4	5.6	5.1	0	0	2.7	3.9	3	0	0	3	4.1	2	2
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.66	4.12	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	2	0	2	5.7	5	2	0	2	4	2	3.1	0	3.1	4.2	4.1	5.2
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.66	-1.64	3	0	2	0	3.7	0	2	3	0	2	2	0	0	2	0	0	0	0	2.6	0	3.8	4.3	5.8	4.1	0	2	0	3.7	0	0	0	0	3.8	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.53	2.81	0	0	0	0	1.9	0	2.9	0	0	0	0	0	0	2.6	0	0	0	0	2.6	0	3.6	0	5.9	4.6	1.9	1.9	2.6	4.1	2.9	0	1.9	0	3.2	3.9	3.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.1	-0.86	1.9	0	3.2	2.5	2.5	0	0	2.9	1.9	0	0	0	0	3.7	0	0	0	2.5	0	0	3.6	4.6	5.3	4.3	0	1.9	2.9	3.6	1.9	2.9	0	3.2	4.4	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.36	3.25	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	2.2	0	3.7	0	6.1	4.9	0	0	2.8	4.5	0	0	2.8	3.2	3.7	2.2	4.6
E7.75	E775_First_heart_field	First_heart_field	-5.16	-3.79	2.1	0	2.1	4.2	4.7	2.1	3.2	3.2	2.1	0	0	0	0	4.1	0	0	0	0	3.2	0	0	2.8	5.2	3.8	0	2.1	2.1	2.1	0	0	0	2.8	3.8	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.93	-1.5	0	0	0	0	0	0	2.6	0	0	0	0	0	0	2.6	0	0	0	2	2	0	3.3	5.5	5.7	5.1	0	0	3.3	3.9	2	2	0	3	3.9	2	0
E7.75	E775_First_heart_field	First_heart_field	-6.02	-3.51	1.6	2.1	1.6	4	3.4	2.8	1.6	2.1	2.1	2.1	1.6	0	0	3.3	1.6	0	0	0	0	1.6	2.1	4.7	5.5	4.6	2.1	1.6	2.5	3.1	2.1	1.6	1.6	1.6	3.3	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.88	5.7	0	0	0	0	0	0	0	0	0	0	2.7	0	0	2.7	0	0	0	0	0	0	2.1	5.4	6	4.7	0	2.1	3.9	3.6	2.1	2.1	2.1	3.1	4.2	3.6	3.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.48	0.18	2.2	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	4.4	5.7	4.2	2.2	0	3.7	2.9	2.2	0	0	3.2	4.2	0	4.2
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.9	-2.49	0	0	0	3.2	4.3	0	2.5	3.6	0	0	2.5	0	0	3.9	0	0	0	3.2	0	0	3.6	4.1	5.4	4.3	2.5	2.5	3.6	2.5	0	0	0	2.5	3.2	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.11	2.8	0	0	0	0	0	0	1.6	0	1.6	0	1.6	0	0	1.6	0	0	0	1.6	1.6	0	1.6	3.7	5.5	4.9	2.2	1.6	2.9	4.2	2.6	2.2	2.2	2.9	4	2.9	4.5
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.02	2.35	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	2.2	4.7	5.7	4.6	0	2.2	2.2	3.2	2.2	0	2.2	0	4.3	0	2.2
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.65	0.82	0	0	1.8	3.4	2.4	0	2.4	0	0	0	1.8	0	0	0	0	0	0	2.4	0	0	2.4	5	5.7	4.7	1.8	2.8	2.8	4.2	1.8	2.4	0	2.4	3.7	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.9	3.61	0	0	0	0	0	0	0	0	0	0	1.9	0	0	2.5	0	0	0	0	0	0	0	0	5.8	5.1	2.5	2.5	2.5	4.3	1.9	0	0	3.1	3.7	3.7	4
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.81	2.81	0	0	1.3	0	0	1.3	1.3	0	1.3	0	0	0	0	3.6	0	0	0	1.9	2.2	0	1.9	4.5	5.6	4.7	1.3	1.3	3.3	4.1	1.3	0	2.2	2.5	3.5	2.2	3.6
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.09	-2.69	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	2	0	0	0	2.6	0	2	4.4	5.8	4.9	0	2.6	3.3	3.8	3.5	2	2.6	2.6	4	2.6	2
E7.75	E775_First_heart_field	First_heart_field	-4.66	-1.74	1.9	0	1.9	3.6	3.2	0	1.9	0	0	1.9	1.9	1.9	0	3.2	0	0	0	1.9	1.9	0	1.9	3.9	5.4	4.9	0	1.9	3.4	3.7	0	0	0	2.5	2.9	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.69	1.34	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	2.8	3.2	0	2.2	2.2	5.8	4.7	0	0	3.2	4.5	3.2	2.2	0	3.2	4.3	3.7	4.7
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.42	4.16	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	2.9	4.2	5.8	5	1.9	2.5	3.4	3.9	2.5	0	0	3.2	3.6	0	2.5
E7.75	E775_First_heart_field	First_heart_field	-6.56	-3.2	2.6	0	0	3.1	3.1	0	3.1	1.7	2.9	2.3	2.6	0	0	4	2.6	0	1.7	2.3	1.7	0	2.3	4.3	5.1	4.4	1.7	0	3.3	4.2	2.6	1.7	1.7	2.3	3.1	0	0
E7.75	E775_First_heart_field	First_heart_field	-3.2	-3.6	0	0	0	3.6	4	2	2.6	2	0	0	2.6	0	0	3	0	0	0	2	2	0	0	3.8	5.7	4.4	2	0	0	2.6	2	2	0	3.2	3.8	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.98	5.76	0	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1	3.8	5.6	4.5	2.8	3.4	2.8	3.8	0	0	0	4.1	3.4	3.4	2.8
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.01	-1.17	0	0	0	0	0	0	1.8	0	0	0	0	0	1.8	2.4	0	0	0	0	1.8	0	3.1	3.9	5.8	5	0	1.8	3.5	4.1	0	2.4	0	3.1	1.8	1.8	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.98	-1.6	0	0	0	3	1.7	0	1.7	0	0	0	0	0	1.7	0	0	0	0	2.4	2.4	0	2.7	4.4	5.7	5	0	1.7	3	4.1	2.7	1.7	0	3.5	3	1.7	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.12	2.66	0	0	0	0	0	0	2.8	0	0	0	2.8	0	0	3.5	0	0	0	2.8	0	0	0	3.9	5.6	4.7	0	3.5	0	4.2	2.8	0	0	4.2	2.8	0	4.6
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.04	-3.69	0	0	0	0	1.7	0	2.4	0	0	0	0	0	0	0	0	0	0	1.7	2.4	0	2.4	3.7	5.6	4.8	1.7	2.7	3.5	3.5	1.7	2.4	1.7	3	4.1	3	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.28	1.53	0	0	0	0	2.1	0	0	0	0	2.1	0	0	0	2.7	0	0	0	0	0	0	2.7	4.5	5.6	5.1	0	2.7	2.1	4.3	3.1	2.1	2.7	0	3.8	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.22	3.18	0	0	0	0	2.9	0	2.9	0	0	0	0	0	0	2.9	0	0	0	0	0	0	4.2	4.8	5.7	4.6	0	2.9	4	3.6	2.9	0	0	0	3.6	3.6	2.9
E7.75	E775_First_heart_field	First_heart_field	-4.58	-4.38	0	0	0	3.7	3.4	0	2.4	1.8	3	2.4	1.8	0	1.8	3	0	0	0	2.4	2.4	0	2.4	3.7	5.5	4.4	0	2.7	1.8	4.2	1.8	0	1.8	3	4.1	1.8	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.52	2.85	0	0	1.7	0	0	0	1.7	0	0	0	1.7	0	0	2.7	0	0	0	1.7	1.7	0	1.7	2.3	5.9	4.9	0	2.3	3.5	4.1	2.3	0	1.7	2.3	3.9	2.7	4.2
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.64	3.78	0	0	0	0	0	0	0	0	0	0	0	0	1.9	2.5	0	0	0	1.9	1.9	0	2.9	4.9	5.9	4.8	2.5	2.5	2.5	4.4	0	0	0	3.2	4.3	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.78	4.62	0	0	2.2	0	0	0	2.2	0	0	0	2.2	0	0	0	0	0	0	0	2.2	0	3.5	3.7	5.7	4.7	3.2	2.2	2.2	4.3	2.8	0	2.8	3.2	3.9	0	2.2
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.06	-2.78	0	0	1.9	3.2	2.9	0	0	0	2.6	0	2.6	0	0	1.9	0	0	0	0	2.6	0	2.6	5.2	5.5	5.1	1.9	3.2	1.9	3.8	2.6	1.9	1.9	3.4	3.9	1.9	0
E7.75	E775_First_heart_field	First_heart_field	-5.6	-4.39	0	0	0	4.4	3.7	0	3	0	3	0	2.4	0	3	3.9	0	0	0	0	0	0	0	2.4	4.5	4.5	0	0	0	0	0	0	0	0	2.4	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.38	0.93	0	0	2.9	0	2.2	2.2	0	2.9	0	0	2.2	0	0	0	0	0	0	0	2.2	0	2.2	4.2	5.4	5.1	2.9	3.3	2.9	4.6	0	0	0	0	3.9	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.93	0.15	0	0	0	0	0	0	2.1	0	2.8	0	0	0	0	2.1	0	0	0	2.1	0	0	4.6	4.2	5.7	4.8	0	3.2	2.8	4.1	0	2.8	0	3.2	3.7	4	3.4
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3	4.45	0	0	0	0	0	0	1.3	0	0	0	0	0	0	3	0	0	0	0	1.9	0	1.9	3.4	5.6	4.7	1.3	1.9	2.2	4.3	1.3	2.2	1.3	1.9	3.8	3.1	3.4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.44	-1.86	0	0	0	2.7	0	0	0	3.3	0	0	2.7	2.7	0	3.3	0	0	0	0	0	0	0	4.4	5.5	4.6	0	0	2.7	3.3	3.3	0	0	3.7	3.3	0	0
E7.75	E775_First_heart_field	First_heart_field	-5	-3.55	0	2.3	2.3	4	4	0	3.3	2.3	0	2.3	0	0	0	3.6	2.3	0	0	2.9	2.3	0	0	2.3	5.5	4.7	0	2.3	2.3	3.6	0	0	2.3	0	3.6	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.89	-0.01	0	0	0	0	2.9	0	2.5	0	2.5	0	1.9	0	2.5	0	0	0	0	1.9	2.9	0	3.1	2.5	5.4	4.9	1.9	1.9	3.4	3.8	2.9	0	2.9	0	3.7	1.9	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.89	4.47	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	1.7	1.7	0	3.1	5.3	5.7	4.6	0	1.7	2.6	4.1	2.3	1.7	1.7	2.3	3.6	2.3	4.3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.57	0.19	3.1	0	0	2.7	2.1	0	0	0	2.1	0	2.1	0	2.1	0	0	0	0	2.1	2.7	2.1	2.1	4.4	5.5	5	0	2.1	2.7	4.7	2.7	0	2.1	2.1	4	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.71	3.47	1.6	0	0	0	0	0	1.6	1.6	0	0	1.6	0	0	2.2	0	0	0	1.6	1.6	0	3.4	4	5.6	4.6	1.6	1.6	2.2	4.3	2.6	0	0	3.4	4	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.35	-1	0	0	0	2.9	0	0	1.9	0	2.9	0	0	0	1.9	2.6	0	0	0	1.9	0	0	0	5.2	5.9	4.8	0	2.6	2.6	2.9	0	0	2.6	0	3.2	0	0
E7.75	E775_First_heart_field	First_heart_field	-6.05	-2.76	0	0	0	4.1	3.7	0	0	2.5	2.7	0	0	1.5	0	2.1	0	0	0	2.5	1.5	0	1.5	4.5	5.3	5	1.5	0	3.3	3.5	0	0	2.5	2.1	3.3	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.32	2.8	0	0	0	0	0	0	0	2.4	0	2.4	0	0	0	0	0	0	0	2.4	2.4	0	2.4	4.3	5.8	4.5	2.4	2.4	2.4	4.3	2.4	0	0	2.4	4.4	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.28	-0.88	0	1.6	3.1	3.4	4.1	0	1.6	2.6	0	1.6	1.6	0	0	2.8	0	0	0	2.6	2.8	0	3.4	3.6	5.5	4.7	0	1.6	2.6	4.3	1.6	0	2.2	2.8	3.5	0	0
E7.75	E775_First_heart_field	First_heart_field	-3.92	-4.1	2.3	0	0	3.5	4.5	0	1.7	2.3	2.3	0	2.7	0	0	3.2	1.7	0	0	1.7	2.3	0	1.7	3.7	5.7	4.8	1.7	0	1.7	4.3	0	2.3	1.7	2.7	3.4	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.94	0.41	0	0	0	2	2	0	0	0	0	0	0	0	0	2.6	0	0	0	2	0	0	2.6	2.6	5.8	5	0	2	2	4.1	2.6	0	0	3.5	3.6	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.9	2.08	0	0	0	0	0	0	2.1	0	2.1	0	2.1	0	0	0	0	0	0	0	0	0	2.1	3.4	6	4.8	0	3.6	0	3.9	2.1	2.1	0	2.7	3.9	3.4	4.5
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.61	-0.17	0	0	0	0	0	0	0	0	0	0	2.7	0	0	2.7	0	0	0	2.7	3.3	0	0	4.2	5.9	4.9	0	2.7	3.7	4.7	3.7	0	2.7	2.7	3.7	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.8	-3.35	0	0	0	0	0	0	1.9	0	1.9	0	1.9	0	0	2.8	0	0	0	2.5	2.5	0	2.5	4.3	6	4.6	0	1.9	3.3	3.8	3.1	2.5	2.8	2.5	3.9	1.9	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.12	0.54	0	0	0	0	0	0	1.9	1.9	3.4	0	0	0	0	3.9	0	0	0	0	0	0	0	4.4	5.6	5.1	2.5	0	2.9	4.5	0	0	0	2.5	4.3	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.13	-1.58	2.6	1.6	3.4	3.5	4.2	0	1.6	2.8	0	0	2.2	0	0	2.6	0	0	0	0	1.6	0	1.6	3.7	5.5	4.6	1.6	1.6	2.8	4.1	2.6	0	1.6	2.2	4	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.74	1.98	0	0	0	0	0	0	1.8	0	0	0	2.4	0	0	0	0	0	0	0	0	0	3.4	1.8	5.8	4.6	0	0	3	3.7	2.7	0	2.7	3	3.8	2.4	4.4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.47	-0.52	0	0	0	2.5	1.9	0	1.9	1.9	0	0	1.9	0	0	3.4	1.9	1.9	0	2.5	3.2	0	3.2	4	5.8	5.1	0	1.9	1.9	4	2.5	0	0	2.9	4.1	1.9	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.74	2.54	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	3	0	0	3	4.3	5.9	5.4	3	0	3	0	0	0	0	0	3	3	4.7
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.14	2.12	0	0	1.8	0	1.8	0	2.8	0	2.8	0	0	0	0	2.4	0	0	0	2.4	1.8	0	3	3.7	5.8	4.8	0	1.8	2.8	3.9	1.8	1.8	2.4	2.4	4.4	1.8	0
