day	Anno	celltype	UMAP_1	UMAP_2	marker:Osr1	marker:Lhx1	marker:Pax2	marker:Pax8	up:Hmga2	up:Foxp1	up:Meis1	up:Foxc2	up:Tcf7l1	up:Twist1	up:Alx1	up:Irx1	up:Pbx1	down:T	down:Mixl1	down:Evx1	down:Nkx1-2
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.62	-0.52	0	0	0	0	2.8	0	0	0	0	0	0	0	0	3.8	0	0	2.2
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-6.64	-2.36	0	0	0	0	2.6	0	0	0	0	0	0	0	0	3.5	0	2	3
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.37	-4.3	0	0	0	0	4	2.1	0	0	0	0	0	0	1.5	1.5	0	1.5	2.5
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	2.65	2.01	0	1.7	0	0	3.9	2.3	0	2.3	2.3	1.7	0	1.7	3	2.7	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.14	-5.8	0	0	0	0	3.1	0	0	2.1	0	2.1	0	0	2.1	0	0	2.1	0
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	4.86	3.53	0	2.3	0	0	2.6	2.9	0	2.6	0	2.9	1.7	1.7	2.3	1.7	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.38	-4.17	0	0	0	0	2.7	2.1	0	0	0	0	0	0	2.1	3.9	0	3.1	0
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	1.71	5.26	0	0	0	0	3.1	0	0	2.1	0	0	0	2.1	2.1	3.6	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.37	-2.44	0	0	0	0	3.5	1.8	0	0	0	0	0	0	0	2.4	0	2.4	1.8
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-6.76	-3.07	0	0	0	0	3	0	0	0	0	0	0	0	2	2.7	0	0	2.7
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.97	-5.09	0	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-5.96	-3.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	2.9
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-7.82	-1.54	0	0	0	0	2.5	0	0	0	0	0	0	0	2.5	0	0	3.1	3.3
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	2.73	-5.65	1.7	0	0	0	3.3	2.6	0	0	0	1.7	0	0	0	1.7	0	2.6	1.7
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-7.23	-2.82	0	0	0	0	2.7	0	0	0	0	0	0	0	2.1	0	0	0	3.7
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	1.15	0.98	0	2.1	0	0	3.9	2.1	0	3.6	0	2.1	0	2.1	0	0	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.24	-5.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.86	-5.7	0	0	0	0	3.7	0	0	0	1.6	2.8	0	0	1.6	0	0	1.6	1.6
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.31	0.9	0	0	0	0	3.1	0	0	0	0	0	0	0	1.8	2.4	0	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-6.71	-2.03	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	2.8
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	2.57	-0.52	2	3	0	0	3.8	2.6	2	0	0	0	2	0	3.7	0	0	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-7.66	-2.45	0	0	0	0	3.1	2.7	0	0	0	0	0	0	0	3.4	0	0	3.8
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.87	-4.31	2	0	0	0	4.3	0	0	0	0	2	0	0	0	0	0	2	2.6
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	3.55	1.96	1.9	1.9	0	0	3.7	0	0	0	0	0	0	0	2.5	1.9	0	1.9	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	2.58	-2.4	0	0	0	0	3.8	0	2	0	0	0	0	0	3	0	0	2	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.68	1.16	0	0	0	0	2.6	0	0	0	0	0	0	0	2.9	3.7	0	0	2.2
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	3.22	5.16	0	0	0	0	3.4	2	1.4	1.4	2	2.3	0	1.4	2.8	2.3	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.1	-5.76	2	0	0	0	3.5	2.6	0	0	0	0	0	0	0	0	0	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-3.96	2.54	0	0	0	0	2.1	0	0	0	2.1	0	0	0	3.4	4	2.8	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.97	-6.22	0	0	0	0	2.7	0	0	0	0	1.7	0	0	2.3	0	0	0	2.3
