day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx1	marker:Cdx2	marker:Hes7	up:Hoxb8	up:Cdx4	up:Hoxb9	up:Hoxb4	up:Hoxb7	up:Hoxb6	up:Arid3b	up:Hoxc8	up:Etv4	up:Msx1	up:Hoxa7	up:Hoxc4	up:Hoxd4	up:Hoxc6	up:Hoxd9	up:Lef1	up:Id1	down:Pou5f1	down:Zic3	down:Meis2
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-2.67	4.7	4	3.7	3.7	3.7	3.5	0	2.2	2.8	0	3.2	0	3.8	2.2	0	0	0	0	0	2.8	4.2	2.8	0	2.2
E7.75	E775_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.48	-1.25	4.4	2.4	0	3.3	2.8	3.3	0	0	0	1.8	0	1.8	3.6	0	1.8	0	0	0	1.8	2.4	3	0	1.8
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	2.98	1.11	4.4	3.7	2.6	3.7	3.5	3.8	2	0	0	2	0	2	2.6	2	2	0	2	0	2	2	4.3	0	0
E7.75	E775_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.01	-2.47	4	2.5	0	0	1.6	0	0	0	0	1.6	0	0	0	0	0	0	0	0	2.1	2.1	3.8	0	2.5
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	3.05	0.75	4.1	3.7	3	2.7	3.5	3.7	2	0	0	0	2	2	3	0	0	0	0	0	2	4.1	3.5	0	0
E7.75	E775_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.89	-1.95	4.3	4.5	2.4	3.7	3	0	3	2.4	0	0	0	4.1	0	0	0	0	0	0	3	2.4	3.9	0	2.4
E7.75	E775_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.15	1.96	4.2	3.7	0	2.6	0	2	2.6	0	0	2	0	0	3.3	0	0	0	0	0	0	0	4.3	0	2.6
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	2.82	-0.88	4.4	4.2	0	4.3	2.9	2.9	3.2	0	0	3.2	0	0	4.7	0	0	2.2	0	0	3.2	3.9	3.7	0	0
E7.75	E775_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.79	0.85	4.1	4.1	1.9	3.6	3.2	3.9	0	2.9	1.9	1.9	0	1.9	0	0	1.9	1.9	0	0	0	3.6	4	1.9	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	4.82	-1.6	4.3	3.5	2.8	2.8	3.9	2.5	1.8	2.5	2.5	2.8	2.8	3.1	3.7	2.5	0	1.8	0	0	2.5	2.8	3.5	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	0.78	-1.07	5.2	2.7	0	3.1	3.1	2.7	2.1	0	2.7	2.1	0	3.9	0	2.7	2.1	0	0	0	2.1	2.1	3.7	0	0
E7.75	E775_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.94	-2.58	4.7	2.5	0	2.5	2.5	0	2.9	0	0	0	0	1.9	0	0	0	0	0	0	1.9	0	3.1	0	1.9
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	3.22	1.14	3.8	3.2	0	3.2	3.2	2.8	2.1	2.1	2.8	3.4	2.1	3.6	0	2.1	0	2.1	0	0	0	3.2	3.2	0	0
