day	Anno	celltype	UMAP_1	UMAP_2	marker:Hba-a1	marker:Hba-x	marker:Hbb-bh1	up:Klf1	up:Ybx3	up:E2f4	up:Thra	up:Klf3	down:Gata2	down:Tead2	down:Hhex	down:Hoxb2	down:Jun	down:Mycn	down:Fli1	down:Lin28a	down:Junb	down:Jund	down:Zfp207	down:Trp53	down:Ascl2	down:Tsc22d1	down:Myc	down:Sox4	down:Runx1	down:Etv2	down:Cenpa	down:Fos	down:Klf2	down:Hmga1	down:Zfp428	down:Cebpb	down:Spi1	down:Gfi1b	down:Bcl11b	down:Hes6	down:Glyr1	down:Nfe2l2	down:Zfp422	down:Klf6	down:Tcf3	down:Msantd3	down:Zfp706	down:Pou5f1	down:Tgif1	down:Nfxl1	down:Myb	down:Thap11	down:Sall3	down:Ets2	down:Nr2f6	down:Cxxc5	down:Zfp711	down:Emx2	down:Hoxb4	down:Smad1	down:Ets1	down:Tcf15	down:Prdm6	down:Prdm5	down:Zfhx3
E7.5	E75_Blood_progenitors	Blood_progenitors	4.91	1.92	0	2.1	0	0	0	0	0	0	2.8	0	3.7	0	3.8	2.1	2.1	2.1	2.1	2.1	3.4	3.2	0	2.8	2.1	0	3.2	2.1	3.4	0	2.1	3.4	2.1	3.2	0	2.1	2.1	3.2	0	0	2.1	3.2	2.1	0	3.2	2.1	0	0	0	2.1	2.1	0	0	0	0	0	0	2.1	0	2.8	0	0	0
E7.5	E75_Blood_progenitors	Blood_progenitors	-6.14	-0.2	0	0	3.8	3.3	2.3	2.3	0	0	2.3	0	0	0	2.3	0	0	0	0	0	3	3	2.3	3	2.3	0	2.3	0	3.3	2.3	0	2.3	2.3	0	0	0	0	3	3	0	2.3	0	2.3	2.3	3.6	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Blood_progenitors	Blood_progenitors	5.29	2.82	0	0	0	0	2.4	2.4	0	0	3.7	3.6	2.4	1.8	3.8	2.4	0	0	2.8	1.8	3.9	3.3	0	2.4	2.8	1.8	2.4	1.8	3	0	2.4	2.4	2.8	0	0	1.8	0	0	0	2.4	2.4	0	3	0	3	0	0	0	0	2.8	0	0	2.4	1.8	0	1.8	0	2.4	0	0	0	2.8	0
E7.5	E75_Blood_progenitors	Blood_progenitors	-2.26	-1.66	0	0	3.8	0	3.1	2.1	0	0	3.1	3.6	3.1	0	0	0	0	0	0	0	3.8	3.4	3.1	2.1	0	2.7	0	0	4.3	0	0	3.4	2.1	0	0	0	0	2.1	3.4	0	2.1	0	0	0	4	2.1	2.1	2.1	0	2.7	0	0	0	2.1	0	0	0	0	2.1	0	0	0	0
E7.5	E75_Blood_progenitors	Blood_progenitors	0.87	-0.96	0	0	0	0	2.7	0	0	0	3.8	2.1	2.7	0	2.1	0	2.1	2.1	0	0	2.7	2.1	2.1	0	2.7	0	3.4	2.1	3.1	0	0	2.7	0	2.7	0	2.1	0	0	0	0	0	0	2.1	0	4.2	0	0	0	0	2.7	0	0	2.1	0	0	0	2.1	2.1	0	0	2.1	0	0
E7.5	E75_Blood_progenitors	Blood_progenitors	4.52	-2.96	0	0	0	0	3.2	1.6	0	0	3	3	2.2	1.6	2.2	3.5	3	1.6	0	2.2	3.3	3.3	1.6	0	2.2	2.2	2.2	0	3.5	0	0	3.5	0	2.5	0	2.5	0	1.6	2.8	2.8	2.2	0	1.6	0	3.6	0	0	0	1.6	2.5	1.6	0	1.6	1.6	0	0	0	1.6	0	2.2	1.6	1.6	0
E7.5	E75_Blood_progenitors	Blood_progenitors	0.28	-2.79	0	0	2.9	0	0	0	0	0	3.9	2.2	2.2	2.9	3.5	2.9	0	0	3.5	0	2.9	0	2.2	3.5	4.2	2.2	2.2	0	3.3	2.2	0	3.3	0	2.2	0	0	0	0	2.2	2.9	2.9	2.2	2.2	0	4.1	0	2.9	2.9	0	2.2	0	2.2	0	0	2.9	2.2	0	2.9	0	0	0	0	0
E7.5	E75_Blood_progenitors	Blood_progenitors	-0.97	1.11	0	0	0	1.8	1.8	2.8	0	0	3.5	3.3	0	0	3.6	2.5	0	2.5	1.8	0	3.6	3.3	0	2.5	2.5	2.5	2.5	0	3.6	2.5	0	0	2.5	0	0	0	1.8	0	2.5	2.5	2.5	2.8	1.8	1.8	4.2	0	0	0	1.8	2.8	0	0	0	0	0	0	0	0	1.8	0	0	1.8	0
E7.5	E75_Blood_progenitors	Blood_progenitors	-3.26	1.89	0	0	3.3	0	0	0	0	0	3.9	3.3	0	3.3	2.7	3	0	0	3	3	3.5	3.5	2.7	2.7	0	0	0	0	2.7	3.3	0	3.3	2	0	0	0	0	0	3	2	2	0	0	0	3.9	2	0	2	2	3	2	0	0	0	0	2	0	0	0	2	0	0	0
E7.5	E75_Blood_progenitors	Blood_progenitors	1.95	0.37	0	0	0	0	3.2	2.2	0	0	2.8	2.2	2.2	0	4	0	0	0	0	0	3.2	2.8	0	3.2	2.2	3.2	0	0	3.7	2.2	0	2.8	2.8	0	0	2.2	2.2	0	2.2	2.2	2.2	0	3.7	0	4	0	0	0	0	2.2	0	0	0	0	2.2	0	0	2.2	2.2	0	2.2	0	0
