day	Anno	celltype	UMAP_1	UMAP_2	Fli1	Gata1	Gfi1b	Hapln1	Hoxb2	Hoxb4	Lyl1	Runx1
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.32	2.15	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-4.95	3.12	2.3	0	2.3	2.3	3.3	0	2.9	2.3
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-4.18	-0.4	0	2.8	2.8	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.74	-1.03	0	0	0	4.4	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.51	1.31	0	4	0	0	0	0	2.5	2.5
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.49	1.87	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.77	2.49	0	0	2.7	0	0	0	2.7	2.7
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.9	2.05	0	4.3	3	0	0	0	0	3.6
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.43	-1	2.8	0	0	2.8	0	0	2.8	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.11	-1.59	3.5	0	0	0	3.5	0	0	3.5
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-4.37	1.96	0	3.8	2.7	0	0	0	0	2.7
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-0.34	-1.08	2.8	0	0	0	0	0	0	2.8
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.54	1.71	2.7	2.7	0	0	0	0	0	2.7
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.11	-3.69	2.3	0	0	2.3	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.64	1.72	3.4	0	0	0	2.7	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.61	-2.3	0	0	2.7	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.48	0.7	3.6	0	0	3	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.99	3.06	0	0	0	0	2.9	0	2.9	2.9
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.19	-2.6	0	0	0	0	0	0	0	0
