day	Anno	celltype	UMAP_1	UMAP_2	marker:Hhex	marker:Etv2	up:Etv2	up:Tal1	up:Gata2	up:Hhex	up:Junb	up:E2f4	up:Myc	up:Fli1	up:Zfp706	up:Fev	up:Sox7	up:Sox17	up:Klf13	up:Elk3	up:Prrx2	down:Mesp1	down:Pou5f1	down:Lhx1	down:Sp5	down:Snai1	down:Eomes	down:Mesp2	down:Mixl1	down:Gsc	down:Sox4	down:Lef1	down:Tgif1	down:Otx2	down:Smad1	down:Meis2	down:Pitx2	down:Zic3	down:Irx5	down:Nanog
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-3.71	-0.29	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	0	0	4.8	4.1	0	3.2	2.5	2.5	2.5	3.8	0	2.5	3.2	0	2.5	2.5	3.2	0	0	2.5	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-1.11	0.73	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	4.2	3.9	2.9	0	2.9	3.9	0	2.9	0	3.9	0	0	2.9	2.9	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	0.31	-3.83	0	0	0	0	0	0	0	0	3.1	0	3.5	0	0	0	0	0	0	4.6	4.5	0	2.5	3.1	3.1	2.5	3.1	0	3.8	0	2.5	0	0	2.5	0	3.1	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-0.07	1.2	0	0	0	0	0	0	2.9	2.9	0	0	4.3	0	0	0	0	0	0	3.6	3.6	2.9	0	2.9	3.6	0	0	0	2.9	2.9	2.9	0	4	2.9	0	0	2.9	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-1.21	0.19	0	0	0	0	0	0	2.9	2.9	0	0	2.9	0	0	0	0	0	0	5.1	2.9	3.6	0	0	3.6	2.9	2.9	0	2.9	2.9	0	0	0	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-4.16	0.83	0	0	0	0	0	0	0	2.3	2.3	0	2.3	0	0	0	0	0	0	5	4.6	2.9	3.3	2.3	3.6	2.3	3.8	0	0	0	0	2.3	2.3	0	2.3	2.3	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-1.96	-4.73	0	0	0	0	0	0	2.9	2.9	0	0	3.9	0	0	0	0	0	0	4.2	4.4	0	2.9	0	4.4	0	2.9	0	0	0	0	2.9	0	0	2.9	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	2.52	1.25	0	2.7	2.7	0	3.3	0	2.7	0	2.7	0	3.7	0	0	0	0	0	0	5.1	3.7	3.3	0	0	3.3	0	3.3	2.7	2.7	2.7	0	0	2.7	2.7	2.7	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	4.27	-0.94	0	2.3	2.3	0	0	0	0	2.3	0	0	3	0	0	0	0	0	0	4	4	0	0	2.3	3	0	2.3	0	2.3	3	2.3	0	2.3	0	2.3	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	5.35	-0.51	0	4.5	4.5	0	2.6	0	0	3.3	0	0	2.6	0	0	0	0	0	0	0	4.2	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	2.13	-2.55	0	0	0	0	0	0	0	0	0	0	4.1	0	0	0	0	0	0	4.7	3.9	0	0	2.8	3.5	0	2.8	0	2.8	2.8	3.5	0	2.8	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	2.09	0.54	0	4.8	4.8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5.1	2.7	0	0	0	2.7	0	3.4	0	0	2.7	2.7	0	3.4	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-1.56	-2.56	0	0	0	0	0	0	0	2.8	0	0	0	0	0	0	0	0	0	4.2	4.4	2.8	0	0	3.9	0	3.5	4.2	2.8	2.8	3.5	0	2.8	0	2.8	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	4.06	2.07	0	5.4	5.4	0	3.5	0	3.5	0	2.4	0	4.2	0	0	0	0	0	0	3.8	3.8	0	0	0	3.1	0	3.8	0	3.1	2.4	0	0	0	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	2.18	0.44	0	0	0	0	0	0	2.3	3	0	0	4.2	0	0	0	0	0	0	4.7	4.2	0	0	2.3	0	0	2.3	3	2.3	0	0	0	3.4	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	4.14	-1.91	0	0	0	0	0	0	4.3	0	2.8	0	3.4	0	0	0	0	0	0	4.3	3.4	0	0	0	0	0	3.4	0	3.4	0	0	0	2.8	2.8	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	6.3	3.97	0	2.8	2.8	0	2.8	0	0	3.4	2.8	0	3.8	0	0	0	0	0	0	4.1	3.4	0	0	0	0	0	0	0	2.8	0	0	0	0	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-3.11	-5.1	0	0	0	0	0	0	0	0	0	0	4.3	0	0	0	0	0	0	5	4.3	0	4.3	3	4.3	3.6	3	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	3.2	-2.58	0	0	0	0	0	0	2.8	3.4	0	0	2.8	0	0	0	0	0	0	3.8	3.8	0	3.4	0	3.4	0	3.4	2.8	2.8	0	0	0	2.8	0	2.8	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-2.45	-0.74	0	0	0	0	0	0	0	2.8	0	0	3.9	0	0	0	0	0	0	5.4	4.9	0	0	3.9	3.5	0	0	0	3.5	3.5	2.8	0	0	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-3.08	-1.09	0	0	0	0	0	0	0	0	3	0	4.5	0	0	0	3	0	0	5	4.3	3.6	3.6	0	3	3	0	0	3	3	0	0	3	3	0	3	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-5.48	-1.37	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	5.1	4.5	0	0	0	4.6	0	4.3	0	2.5	0	0	0	2.5	0	0	0	2.5	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-2.37	-1.69	0	3.8	3.8	0	0	0	2.7	3.4	2.7	0	3.8	0	0	0	0	0	0	5	4.3	2.7	3.4	3.4	3.8	2.7	3.8	3.8	2.7	0	0	2.7	2.7	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-4.92	0.23	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	4.5	4.5	3.5	3.1	3.1	3.5	3.5	3.1	0	0	2.5	3.5	0	2.5	0	2.5	0	0	2.5
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	1.81	-3.85	0	0	0	0	0	0	0	3	2.4	0	3.7	0	0	0	0	0	0	4.3	4.5	0	0	2.4	3	2.4	0	0	2.4	2.4	3.4	0	0	0	2.4	0	0	3
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-4.71	-4.12	0	1.9	1.9	0	1.9	0	0	1.9	0	0	2.6	0	0	0	0	0	0	4.7	4.6	2.9	1.9	1.9	2.6	0	2.6	0	3.4	2.6	2.6	1.9	2.6	2.6	0	0	1.9	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	4.57	0.78	0	2.7	2.7	0	0	0	0	2.7	0	0	4.3	0	0	0	2.7	0	0	4.7	4.1	0	0	0	2.7	0	2.7	0	2.7	3.4	2.7	0	0	0	2.7	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-3.27	-3.06	0	2	2	0	0	0	2	2.6	2	0	4.1	0	0	0	0	0	0	3.2	4.3	4	0	2	2.6	2.6	3.6	2.6	3.2	0	2.6	2.6	2	2	2	2	0	2
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-0.87	-3.29	0	0	0	0	0	0	0	2.7	0	0	4	0	0	0	0	0	0	4.8	4.5	0	3.7	3.3	3.3	0	2.7	0	0	2.7	0	2.7	0	2.7	0	0	0	2.7
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-2.83	-3.24	0	0	0	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0	4.3	4.3	3.4	4.6	0	4.3	0	3.4	3.4	3.4	0	3.4	0	2.7	0	0	2.7	2.7	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-5.02	-0.65	0	2.4	2.4	0	0	0	2.4	3	0	0	3.7	0	0	0	0	0	0	4.6	4.1	0	0	3.4	3.9	2.4	3.9	2.4	3	0	2.4	0	0	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-4.42	0.68	0	0	0	0	0	0	2.4	2.4	0	0	3.9	0	0	0	0	0	0	2.4	3.9	4.7	3.4	2.4	3	0	4.1	2.4	0	3	2.4	2.4	3.9	2.4	0	0	2.4	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-5.9	-2.87	2	0	0	0	0	2	0	2.7	0	0	3.5	0	0	0	0	0	0	3.7	4.4	3.1	2	2.7	4	3.1	2.7	2.7	3.1	2.7	3.1	2.7	2.7	2	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-1.24	-4.4	0	0	0	0	0	0	0	0	0	0	4.2	0	0	0	0	0	0	5	4.9	0	3	3.3	3.3	0	3.8	0	2.3	3	0	0	0	0	3	2.3	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-2.91	-2.4	0	2.4	2.4	0	0	0	0	2.4	0	0	3	0	0	0	0	0	0	4.7	4.9	3.4	3.7	3.4	2.4	2.4	3	2.4	3	2.4	0	2.4	2.4	2.4	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	1.26	1.07	0	0	0	0	0	0	0	2.7	0	0	2.7	0	0	0	0	0	0	4.6	4.1	3.4	0	0	3.4	0	3.4	2.7	2.7	3.4	0	2.7	3.4	0	0	0	2.7	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-5.26	-1.42	2.6	0	0	0	0	2.6	0	2.6	0	0	3.2	0	0	0	0	0	0	5.3	3.6	4.7	2.6	0	3.6	2.6	4.7	2.6	3.9	0	2.6	0	3.6	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-0.6	-2.8	0	0	0	0	0	0	0	3.7	0	0	0	0	0	0	0	0	0	5.6	5.3	2.7	4	3.7	3.4	0	2.7	0	0	3.4	0	0	0	2.7	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-1.52	-4.79	0	0	0	0	0	0	2.7	0	2.7	0	2.7	0	0	0	0	0	0	3.8	4.6	0	2.7	0	2.7	0	3.8	0	2.7	0	2.7	0	0	2.7	0	0	0	2.7
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	0.07	0.7	0	0	0	0	0	0	0	3.7	2.6	0	2.6	0	0	0	0	0	0	4.2	3.7	3.3	2.6	0	4	0	3.3	0	2.6	2.6	2.6	0	3.7	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-5.36	-1.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	4.2	2.5	3.6	0	2.5	3.8	3.8	2.5	2.5	2.5	3.2	3.2	2.5	0	2.5	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	3.84	2.08	0	0	0	0	0	0	0	2.3	2.3	0	3.3	0	0	0	0	0	0	2.3	3	0	0	0	2.3	0	2.3	0	0	0	0	0	3	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-5.66	-2.96	0	2.3	2.3	0	0	0	0	2.3	0	0	2.3	0	0	0	0	0	0	5	5	0	2.3	3	3	3	3.3	0	3	2.3	3	0	2.3	0	3.3	0	0	2.3
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-3.71	0.15	0	3	3	0	0	0	0	3	0	0	3.4	0	0	0	0	0	0	4.9	4.4	3.4	3	3.4	3	3	3	0	2.4	2.4	0	0	3.4	0	0	3	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-0.12	-1.78	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	4.6	4.5	0	0	3.6	0	0	0	2.6	0	2.6	0	2.6	0	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	1.15	-2.18	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	4.7	3.6	0	0	3.6	3.9	0	3.6	3.2	0	0	2.5	0	2.5	0	2.5	0	0	2.5
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-5.13	-3.05	0	0	0	0	0	0	0	3.3	0	0	3.7	0	0	0	0	0	0	3.7	4.5	3.3	3.7	4	0	3.3	4.9	3.7	3.3	0	3.3	0	2.6	2.6	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-4.11	-2.97	2.5	0	0	0	0	2.5	2.5	2.5	0	0	3.5	0	0	0	0	0	2.5	5	4.5	0	3.8	2.5	3.5	0	3.8	3.5	2.5	3.1	3.5	0	0	2.5	0	0	0	2.5
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-4.01	-2.92	0	0	0	0	0	0	0	2.6	0	0	4.1	0	0	0	0	0	0	5.3	4.3	3.6	3.9	3.2	3.9	3.2	4.1	2.6	3.6	2.6	0	2.6	0	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-4.14	-0.69	0	0	0	0	0	0	0	0	0	0	4.1	0	0	0	0	0	0	4.6	3.9	3.9	3.6	0	3.2	2.6	3.6	2.6	2.6	0	3.2	0	3.2	0	0	2.6	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-1.27	2.89	0	3	3	0	0	0	0	0	0	0	3.9	0	0	0	2.4	0	0	4.7	3.7	3	3	0	2.4	0	3.7	2.4	3	3	0	0	3	0	0	2.4	2.4	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	-0.05	2.85	0	0	0	0	0	0	0	2.5	0	0	3.1	0	0	0	0	0	0	4.2	3.8	2.5	2.5	0	3.8	0	2.5	0	3.1	0	3.1	0	3.1	0	0	0	0	0
E6.75	E675_Nascent_mesoderm	Nascent_mesoderm	3.77	0.63	0	2.4	2.4	0	0	0	2.4	2.4	0	0	4.1	0	0	0	0	0	0	4.3	3.9	0	3	3.4	0	0	3	0	0	3	2.4	0	3.4	0	0	0	0	0
