day	Anno	celltype	UMAP_1	UMAP_2	marker:Bmp4	marker:Fzd4	up:Hand1	up:Foxf1	up:Msx2	up:Msx1	up:Etv2	up:Fos	up:Prdm6	up:Cdx2	up:Hoxb2	up:Hoxd1	up:Isl1	up:Prrx2	up:Irf1	up:Zfp703	down:Sp5	down:Lhx1	down:Mesp1	down:Mesp2	down:Pou5f1	down:Gsc	down:Sox4	down:Mixl1	down:Otx2	down:Eomes	down:Zic5	down:Irx5
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	3.87	-2.72	0	0	3.4	2.3	2.9	2.6	1.7	0	0	0	0	0	0	0	0	0	2.3	2.9	4.6	2.3	2.9	0	3.3	0	3.1	3.4	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.86	-2.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	3.1	4.7	2.7	4.9	2.1	3.4	0	0	2.1	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	2.72	-2.66	0	0	2.1	0	0	3.2	0	0	2.1	0	0	0	0	0	0	0	0	3.4	4.6	2.1	2.1	0	2.8	0	2.8	3.4	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.22	-2.86	0	0	0	0	0	2.6	2	0	0	0	0	0	0	0	0	0	3.3	4.2	4.9	3.3	4	3	2	4.5	2.6	2	2.6	2
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	4.09	0.17	0	0	4	2.3	2.7	2.9	4.2	0	1.7	0	0	0	1.7	0	1.7	0	0	3.3	4.5	1.7	4.1	1.7	1.7	2.9	1.7	3.8	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	1.71	-0.44	0	0	1.8	2.5	3.3	4	0	2.8	1.8	0	0	1.8	0	1.8	0	0	0	3.3	4.3	0	4	1.8	2.5	2.5	0	2.5	1.8	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.26	0.47	0	0	2.8	1.8	2.4	2.4	1.8	0	0	0	0	0	1.8	0	0	0	1.8	3	5.3	1.8	3.4	1.8	3.4	3.8	0	3.6	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.49	-0.7	0	0	2.6	2	2.6	0	3	0	0	0	0	0	0	0	2	0	2.6	2	4.6	0	4.2	0	2	4	2	3	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	1	-3.65	0	0	0	0	2.3	2.3	0	0	0	0	0	0	0	0	0	0	2.3	3.3	4.4	0	4.3	2.9	0	0	0	3.8	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.25	0.23	0	0	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	3.8	3.4	5	4	4.3	2.7	4	3.8	2.7	3.4	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	4.77	1.81	0	0	0	1.8	1.8	1.8	3.7	0	1.8	0	0	0	0	0	0	0	3.1	3.1	4.2	2.8	4.1	1.8	2.4	3.6	1.8	3.3	1.8	1.8
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.61	3.79	0	0	3.4	0	0	2.1	2.1	0	0	0	0	0	0	0	0	0	0	2.1	4.7	2.1	4.4	0	3.4	2.7	0	2.7	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.88	5.12	0	0	3.5	2.5	3.4	2.5	1.9	0	0	0	0	1.9	0	0	0	0	2.5	3.8	4.6	0	4.5	0	3.1	3.8	0	3.1	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.9	-0.55	0	0	0	0	0	0	2.5	1.9	0	0	1.9	0	1.9	1.9	0	0	2.9	3.6	5.1	3.4	3.9	3.4	2.5	4.3	2.5	3.2	2.5	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.65	4.93	0	0	2.1	2.1	3.2	2.5	0	0	0	2.5	0	0	1.6	0	0	0	2.1	0	4.9	0	4.8	1.6	3.4	3.9	0	3.2	1.6	2.1
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.08	-2.58	0	0	0	0	2.9	2.3	0	0	0	0	0	0	0	2.3	0	0	3.3	2.9	5.1	2.9	4.1	0	0	3.8	0	2.9	2.3	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-4.07	-0.31	0	0	0	0	0	1.7	2.3	0	0	0	0	0	0	0	0	1.7	3.6	4	4.5	1.7	4	2.3	3.2	3.2	1.7	3.4	1.7	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.52	-1.51	0	0	3.2	0	3.5	3.9	0	0	0	0	0	0	0	0	0	0	2.2	0	4.6	0	4.1	3.5	2.2	2.8	2.2	2.2	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-5.71	0.5	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	3.9	3.1	4.6	2.1	4.5	2.1	2.1	2.7	0	3.8	0	2.7
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.75	-0.1	0	0	3.9	1.9	3.2	1.9	1.9	0	0	0	0	0	0	0	0	0	0	2.5	5	0	4.2	1.9	3.6	4.3	0	2.9	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.31	-2.2	0	0	2.8	0	0	2.8	0	0	0	0	2.8	0	0	2.1	0	0	3.4	2.8	5.2	0	3.8	3.2	2.1	3.6	0	3.4	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.79	1.04	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	3.1	4.3	4	2.2	4.3	2.6	3.1	3.8	2.6	2.9	0	1.6
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	5.43	0.43	2.4	0	3.6	1.8	2.8	3	1.8	0	0	0	0	0	1.8	1.8	0	0	1.8	2.8	4	0	3.2	2.4	3.7	1.8	0	3.4	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.75	-1.06	0	0	2.3	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	2.9	4.6	3.3	4.9	0	0	4.9	0	4.2	0	0
