day	Anno	celltype	UMAP_1	UMAP_2	marker:Hlx	marker:Postn	up:Foxp1	up:Creb3l1	up:Nr2f2	up:Hoxb2	up:Gata5	up:Nkx2-3	up:Mef2c	down:Cdx2	down:Lef1	down:Hoxd9	down:Pitx1	down:Id3	down:Hoxd1	down:Evx1	down:Nkx1-2	down:Hoxa10	down:Msx1	down:Msx2	down:Tcf7	down:Alx3	down:Hmga2	down:Sp5	down:Hoxa1	down:Id1	down:Cdx1	down:Hoxb6	down:Hoxb8	down:Hoxb9	down:Cdx4	down:Tbx3
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.98	-6.29	0	0	2.7	2	0	0	0	0	0	2	3	0	4	3.3	0	2.7	0	0	0	3.7	3	0	3.9	2.7	0	0	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	5.38	0	2.4	0	2.4	2.4	0	3.1	0	0	0	0	0	0	0	3.8	2.4	0	0	0	3.1	0	0	0	3.1	0	0	0	0	2.4	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.08	-3.53	0	0	0	0	0	2.5	0	0	0	1.9	1.9	1.9	1.9	3.6	0	1.9	1.9	0	1.9	0	0	0	4.2	1.9	0	2.9	0	1.9	0	0	1.9	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.6	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	4	0	0	0	0	2.7	0	0	0	0	2.7	2.7	2.7	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.22	-4.94	0	0	2.2	0	0	0	0	0	0	4.3	3.7	3.5	2.2	4.9	0	0	0	2.9	3.7	3.5	0	0	2.2	0	0	0	0	2.9	3.3	0	0	2.2
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.06	3.32	0	0	1.9	1.9	0	0	0	0	1.9	2.9	0	0	0	4	0	0	0	0	2.6	1.9	0	0	1.9	0	1.9	0	0	0	1.9	0	2.9	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-3.1	5.75	0	0	0	0	0	2.2	2.9	0	2.9	0	0	0	0	4.1	0	0	0	0	2.9	0	0	0	2.2	0	2.2	2.2	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	0.47	3.96	0	0	2.1	2.1	2.1	3.4	2.1	0	0	0	0	0	0	3.6	0	0	0	0	0	2.1	0	0	2.8	0	2.1	0	0	2.1	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-1.38	4.05	0	2.4	0	2.4	0	3.7	2.4	0	0	0	3	0	0	4.1	0	0	0	0	4.4	3.7	0	0	3.4	0	0	3.4	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.84	-5.02	0	2.6	0	2	0	2.6	2.6	0	0	2	2.6	0	3.4	3.8	0	0	2	0	3	3	2.6	2	3	0	0	2	2	0	2.6	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.36	-5.06	0	0	0	0	0	0	0	0	0	3.8	2.1	2.1	2.1	4.3	0	2.1	0	2.1	3.7	3.2	0	0	4.5	0	0	4	0	3.7	0	2.8	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.01	3.19	2.2	0	2.2	2.2	0	3.8	0	0	0	2.2	2.2	0	0	0	0	0	0	0	2.2	2.2	0	0	2.2	0	0	0	2.2	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.15	-0.89	0	0	0	0	0	0	0	0	0	3.3	3.7	0	2.6	4.3	3.3	0	2.6	0	3.3	0	0	0	3.7	0	0	0	2.6	2.6	0	0	2.6	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.6	1.94	0	0	0	0	2.3	2.9	0	0	0	0	0	0	0	3.3	2.3	2.3	0	0	2.3	2.3	0	0	4	0	2.9	2.3	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.97	1.82	0	0	2	0	0	2	0	0	0	0	3	0	0	3.5	4.1	0	0	0	2	0	0	0	3.5	0	3.3	0	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.07	4.69	0	0	0	2.3	0	3	0	3	0	0	0	0	0	3.4	0	0	0	0	2.3	3	0	0	0	0	0	0	0	3	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.71	3.78	0	0	0	0	0	3.3	0	0	0	0	2.9	0	0	4.4	3.6	0	0	0	0	2.3	0	0	3.3	0	0	4.5	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-3.48	6.57	0	0	0	2.2	0	3.5	2.2	0	3.2	0	0	0	0	3.9	0	0	0	0	0	0	0	0	3.5	0	0	4.1	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.95	2.68	0	0	1.8	2.4	1.8	2.4	1.8	0	0	3.6	2.4	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	1.8	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.91	5.17	2.7	0	0	2.7	0	0	0	0	0	0	0	0	0	4.5	3.3	0	0	0	0	2.7	0	0	0	0	0	0	0	2.7	2.7	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.33	-4.87	0	0	0	1.6	0	1.6	0	0	0	1.6	2.6	0	2.6	4.4	1.6	1.6	0	2.2	4	3.7	1.6	1.6	1.6	0	2.2	1.6	0	3.2	1.6	1.6	0	2.2
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-0.23	8.15	0	0	2.8	0	0	2.4	0	0	0	0	1.8	0	0	3.8	2.4	0	0	0	3.1	2.8	0	0	2.4	0	2.4	3.1	0	1.8	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-2.84	7.28	0	2.4	0	2.4	0	3.7	2.7	0	3	1.8	1.8	0	0	3.7	0	0	0	0	3.8	1.8	0	0	3.5	0	0	3.4	0	0	1.8	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-0.47	3.37	0	0	2.5	0	0	2.9	2.5	0	0	0	0	0	0	3.2	0	0	0	0	0	1.9	0	0	0	0	2.5	0	0	2.5	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	0.11	7.62	0	0	2.8	1.8	2.4	1.8	0	0	0	0	0	0	1.8	3	0	0	0	0	2.8	0	0	0	3.4	0	1.8	2.4	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-5.11	-2.36	3.4	0	0	0	0	3.2	0	0	0	2.9	2.5	0	3.2	4.4	2.5	0	1.9	0	2.9	1.9	2.9	0	3.4	1.9	0	2.5	0	0	2.5	0	3.4	2.9
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.74	-4.73	0	2	0	3	0	2.7	0	0	0	3.3	2.7	0	3.3	4.2	0	2	2	0	3.5	3.5	0	0	0	2	2.7	0	0	3.3	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	5.95	-2.74	0	0	0	2.7	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	4.5	0	0	0	3.4	0	0	0	0	4.3	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.63	4.49	0	1.9	2.5	3.9	0	3.6	0	0	0	0	0	0	0	1.9	0	0	0	0	1.9	1.9	0	0	1.9	0	0	0	0	3.7	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-0.84	-1.09	0	0	0	2.1	0	3.1	0	0	0	2.8	2.1	2.8	0	4.1	0	0	0	0	4.6	3.1	0	0	2.1	0	0	4	0	2.1	0	2.1	2.1	2.1
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-5.35	-2.21	0	0	3	0	0	2.3	0	0	0	3.9	4.1	0	0	4.5	0	0	0	0	4.2	3.4	0	0	3.4	2.3	0	0	0	3	0	0	2.3	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	6.48	-2.13	0	2.6	2	2.6	0	3.3	0	0	0	0	0	0	2	2	0	0	0	0	4.6	2.6	2.6	2	2.6	2	2	0	0	3	0	2	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.74	2.87	0	0	2.7	0	2	2.7	2.7	0	0	0	2.7	0	0	4.5	4.3	0	0	0	0	2	0	0	4	2	2	2.7	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	6.9	-3.14	0	0	2.7	0	0	3.8	0	0	0	0	0	0	0	4.1	0	0	0	0	4.6	2.7	2.7	0	0	0	0	0	0	3.8	0	0	0	2.7
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	4.3	1.45	0	0	2.2	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	0	0	0	0	3.7	0	2.2	4	0	2.2	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-3.95	-4.2	0	0	1.8	0	0	2.4	0	0	0	3.8	1.8	1.8	2.4	4.4	3.2	0	1.8	1.8	4.5	3.6	0	1.8	4.1	0	1.8	3.8	0	2.4	1.8	0	0	2.4
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-3.84	-5.71	0	0	2.2	0	0	2.2	0	0	0	0	2.2	3.5	3.5	4.9	2.9	2.2	2.2	2.9	3.2	2.2	0	0	4.3	0	0	3.9	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.64	1.97	0	0	0	0	0	0	0	0	0	0	2.1	0	0	3.4	3.4	0	0	0	3.4	3.4	0	0	4	0	0	2.8	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-3.99	-5.68	0	0	0	0	0	0	0	0	0	4	0	3.5	3.5	4.4	0	0	0	3.1	3.1	3.1	0	2.4	3.1	0	0	2.4	0	0	2.4	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.39	-3.09	0	0	1.9	0	0	1.9	0	0	0	3.8	1.9	2.9	2.9	4.4	4.1	1.9	1.9	0	3.4	3.2	1.9	0	4.2	0	1.9	2.9	0	3.2	1.9	0	1.9	1.9
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.22	-4.99	0	0	0	0	0	0	0	0	0	3.3	0	2.7	2.7	5.2	2.7	0	0	3.3	3.7	3.3	0	0	3.3	0	0	3.7	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.31	4.13	0	0	2.3	3	0	3	3	0	0	0	0	0	0	3.4	0	0	0	0	3	0	0	0	3	0	0	0	0	3.6	2.3	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	6.25	-3.09	0	2.5	0	2.5	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0	3.6	2.5	0	0	2.5	0	0	0	0	2.5	3.2	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-1	-5.38	0	0	0	0	0	3.1	0	0	0	2.3	2.3	1.7	1.7	3.9	1.7	1.7	0	0	3.7	2.6	0	1.7	2.6	1.7	0	3.6	1.7	2.9	2.6	0	0	1.7
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-0.21	7.38	0	0	0	2	2.6	2	0	0	0	0	2	0	3.4	3	0	0	0	0	2.6	0	0	0	3	2	2	0	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.26	-5.37	0	3	2.3	3	0	3	0	0	0	0	2.3	0	3.9	0	3.4	0	0	0	3.9	3.6	0	0	2.3	2.3	0	0	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.48	-2.91	0	0	0	0	0	0	2.3	0	0	3	3	0	2.3	4.4	2.3	0	0	3.4	4.3	2.3	3	2.3	3.6	0	0	3	0	2.3	0	0	0	2.3
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.82	4.56	0	0	2.3	0	0	2.3	0	0	0	2.3	0	0	3	0	0	0	0	0	2.3	0	0	2.3	0	0	0	0	0	2.3	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-5.19	-3.09	1.8	0	2.4	0	0	3.3	1.8	0	0	2.8	3	0	2.8	3.9	3	1.8	0	1.8	3.3	2.4	2.4	0	4	1.8	2.4	3	3.6	1.8	3	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.42	0.74	0	0	2.2	0	0	0	0	0	0	0	0	0	2.2	4.5	0	0	0	0	0	2.9	0	0	3.5	0	0	4.2	0	0	0	0	0	2.2
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.49	0.15	0	0	2.1	1.5	0	3.7	0	1.5	0	0	0	0	0	3.4	0	0	0	1.5	1.5	1.5	0	0	3	0	0	1.5	0	1.5	0	0	0	1.5
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.81	3.23	2	0	2	0	2	3	2	0	2	0	2.6	0	0	3.5	2	0	0	0	0	0	0	0	3.9	0	0	2	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.27	0.11	0	2.9	0	2.9	0	2.9	0	0	0	0	0	0	0	0	2.9	0	0	0	2.9	0	2.9	0	4.5	0	0	0	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-5.73	-4.45	0	0	2.8	2.4	0	3.1	0	0	0	2.4	0	2.4	2.8	3.3	0	1.8	0	2.8	4.2	2.4	1.8	0	2.4	0	1.8	3.3	0	1.8	1.8	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-2.5	-2.59	2.5	0	0	0	0	0	0	0	0	2.5	0	2.5	0	4.9	3.1	0	0	0	4.3	0	2.5	0	3.1	0	0	4.5	0	3.5	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.27	-5.59	0	0	0	0	0	0	2.3	0	0	2.3	2.3	0	4.5	3.8	0	0	2.3	0	0	2.9	2.9	0	3.3	0	0	0	0	3.6	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.59	-6.16	0	0	0	0	0	0	0	0	0	3.5	3.1	0	3.1	4.7	0	0	2.4	0	3.1	3.7	3.1	0	3.7	0	0	0	0	0	0	2.4	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.71	5	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	2.5	0	2.5	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-3.03	5.84	0	0	0	0	2.4	3.4	2.4	0	0	0	0	0	0	3	0	0	0	0	3.4	0	0	0	3	0	0	2.4	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-0.73	-3.44	2.4	0	2.4	0	0	3	0	0	0	0	0	0	2.4	4.5	0	0	0	0	0	2.4	0	0	3	2.4	0	3.9	2.4	0	2.4	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.36	2.96	0	0	2.4	1.8	0	2.8	0	0	0	2.8	0	0	1.8	0	0	0	1.8	0	0	1.8	0	0	3.1	0	0	0	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-0.26	0.72	0	0	0	1.9	0	2.5	0	1.9	0	1.9	0	1.9	0	4.3	2.5	0	0	0	1.9	0	0	0	4.3	1.9	2.9	3.4	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-1.23	-3.98	0	0	0	0	0	0	0	0	0	4.1	0	3.6	2.5	4.1	0	2.5	0	0	2.5	0	0	0	4.5	0	0	2.5	2.5	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-5.62	-0.8	0	0	2.1	2.1	0	2.1	0	0	0	2.1	3.2	0	2.8	4.3	3.4	0	2.1	0	3.4	2.1	2.1	2.1	3.4	0	0	2.1	0	0	0	0	2.8	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-2.16	-5.27	0	0	2.9	0	0	0	0	0	0	2.9	3.6	0	2.3	4.7	2.3	3.3	2.3	0	3.6	2.9	0	0	2.9	0	0	2.9	0	2.9	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-1.95	5.27	0	0	0	0	0	4	1.8	0	0	1.8	1.8	0	0	4.2	0	0	0	0	4.1	3.4	0	0	3	0	2.4	2.4	0	1.8	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-0.03	1.2	1.8	0	3	1.8	0	4.2	1.8	0	0	1.8	1.8	0	0	1.8	1.8	0	0	0	2.4	0	0	0	3.6	0	0	2.4	0	2.4	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.09	4.03	2.4	0	2.4	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	2.4	0	0	3.1	3.1	0	0	0	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.81	-4.78	0	3.4	2.8	3.1	0	2.1	0	0	0	0	0	0	2.8	3.6	0	2.1	2.1	0	2.8	3.1	0	0	3.6	0	2.1	0	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-3.15	-6.13	3	0	0	0	0	2	0	0	0	3.6	0	2.6	0	3.5	2	0	0	0	3.6	2	2	0	3.6	0	0	0	0	2.6	2	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.44	2.17	0	0	0	0	0	0	0	0	0	0	3.1	0	0	4.6	3.5	0	0	0	0	0	0	0	3.8	0	2.5	2.5	0	0	0	0	0	3.1
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-1.53	4.67	0	0	0	0	0	3.5	0	0	0	0	2.5	0	0	4.4	2.5	0	0	0	3.1	3.5	0	0	2.5	0	2.5	4	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.51	6.28	0	0	0	2.4	0	0	3.4	0	0	0	0	0	0	3.7	0	0	2.4	0	0	2.4	0	0	2.4	0	0	3.7	0	0	0	0	0	0
