day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hes3	up:Nkx1-2	up:Hoxb9	up:Sox2	up:Foxb1	up:Nr6a1	down:T	down:Tbx6	down:Msx2	down:Mixl1	down:Mesp1	down:Hes7	down:Klf5	down:Snai1	down:Hand1
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.84	-1.84	3.5	3.5	3.6	3.6	3.8	3.5	0	2	3.2	0	0	0	0	0	2	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.18	-3.09	0	0	0	0	3.2	0	0	0	0	2.6	0	2.6	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.47	2.79	2.5	3.1	0	0	3.5	3.1	3.1	0	2.5	2.5	0	0	0	0	2.5	2.5	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.6	0.99	2.4	0	2.4	2.4	3.9	2.4	0	0	0	3.4	0	0	0	0	2.4	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.06	2.91	3.9	2.4	3	3	3	0	2.4	0	3.4	0	0	0	0	2.4	0	2.4	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.35	-2.62	3.3	0	2.3	2.3	4	2.9	0	3.3	4	0	2.3	0	0	0	2.9	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.58	-1.67	0	0	3.2	3.2	3.6	0	0	1.9	0	1.9	2.5	1.9	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.56	-2.51	3.1	0	3.9	3.9	2.7	2.1	2.1	0	3.1	0	0	0	0	0	0	2.1	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.05	-1.45	3.3	2.5	0	0	3.9	2.9	1.9	0	3.5	1.9	0	0	0	1.9	1.9	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.76	1.52	3.2	0	2.9	2.9	0	3.5	0	0	2.9	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.84	-2.79	3.1	2.5	2.5	2.5	3.1	0	0	0	2.5	2.5	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.02	-1.92	4.1	2.3	2.3	2.3	4.4	0	2.3	2.9	2.9	2.9	0	0	0	0	2.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.74	-0.89	2.8	0	2.8	2.8	3.5	2.8	2.8	0	0	0	0	0	0	0	2.8	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.12	-0.23	2.9	0	2.9	2.9	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.13	-2.31	3.1	2	2.7	2.7	3.1	2	2.7	2	2	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.46	-3.05	0	0	0	0	4.1	0	0	0	0	0	0	0	0	0	2.8	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.94	2.73	3.2	2.9	3.9	3.9	2.9	2.2	0	0	3.7	0	0	0	0	0	2.2	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.16	-1.36	4.2	2.1	2.1	2.1	3.4	3.1	2.1	2.1	2.1	2.1	0	0	0	2.1	2.1	0	0	0
