day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hoxc8	up:Hoxb9	up:Hoxa7	up:Hoxc6	up:Msx1	up:Hoxa9	up:Hoxc4	up:Sox4	up:Etv4	up:Hoxc9	up:Evx1	up:Hoxb6	up:Hoxb8	up:Hes7	up:Zfp503	up:Hoxa3	up:Tbx6	down:Hoxa1	down:Zic3	down:Meis2	down:Jund	down:Pbx2	down:Tshz1
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.89	1.66	3.5	3.5	3.6	0	3.5	2	0	0	0	2	3	2	0	0	0	4.2	2	2	0	0	3.9	0	2	3	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.56	0.16	0	0	0	0	0	0	0	3.9	0	0	2.6	3.2	0	0	0	0	0	0	0	0	3.6	2.6	0	0	0	2.6
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.77	-2.42	2.5	3.1	0	0	3.1	0	0	0	0	0	3.1	3.1	0	0	3.1	3.1	2.5	0	2.5	0	3.1	0	0	2.5	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.13	-4.2	2.4	0	2.4	0	2.4	0	0	2.4	0	0	0	2.4	0	0	0	3	2.4	2.4	0	0	2.4	0	2.4	0	0	2.4
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.37	-2.11	3.9	2.4	3	0	0	0	0	0	2.4	2.4	3	3.4	0	2.4	0	3.4	0	2.4	2.4	0	4.1	0	0	0	2.4	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.07	2.38	3.3	0	2.3	2.9	2.9	0	0	0	0	0	3.8	3.8	0	0	0	3.8	2.9	0	0	2.3	2.9	0	2.3	2.3	0	2.9
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.63	-2.16	0	0	3.2	0	0	0	0	0	0	0	1.9	1.9	0	0	0	3.2	0	1.9	0	2.5	2.5	0	1.9	1.9	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.65	2.04	3.1	0	3.9	0	2.1	0	0	2.7	0	0	2.1	2.7	0	0	0	3.4	0	2.7	0	0	4.7	2.1	2.7	2.7	2.1	2.7
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.15	2.51	3.3	2.5	0	1.9	2.9	1.9	0	2.9	0	0	3.3	3.1	0	0	0	2.9	1.9	0	2.5	0	3.7	0	1.9	2.5	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.05	-2.9	3.2	0	2.9	2.9	3.5	2.2	0	3.5	0	2.9	3.5	0	0	0	2.9	3.7	0	0	0	0	3.5	0	2.2	3.2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.34	2.92	3.1	2.5	2.5	0	0	0	0	0	0	0	2.5	0	0	0	0	4	0	0	0	0	4.6	2.5	0	2.5	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.62	3.44	4.1	2.3	2.3	0	0	0	0	0	0	0	2.9	3.8	0	2.3	2.3	2.9	2.3	2.3	0	0	2.9	3.3	2.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.91	0.64	2.8	0	2.8	2.8	2.8	0	0	2.8	0	0	4.1	2.8	0	2.8	2.8	3.5	2.8	0	0	0	0	0	0	2.8	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.81	-0.25	2.9	0	2.9	0	0	2.9	0	2.9	0	0	0	0	0	0	0	2.9	0	2.9	0	0	3.6	2.9	2.9	2.9	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.78	0.52	3.1	2	2.7	0	2	0	0	0	0	2	2.7	2.7	0	0	0	0	0	0	2	0	3.3	2.7	2.7	2.7	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.61	2.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	2.8	0	0	0	3.8	0	2.8	2.8	0	2.8
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.49	-3.34	3.2	2.9	3.9	0	2.2	0	0	2.2	0	2.2	3.5	0	0	0	2.2	2.9	2.2	0	0	0	4.1	0	2.2	0	0	2.2
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.93	-0.42	4.2	2.1	2.1	0	3.1	2.1	0	0	0	0	2.1	2.1	0	0	2.1	3.4	2.1	2.1	0	0	4.2	0	2.1	0	2.1	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.78	-0.32	3.4	2.4	0	0	3.7	2.4	0	0	0	2.4	0	3.4	0	0	0	3.9	2.4	2.4	0	0	4.2	0	3.4	3	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.56	3.02	3.3	2.9	2.9	0	2.9	0	0	2.2	0	0	2.9	2.9	0	0	0	2.9	2.2	0	0	0	3.5	2.2	0	2.9	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.77	-2.75	3.4	3.4	4.4	3.4	2.4	2.4	0	2.4	2.4	2.4	0	3.4	0	0	0	4.1	2.4	2.4	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.08	-3.94	2.9	0	4	0	0	0	0	4.8	2.3	2.3	2.9	2.3	0	0	2.3	4.4	0	0	2.3	0	3.3	0	2.3	2.9	0	2.3
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.38	-0.65	3.5	0	3.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	3.5	0	0	2.5	0	3.2	0	0	0	2.5	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.48	0.43	4.4	2.9	3.8	2.2	2.9	0	0	3.5	0	0	2.2	3.8	2.2	2.2	2.9	2.9	3.9	0	0	0	2.2	0	2.2	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.17	1.73	4.2	3.6	2.9	2.3	2.9	0	0	2.3	0	2.9	2.9	3.6	0	2.3	0	4	3.3	2.3	0	2.3	2.3	0	0	2.3	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.95	0.59	3.3	2.3	0	0	0	0	0	0	0	0	2.3	3.6	0	0	0	4.1	2.9	0	0	0	3.8	2.3	0	0	0	2.9
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.42	-2.77	3.9	0	2.6	0	2.6	0	0	3.6	0	0	3.9	3.2	0	0	2.6	2.6	2.6	0	0	0	2.6	0	0	0	0	2.6
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.34	4.18	3.2	1.9	3.4	0	0	0	0	3.2	0	0	1.9	2.6	0	0	1.9	2.6	0	0	0	0	3.8	2.6	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.45	4.08	3.6	2.3	3.3	0	2.3	0	2.3	3.3	0	0	2.3	2.3	0	2.9	0	2.3	0	0	0	0	3.8	2.3	0	0	0	2.9
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.31	-0.25	2.9	2.9	2.2	0	0	0	0	0	0	0	2.9	2.2	2.2	0	0	3.5	2.2	0	0	0	3.7	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-5.07	0.86	2.1	0	3.1	0	2.1	0	0	0	0	0	0	2.1	0	0	0	2.8	0	0	0	0	3.8	2.8	2.1	2.1	0	2.1
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.97	0.59	2.6	0	3.9	0	0	0	0	1.9	0	0	0	0	0	0	0	2.6	0	0	0	0	4.2	1.9	2.6	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.66	-0.67	2.5	0	3.2	0	3.9	0	0	0	0	2.5	2.5	3.2	0	0	0	4.1	0	0	2.5	0	3.6	0	2.5	2.5	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.32	2.53	4	3.3	0	0	3.1	0	0	0	0	0	3.5	2.7	0	0	2	3.5	3.1	0	2	2	2	2	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.91	3.58	2.9	0	2.3	0	0	0	0	0	0	2.3	2.9	2.3	0	0	0	3.8	0	0	0	0	4.6	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.81	0.83	3.5	0	3.9	0	0	2.2	0	3.2	0	2.8	2.2	0	0	0	0	2.8	0	0	2.8	0	4.3	2.2	2.2	3.2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.53	1.63	0	0	3.4	0	2.4	0	0	0	0	0	3.4	3	0	0	0	3	0	0	0	0	2.4	0	2.4	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.64	3.02	2.1	0	0	0	0	0	0	0	0	2.7	3.1	3.1	0	0	0	0	0	0	0	0	4.6	2.7	2.7	2.1	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.43	3.2	3.1	2.7	0	0	3.1	2.1	0	3.8	0	2.1	2.1	2.7	0	2.7	0	4	2.1	0	0	0	3.8	0	2.1	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.09	-3.44	4	2.3	0	0	3.3	0	0	3	0	0	3.3	3.6	0	0	0	4	3	0	2.3	0	3	0	2.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.29	1.85	2.2	2.2	3.6	0	0	0	0	3.3	0	0	2.2	0	0	0	2.2	2.9	0	2.2	0	0	4.3	2.2	2.2	2.2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.8	3.12	2.1	2.1	2.1	0	2.1	2.1	0	2.1	0	0	2.8	2.8	0	0	2.1	3.7	2.1	0	0	0	4	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.22	0.71	3.8	2.3	3.3	2.9	3.6	3.3	0	3.3	0	2.9	2.3	0	0	0	0	4	0	0	2.9	0	3.3	2.3	2.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.2	-0.78	3	0	3.6	0	3.6	0	0	0	0	0	3	3.6	3	3	3	3.6	0	0	3	0	3.6	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0	1.18	2	2.6	0	2	2.6	0	0	3	2	2	2	3.7	2	2	2	2.6	2	0	2.6	0	3.3	0	0	2.6	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.44	4.47	2.3	2.3	2.3	0	2.3	0	0	0	0	0	3.6	2.3	0	0	0	3.3	0	0	0	0	4.6	0	0	0	0	2.3
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.52	0.77	2.1	2.1	0	0	0	0	0	0	0	0	2.8	2.8	0	0	0	3.4	0	2.1	2.1	0	4	2.8	0	3.2	0	0
