day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hoxb9	up:Nkx1-2	up:Sox2	up:Nr6a1	up:Foxb1	up:Lyar	down:T	down:Tbx6	down:Mixl1	down:Snai1	down:Hes7	down:Hand1	down:Klf5	down:Mesp1	down:Msx2
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-3.96	1.17	0	0	0	0	3.8	0	3.8	0	4.2	2.5	0	0	0	3.1	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	4.86	3.53	3.1	0	0	2.4	0	0	0	0	4.4	2.4	0	0	0	3.1	2.4	0	0	3.1
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.64	0.27	3.7	2.2	2.2	0	3.7	0	2.2	0	4.2	3.2	0	0	0	3.2	2.2	2.2	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	4.13	2.68	3.7	0	0	0	0	0	0	0	3.7	3.7	0	0	0	0	0	0	2.7	2.7
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-0.23	-1.96	4.1	2.4	3.1	0	2.4	2.4	2.4	2.4	4.4	3.1	0	0	0	3.4	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-1.9	2.89	3	0	0	2.3	3	0	0	0	4.4	3.4	2.3	3	2.3	2.3	3	3	3	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.17	-0.32	2.8	2.2	0	0	0	2.8	0	0	3.9	3.5	0	0	0	0	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	1.78	-1.42	3.6	2.1	2.1	2.7	2.7	0	2.1	2.7	3.8	3.4	2.7	0	0	2.1	0	2.1	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-0.6	4.28	0	2.5	0	0	0	0	2.5	2.5	4.2	4.1	3.2	0	0	4.5	0	0	0	2.5
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-2.02	2.4	2.4	2.4	0	3.1	2.4	0	3.1	2.4	4.4	4.3	2.4	0	2.4	3.4	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	1.41	-0.65	4.2	0	0	0	4	0	0	2.6	4	4.4	0	0	0	0	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	5.65	1.66	3.2	0	0	0	0	0	0	0	4.2	3.2	0	0	0	2.8	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-1.81	-2.58	3.7	0	0	3.5	3.7	0	0	0	3.7	3.5	0	0	2.4	3.1	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-3.96	-0.61	3.7	0	2.7	0	3.3	0	0	0	3.3	3.7	2.7	0	0	3.3	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-3.18	-0.92	3.8	3.1	0	2.4	3.1	0	2.4	0	4	4.3	2.4	0	0	2.4	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	0.18	5.06	2.2	0	0	2.2	2.8	0	2.2	0	3.9	3.2	2.2	0	2.2	4.2	0	2.2	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.43	1.08	2.2	0	0	0	0	2.2	0	0	3.7	3.9	0	0	0	2.8	2.2	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	0.3	4.07	3.5	0	2.9	2.9	2.9	0	0	0	3.5	4.9	0	4.2	0	0	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-3.45	-0.84	2.3	2.9	0	2.9	2.3	0	2.3	2.3	4.7	2.9	0	0	0	2.9	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	3.53	-2.27	3.9	2.6	0	3.6	3.2	0	0	0	4.6	3.9	2.6	3.2	0	4.4	0	0	0	0
