day	Anno	celltype	UMAP_1	UMAP_2	marker:Isl1	marker:Tbx1	up:Nkx2-5	up:Nkx2-6	up:Jun	up:Tlx1	up:Maff	up:Mef2c	up:Arid3b	up:Tsc22d1	up:Etv5	up:Sox9	up:Xbp1	up:Irx2	up:Pax6	up:Hey2	down:Lyar	down:Foxf1	down:Mycn	down:Hoxb1	down:Hoxa1	down:Gata6	down:Osr1	down:Alx1	down:Hoxb2	down:Hoxa2	down:Twist1	down:Hoxd1	down:Meox1
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	1.15	-2.62	3.1	2.7	3.1	0	0	0	0	3.5	0	3.3	0	0	3.1	0	0	0	4.3	2	4.3	2	0	2.7	0	0	2.7	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-5.65	1.55	0	0	2.6	0	2.6	0	0	3.2	2.6	4.1	0	0	0	0	0	0	2.6	3.6	0	2.6	0	3.2	0	2.6	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-6.71	-0.65	2.2	0	2.8	0	0	0	0	2.8	0	3.9	2.2	0	2.2	2.2	0	0	4.1	0	0	0	0	2.2	0	0	2.2	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	1.07	-0.57	2.9	0	2.5	0	0	0	1.9	2.5	0	1.9	0	0	2.9	0	0	0	4	1.9	2.9	0	1.9	1.9	1.9	1.9	1.9	0	0	2.5	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.77	-2.05	2.4	0	2.4	0	2.4	0	0	0	2.4	3.1	0	0	2.4	0	2.4	0	4.1	0	3.1	0	0	0	0	2.4	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-6.15	1.24	2.6	0	1.6	0	2.6	0	0	3.6	2.2	3.8	1.6	0	2.2	0	0	0	4	3.6	2.6	2.6	1.6	2.6	0	1.6	2.2	0	1.6	1.6	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	6.92	1.64	0	0	0	0	2	0	0	0	0	3.3	0	0	2	0	0	0	4.6	2	3.5	0	4.1	0	0	2	2	0	0	0	2
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	5.3	2.92	0	0	0	0	2	0	0	0	2	2.7	0	0	2	0	0	0	4	2.7	4.3	3	2	0	2	2.7	3.3	0	3.3	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	2.32	-4.04	2.3	2.9	0	0	2.9	0	0	2.9	0	0	0	0	2.9	0	0	0	4	2.9	4	0	2.3	2.9	0	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.87	-1.93	2.4	0	3.4	0	0	0	0	2.4	0	3	0	0	3.4	3	0	2.4	3.7	0	0	0	0	0	0	2.4	0	0	2.4	0	0
