day	Anno	celltype	UMAP_1	UMAP_2	marker:Tdo2	marker:Hsd11b2	marker:Pmp22	marker:Hand1	up:Foxp1	up:Hoxb2	up:Creb3l1	up:Mef2c	up:Gata5	up:Hlx	up:Nr2f2	up:Nkx2-3	down:Pitx1	down:Cdx2	down:Msx1	down:Hoxb6	down:Msx2	down:Hoxd1	down:Hoxd9	down:Lef1	down:Hoxb8	down:Sp5	down:Hoxa1	down:Tcf7	down:Cdx1	down:Hoxa10	down:Nkx1-2	down:Evx1	down:Alx3	down:Hoxb9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.24	6.86	0	0	5	2.7	2.7	0	2	0	0	0	0	0	4	2	0	0	3.7	0	0	3	0	2.7	0	3	0	0	0	2.7	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.24	-4.68	3.5	2.4	5.2	4.7	2.4	3.1	2.4	0	0	2.4	0	0	0	0	3.1	2.4	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.97	2.57	2.5	1.9	3.6	2.5	0	2.5	0	0	0	0	0	0	1.9	1.9	1.9	1.9	0	0	1.9	1.9	0	1.9	0	0	0	0	1.9	1.9	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.6	-0.97	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	4	0	0	0	0	2.7	0	2.7	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.98	4.03	0	0	0	4.9	2.2	0	0	0	0	0	0	0	2.2	4.3	3.7	2.9	3.5	0	3.5	3.7	3.3	0	0	0	0	2.9	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.53	-3.26	4.7	2.9	3.8	3.8	1.9	0	1.9	1.9	0	0	0	0	0	2.9	2.6	0	1.9	0	0	0	1.9	0	1.9	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.12	-6.14	4.3	3.9	4.8	4.4	0	2.2	0	2.9	2.9	0	0	0	0	0	2.9	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.18	-3.86	4.4	3.1	5.5	4.6	2.1	3.4	2.1	0	2.1	0	2.1	0	0	0	0	2.1	2.1	0	0	0	0	0	2.1	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.2	-5.59	0	3.7	5	5	0	3.7	2.4	0	2.4	0	0	0	0	0	4.4	0	3.7	0	0	3	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.18	6.1	0	0	5	4.9	0	2.6	2	0	2.6	0	0	0	3.4	2	3	0	3	0	0	2.6	2.6	0	0	2.6	2	0	2	0	2	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.22	2.91	0	0	2.8	2.1	0	0	0	0	0	0	0	0	2.1	3.8	3.7	3.7	3.2	0	2.1	2.1	0	0	0	0	0	2.1	0	2.1	0	2.8
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.42	-2.7	4.5	3.3	4.9	4.8	2.2	3.8	2.2	0	0	2.2	0	0	0	2.2	2.2	0	2.2	0	0	2.2	0	0	0	0	2.2	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.58	-1.97	0	0	4.4	2.3	0	2.9	0	0	0	0	2.3	0	0	0	2.3	0	2.3	2.3	0	0	0	0	2.9	0	0	0	0	2.3	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.08	-1.53	0	0	4.1	2	2	2	0	0	0	0	0	0	0	0	2	0	0	4.1	0	3	0	0	3.3	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.83	-5.02	4.2	3	5	4.5	0	3	2.3	0	0	0	0	3	0	0	2.3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.16	-3.99	0	0	4.1	2.9	0	3.3	0	0	0	0	0	0	0	0	0	0	2.3	3.6	0	2.9	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.49	-7.19	3.2	2.2	3.5	2.9	0	3.5	2.2	3.2	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.42	-2.62	4.3	2.8	4.6	4.4	1.8	2.4	2.4	0	1.8	0	1.8	0	2.4	3.6	0	0	0	0	0	2.4	1.8	0	0	0	0	0	0	0	0	1.8
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.12	-4.94	0	3.3	5.2	3.3	0	0	2.7	0	0	2.7	0	0	0	0	0	2.7	2.7	3.3	0	0	2.7	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.37	5.29	0	0	5	4.5	0	1.6	1.6	0	0	0	0	0	2.6	1.6	4	3.2	3.7	1.6	0	2.6	1.6	0	2.2	1.6	0	2.2	0	1.6	1.6	1.6
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.67	-1.42	1.8	0	4.5	3.3	2.8	2.4	0	0	0	0	0	0	0	0	3.1	1.8	2.8	2.4	0	1.8	0	0	2.4	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-2.77	-7.74	0	0	3.8	3.8	0	3.7	2.4	3	2.7	0	0	0	0	1.8	3.8	0	1.8	0	0	1.8	1.8	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	0.07	-2.77	3.7	2.5	5.3	5.5	2.5	2.9	0	0	2.5	0	0	0	0	0	0	2.5	1.9	0	0	0	0	0	2.5	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.33	-1.39	3.8	2.4	4.6	4.1	2.8	1.8	1.8	0	0	0	2.4	0	1.8	0	2.8	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.35	1.66	3.4	0	5	3.7	0	3.2	0	0	0	3.4	0	0	3.2	2.9	2.9	0	1.9	2.5	0	2.5	2.5	1.9	0	2.9	0	0	1.9	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.65	5.66	2	2.7	5	5.1	0	2.7	3	0	0	0	0	0	3.3	3.3	3.5	3.3	3.5	0	0	2.7	0	2	2.7	0	0	0	2	2	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.8	2.09	0	0	5.7	5.2	0	0	2.7	0	0	0	0	0	0	0	4.5	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.62	-3.62	3.4	2.9	5.7	4.4	2.5	3.6	3.9	0	0	0	0	0	0	0	1.9	3.7	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.37	1.77	3.6	0	4.7	4.6	0	3.1	2.1	0	0	0	0	0	0	2.8	4.6	2.1	3.1	0	2.8	2.1	0	0	0	0	0	0	0	0	0	2.1
E8	E8_Somatic_mesoderm	Somatic_mesoderm	5.41	2.02	0	2	5.4	5	2	3.3	2.6	0	0	0	0	0	2	0	4.6	3	2.6	0	0	0	0	2	2	2.6	0	0	0	0	2	2
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.51	-2.65	0	2	5.1	3	2.7	2.7	0	0	2.7	0	2	0	0	0	0	0	2	4.3	0	2.7	0	2	2	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	5.68	3.1	0	0	5.5	3.8	2.7	3.8	0	0	0	0	0	0	0	0	4.6	3.8	2.7	0	0	0	0	0	0	2.7	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.9	-1.46	3.4	0	4.4	2.8	2.2	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.9	3.9	0	0	2.9	4.5	2.2	2.2	0	0	0	0	0	0	3.5	0	3.2	0	2.2	2.9	3.5	2.2	0	0	0	0	0	2.9	2.2	2.2	0	0
