day	Anno	celltype	UMAP_1	UMAP_2	marker:Slc2a3	marker:Postn	up:Msx1	up:Pitx2	up:Hoxb6	up:Tsc22d1	up:Peg3	up:Klf6	up:Hoxb8	up:Jun	up:Cdx4	up:Twist1	up:Rarg	up:Sp5	up:Prrx1	up:Hoxd4	down:Foxf1	down:Hlx	down:Lin28a
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.24	6.86	3.7	0	0	4	0	2	3	3.5	0	2	0	0	0	2.7	0	2	2.7	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.24	-4.68	3.8	0	3.1	0	2.4	3.8	4.4	3.1	0	2.4	0	0	0	0	0	0	2.4	2.4	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.97	2.57	0	0	1.9	1.9	1.9	3.2	3.2	1.9	0	0	1.9	0	2.5	1.9	1.9	0	3.7	0	2.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.6	-0.97	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	4	0	2.7
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.98	4.03	2.9	0	3.7	0	2.9	2.9	2.2	0	3.3	2.2	0	0	2.2	0	0	0	4.4	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.53	-3.26	1.9	0	2.6	2.6	0	3.4	2.6	0	1.9	1.9	2.9	0	0	0	0	0	3.6	0	1.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.12	-6.14	2.2	0	2.9	0	0	3.2	3.5	0	0	0	0	0	2.2	0	0	0	4.3	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.18	-3.86	2.8	0	0	2.1	2.1	3.8	2.8	3.1	0	2.1	0	2.1	0	0	0	0	4.7	0	3.1
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.2	-5.59	0	2.4	4.4	3	0	2.4	3.4	3	0	0	0	0	0	0	0	0	4.6	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.18	6.1	3.6	2.6	3	3.4	0	3.8	3.9	2.6	2.6	2	0	0	2	0	0	0	4.2	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.22	2.91	2.1	0	3.7	0	3.7	0	2.8	0	0	0	0	0	0	0	0	0	2.8	0	2.1
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.42	-2.7	3.5	0	2.2	0	0	2.2	3.5	2.2	0	0	0	0	2.2	0	0	0	3.5	2.2	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.58	-1.97	0	0	2.3	0	0	3.3	2.9	2.9	0	2.3	0	2.3	0	0	0	0	4.7	0	2.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.08	-1.53	0	0	2	0	0	3.3	3.3	2	0	3	0	2.6	2.6	0	2.6	0	2.6	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.83	-5.02	4.2	0	2.3	0	3	2.3	0	0	0	0	0	0	0	0	0	0	4.5	0	3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.16	-3.99	0	0	0	0	0	2.9	3.6	2.3	0	3.8	0	2.9	2.3	0	0	0	2.3	0	2.3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.49	-7.19	3.2	0	0	0	0	4.5	2.2	2.2	0	0	0	2.9	0	0	0	0	2.9	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.42	-2.62	1.8	0	0	3.1	0	3.6	2.8	1.8	1.8	0	0	0	2.8	0	0	0	4.2	0	2.8
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.12	-4.94	0	0	0	0	2.7	0	3.3	2.7	2.7	3.3	0	0	0	0	0	0	3.7	2.7	2.7
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.37	5.29	4.1	0	4	3.5	3.2	3.8	3.9	2.8	1.6	2.2	0	0	2.6	0	0	0	3.2	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.67	-1.42	3.1	0	3.1	1.8	1.8	3.9	2.8	2.4	0	2.8	0	2.8	2.4	0	0	0	3.3	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-2.77	-7.74	3.5	2.4	3.8	1.8	0	3.2	3.5	3	1.8	1.8	0	2.7	0	0	0	0	3.8	0	2.7
E8	E8_Somatic_mesoderm	Somatic_mesoderm	0.07	-2.77	0	0	0	3.6	2.5	4	3.7	3.2	0	0	0	1.9	0	0	0	0	4.6	0	2.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.33	-1.39	2.4	0	2.8	4	0	3.8	1.8	2.8	0	0	0	1.8	3	0	0	0	4.2	0	1.8
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.35	1.66	3.2	0	2.9	3.6	0	3.9	3.7	2.5	2.5	2.5	3.4	1.9	0	1.9	0	0	3.7	3.4	2.5
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.65	5.66	3.5	2	3.5	3.9	3.3	4	3	3	0	0	0	0	0	2	0	0	4.2	0	2
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.8	2.09	3.4	0	4.5	2.7	4.3	4.3	3.8	4.1	0	0	0	0	0	0	0	0	4.1	0	0
