day	Anno	celltype	UMAP_1	UMAP_2	down:Pou5f1	down:Gbx2	down:Hoxb1	down:Hoxa1	down:Tal2	down:Dlx5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.21	0.84	4.3	3	0	2.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.46	-2.33	5.1	3.3	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	4.25	-1.81	4.6	1.5	0	2.5	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.93	0.2	4.5	3.1	0	2.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.89	-2.59	4.7	2.9	0	1.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.36	-1.51	5.2	0	0	0	0	2.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.83	-2.63	4.8	3.1	0	3.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.67	-2.6	4.6	0	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.91	-0.67	4.2	0	0	2.8	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.5	-4.07	5	1.9	0	2.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.18	-1.12	4.2	2.7	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.36	-0.61	4.5	2.5	1.8	2.5	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.04	-0.05	4.5	0	0	2.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.03	-3.06	4.8	3.1	0	2.7	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.6	-0.89	4.7	3.2	0	2.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.36	-0.17	4.6	3	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.39	1.5	4.7	3	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.96	-0.39	4.6	3.1	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.98	0.17	4.8	0	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.54	-0.88	4.1	2.2	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.16	-2.41	4.4	2.2	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.3	-0.53	5.1	2.3	3	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.57	-0.47	4.7	3.3	2.6	2.2	1.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.09	-3.85	4.7	0	2	2.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.75	1.27	4.6	0	0	3.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.25	0.5	4.8	3.1	0	2.7	0	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.29	-3.08	4.8	2.2	0	2.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.53	-3.37	4.7	2.4	0	3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.43	0.2	4.4	2.7	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.61	-1.89	4.4	0	0	3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.13	3.78	4.7	0	0	0	0	2.3
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.64	0.77	5	0	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	4.72	-1.04	4.6	0	0	2.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.19	0.37	5	2.2	0	2.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.11	1.27	3.6	0	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.73	-1.1	4.5	0	0	0	0	0
