day	Anno	celltype	UMAP_1	UMAP_2	Btg2	C130060K24Rik	Cdkn1c	Dach1	Dach2	Dmbx1	Ebf1	Ebf2	Fgf15	Fgf17	Fgf8	Gadd45g	Mecom	Mitf	Mybl1	Neurod1	Nfia	Nkx2-1	Nlgn1	Npas3	Olig2	Pax2	Pax3	Pax5	Pcbp3	Ppp1r1c	Prdm16	Prmt8	Ptprr	Setbp1	Shox2	Six3	Slc17a6	Sox1	Sox5	Sox6	Syt13	Trps1	Zeb2
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.7	2.86	2.1	0	3.6	0	0	0	0	0	3.2	0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.39	-2.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	0	0	2.8
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.98	-0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.32	2.74	0	0	2.4	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	1.8
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.18	-0.17	0	0	3.5	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-2.83	3.44	0	0	1.9	0	0	0	1.9	0	2.9	0	0	0	0	0	0	0	0	0	0	1.9	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.81	-3.13	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-3.32	6.94	0	0	2.9	0	0	0	0	0	2.2	2.2	2.2	0	0	0	0	0	0	0	0	0	0	0	0	2.2	2.2	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.35	-0.24	0	0	2.9	1.9	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	1.9	0	0	0	0	1.9	0	0	0	0	0	0	2.5
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.61	7.07	0	0	0	0	0	0	0	0	0	2.2	3.2	0	0	0	0	0	0	0	0	0	0	0	0	2.2	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
