day	Anno	celltype	UMAP_1	UMAP_2	Bach2	Cpa2	Dach1	Dll1	Fgf10	Hes7	Hoxa1	Hoxb1	Lmx1b	Mecom	Meis2	Meox1	Msx1	Pax2	Pax8	Prrx1	Sim1	Tbx6	Tshz2	Wnt5a
E8.5	E85_Intermediate_mesoderm	Intermediate_mesoderm	7.06	0.47	0	0	0	0	0	0	2.8	0	0	0	2.8	0	0	0	0	0	0	0	0	2.8
E8.5	E85_Intermediate_mesoderm	Intermediate_mesoderm	-5.8	3.85	0	0	0	0	0	0	0	0	0	1.9	0	3.2	3.4	1.9	2.5	0	0	0	1.9	0
E8.5	E85_Intermediate_mesoderm	Intermediate_mesoderm	6.06	1.58	0	0	0	0	0	2.6	0	0	0	0	2.9	0	2.9	0	0	0	0	0	2.6	0
E8.5	E85_Intermediate_mesoderm	Intermediate_mesoderm	1	-6.23	0	0	0	0	0	0	2.3	2.3	0	0	3	0	0	0	0	3	0	0	0	0
E8.5	E85_Intermediate_mesoderm	Intermediate_mesoderm	-0.08	-5.23	0	0	0	0	0	0	2.7	0	0	0	3	0	4.1	0	0	2.7	0	0	2.7	0
E8.5	E85_Intermediate_mesoderm	Intermediate_mesoderm	5.9	0.61	0	0	0	0	0	2.1	2.1	3.4	0	0	0	0	2.7	0	0	0	0	2.1	0	0
E8.5	E85_Intermediate_mesoderm	Intermediate_mesoderm	-6.46	4.03	0	1.7	0	0	1.7	0	0	0	0	1.7	2.3	2.9	3.8	0	3.1	0	1.7	0	2.7	0
E8.5	E85_Intermediate_mesoderm	Intermediate_mesoderm	2.53	-3.48	0	0	2	0	0	0	0	0	0	0	2	2	3.3	0	0	2.7	0	0	0	0
E8.5	E85_Intermediate_mesoderm	Intermediate_mesoderm	2.63	-3.34	0	0	0	0	0	0	1.8	2.4	0	0	2.7	0	3.7	0	0	2.4	0	0	0	0
E8.5	E85_Intermediate_mesoderm	Intermediate_mesoderm	3.48	-3.04	0	0	0	0	0	0	0	0	0	0	3.1	0	3.1	0	0	3.1	0	0	2.4	2.4
E8.5	E85_Intermediate_mesoderm	Intermediate_mesoderm	6.44	1.06	0	0	0	0	0	2.9	2.9	2.5	0	0	1.9	0	2.9	0	0	0	0	1.9	2.5	2.9
E8.5	E85_Intermediate_mesoderm	Intermediate_mesoderm	6.37	1.3	0	0	2	0	0	2	0	2	0	0	2	2	3.5	0	0	0	0	0	0	0
