day	Anno	celltype	UMAP_1	UMAP_2	marker:Foxa2	marker:Shh	marker:Ntn1	marker:Bmp7	up:Nkx6-1	up:Foxa1	up:Nkx2-9	up:Tox2	up:Arx	up:Tsc22d1	up:Peg3	up:Rfx4	up:Barx2	up:En1	up:Hey1	up:Sox4	up:Mxd4	up:Tal2	up:Dmrtb1	up:Sox2	up:Xbp1	up:Hes1	up:Pou6f2	up:Otx2	down:Id2	down:Lyar	down:Irx3	down:Irx5	down:Hes3	down:Hmgb1	down:Irx2	down:Mycn	down:Meis2	down:Cnbp	down:Pax3	down:Id1	down:Gli3	down:Myc
E8.5a	E85a_Hindbrain	Hindbrain	4.71	-3.3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	2	0	0	3.3	2	0	0	0	4	4.4	2.6	2	3.6	5.8	0	3.3	3	4.9	3	2.6	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-1.19	1.01	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0	0	3.7	0	0	0	3.5	2.2	2.2	0	0	4.3	3.5	3.9	3.2	2.2	6	0	3.7	2.2	4.6	0	3.2	0	2.2
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-8.07	-0.95	3.9	3.5	2	2	0	3.5	0	2	0	4.2	3.8	0	2	3.5	0	4.6	2.6	0	0	4.3	2	3	2.6	0	0	2	2	0	0	5.2	0	0	2.6	4.5	0	2.6	0	0
E8.5a	E85a_Hindbrain	Hindbrain	5.99	-4.95	0	0	0	0	0	2.5	0	0	0	3.1	0	0	0	0	0	0	2.5	0	0	2.5	2.5	0	0	0	5	4.6	0	0	0	5.6	0	4	3.5	4.9	0	4	0	2.5
E8.5a	E85a_Hindbrain	Hindbrain	-0.16	-1.2	0	0	0	0	0	0	0	0	0	4	3.1	0	0	0	0	3.8	0	0	0	0	2.5	2.5	0	0	3.8	3.8	3.1	3.8	3.5	5.6	0	0	0	4.4	2.5	0	0	0
E8.5a	E85a_Hindbrain	Hindbrain	6.12	-0.59	0	0	0	0	0	0	1.8	0	0	4	0	0	0	0	1.8	3.8	0	0	0	2.4	0	0	0	0	4.1	3.6	2.8	2.8	0	5.7	0	2.4	2.4	5.5	0	2.4	0	0
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-8.86	0.78	2.7	3.8	2.7	0	0	0	0	3.8	2.7	4	4	2.7	0	0	0	2.7	2.7	0	0	4.3	0	0	0	0	0	0	0	0	0	5.4	0	2.7	0	5	0	0	2.7	0
E8.5a	E85a_Hindbrain	Hindbrain	6.91	-1.68	0	0	0	0	0	0	0	0	0	3	0	2.6	0	0	0	0	0	0	0	3	2	0	0	0	4.3	3	2	0	2.6	5.3	2	3	3	4.9	3	3.2	2	0
E8.5a	E85a_Hindbrain	Hindbrain	5.77	0.2	0	0	0	0	0	0	0	0	0	3.9	0	0	0	0	0	2.3	0	0	0	2.3	3	0	0	0	4.5	4.2	0	2.3	0	5.3	2.3	3	3.4	5.1	2.3	3.4	0	3
E8.5a	E85a_Hindbrain	Hindbrain	-0.87	6.3	0	0	0	0	3.4	0	4.6	0	0	3.4	0	0	0	0	0	3.6	0	0	0	3	0	3.4	0	0	3.9	3.9	0	0	0	5.3	2.3	4	3.4	4.9	0	3	0	0
E8.5a	E85a_Hindbrain	Hindbrain	6.16	2.2	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	2	0	0	0	3	3.3	2	0	0	4	3.6	3	0	2.6	5.7	2.6	3.5	3.3	4.9	2	3.3	2	2
E8.5a	E85a_Hindbrain	Hindbrain	-3.72	-2.17	0	0	0	0	0	0	1.8	0	0	3.1	1.8	1.8	0	0	0	4.1	0	0	0	3.6	1.8	2.5	0	0	3.9	4.1	0	0	0	5.6	1.8	1.8	0	5.1	0	1.8	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-0.01	-3.13	0	0	0	0	0	0	0	0	0	4	2.8	2.2	0	0	0	3.2	0	0	0	2.8	0	0	0	0	5.2	3.8	2.2	2.2	2.8	5.7	3.2	3.4	0	4.7	0	3.7	0	0
E8.5a	E85a_Hindbrain	Hindbrain	0.34	-2.95	0	0	0	0	0	0	0	0	0	3.5	0	2.2	0	0	0	2.2	0	0	0	3.5	2.2	0	0	0	5.5	4.7	3.7	0	0	5.3	2.8	3.7	3.9	5.1	2.8	0	0	0
