day	Anno	celltype	UMAP_1	UMAP_2	down:Klf6	down:Pitx2	down:Creb3l1	down:Tsc22d1	down:Peg3	down:Snai2	down:Prdm6	down:Tcf4	down:Tead1	down:Zfp711	down:Gata6	down:Hmg20b	down:Zfhx3	down:Purb	down:Tbx20	down:Epas1	down:Pbx1	down:Creb3	down:Myrf	down:Foxp1	down:Mbnl2	down:L3mbtl3	down:Tead4	down:Hlx	down:Dpf3	down:Tcf7l1	down:Gata5	down:Ets1	down:Zeb1	down:Cxxc4	down:Creb3l2	down:Zfp9
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.95	1.7	2.5	0	0	1.9	1.9	0	1.9	0	0	0	1.9	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-3.31	1.59	0	0	0	2.4	2.4	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	1.8	1.8	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	4.17	1.61	2.2	0	0	2.6	1.6	0	2.2	0	1.6	0	1.6	0	0	2.2	0	0	0	1.6	0	1.6	0	0	0	0	0	0	0	0	1.6	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.53	-0.67	2.7	0	0	3.6	2.7	0	0	0	0	0	3.1	2.7	0	0	0	0	0	2.1	0	2.1	0	0	2.1	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.65	0.9	0	2.5	0	2.5	2.5	0	1.9	0	2.5	0	0	0	1.9	0	0	0	1.9	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.19	-0.94	1.8	1.8	0	3.5	2.8	0	2.4	0	0	0	0	1.8	0	0	1.8	0	1.8	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	4.22	-1.62	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	5.42	-2.87	1.7	0	0	0	3.5	0	1.7	1.7	0	0	0	2.7	0	2.3	0	0	2.3	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	2.69	-2.27	0	0	0	2.4	3.1	0	1.8	2.4	1.8	0	0	1.8	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.6	0.64	2.1	0	0	2.7	2.7	2.1	0	2.7	2.1	0	0	2.1	0	0	2.1	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.57	-0.45	2.8	0	0	3.1	2.5	0	1.9	1.9	1.9	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	1.9	1.9	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-5.31	-0.02	3	0	0	3.2	3	0	3	1.8	0	0	1.8	1.8	0	0	0	0	2.4	2.4	0	0	1.8	0	0	0	0	0	0	1.8	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	2.66	-3.88	2.1	2.1	0	3.4	2.1	0	2.7	0	0	0	0	2.1	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	4.77	-0.65	0	0	0	3.2	2.9	0	0	1.9	0	0	2.5	3.4	0	0	0	0	1.9	0	0	0	0	1.9	1.9	0	1.9	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-6.72	1.31	3	0	0	2.1	3.3	0	1.5	0	0	0	0	3.1	0	1.5	0	0	1.5	1.5	0	1.5	0	1.5	1.5	0	0	1.5	1.5	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	2.4	0.87	1.9	0	0	2.6	2.6	0	2.6	0	0	0	1.9	0	1.9	0	0	0	0	1.9	0	0	0	0	0	0	1.9	1.9	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-4.18	-0.29	3.4	2.3	0	2.7	3.7	0	1.7	0	0	0	0	2.3	1.7	0	0	0	1.7	2.7	0	1.7	0	0	0	0	0	1.7	1.7	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.24	2.83	0	0	0	2.8	2.8	0	1.9	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.11	2.97	0	0	0	0	3.3	0	0	2.2	0	0	2.2	2.2	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	2.2	0	0	0	2.2
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.2	-0.03	3.2	2.8	0	3.5	2.8	0	2.2	0	2.2	0	2.8	2.2	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	0.9	4.64	0	0	0	0	0	0	3	0	0	0	0	0	2.4	2.4	0	0	0	2.4	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-4.22	-2.26	3.5	1.9	0	2.8	2.8	0	1.9	0	0	0	0	1.9	0	0	1.9	0	0	1.9	0	0	0	0	1.9	0	0	0	0	1.9	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	2.73	4.52	0	0	0	0	2.4	0	2.4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.68	0.64	1.9	1.9	0	1.9	0	0	1.9	0	0	0	2.5	0	0	0	0	0	2.5	0	0	1.9	0	0	1.9	0	0	0	0	0	0	0	0	0
