day	Anno	celltype	UMAP_1	UMAP_2	marker:Foxb1	marker:Pax6	marker:Crabp2	up:Hoxa1	up:Cenpa	up:Mis18bp1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.75	1.05	1.9	0	4.4	3.9	3.2	1.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.06	-2.87	1.9	0	2.6	1.9	2.6	1.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.14	-0.46	0	0	4.6	1.7	3.5	1.7
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.69	1.49	0	3.1	4.6	4.2	3.9	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.13	-1.5	0	0	3.3	3.5	2.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.56	0.91	1.9	0	3.6	4.1	4.4	1.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.73	3.85	2.9	2.5	4.8	1.9	3.5	2.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.16	1.04	1.8	0	4.5	2.4	3.4	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.48	2.83	2.4	0	4.9	4.2	2.4	2.4
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.83	2.18	0	2.1	4.2	2.4	2.9	1.5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.07	-3.13	0	0	3.4	2.6	3.4	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.39	1.79	2.7	0	4.2	4	3.7	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.48	0.53	0	1.9	3.7	0	3.7	2.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.25	2.19	1.9	0	4.5	4.3	2.9	2.5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.46	3.99	0	1.9	3.1	4.3	3.9	1.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.05	0.17	0	0	3.1	3.6	3.7	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.03	-0.6	0	0	4.5	4.1	3.4	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.57	-1.22	0	0	4	4	3.7	2.5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.96	2.94	1.7	1.7	4.9	3.1	4	1.7
