day	Anno	celltype	UMAP_1	UMAP_2	marker:Fgf8	marker:Msx2	marker:Rspo2	up:Trps1	up:Meis1	up:Trp63	up:Rere	up:Tcf4	up:Bach2	up:Dach1	up:Sox6	up:Lef1	up:Setbp1	up:Arid5b	up:Tshz2	up:Foxn3	up:Cux1	up:Zfp521	up:Pou6f2	up:Bbx	up:Etv1	up:Pbx3	up:Etv5	up:Sox13	up:Tox	up:Baz2b	up:Arid1b	up:Zfp710	up:Zim1	up:Foxo3	up:Rfx3	up:Smad5	down:Pknox2	down:Elf1	down:Tead1	down:Jazf1	down:Tfap2b
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	5.46	1.81	0	0	0	3.2	5.2	3.9	4.5	4.9	3.2	0	0	0	0	3.9	0	3.2	3.2	3.2	0	0	0	0	0	0	0	4.9	3.9	0	0	3.9	4.3	0	4.3	3.9	4.3	3.9	3.9
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	1.66	2.12	0	0	0	0	3.3	0	5.2	4.4	0	0	0	0	3.3	3.3	0	4.9	4	4	0	3.3	0	4.7	0	0	0	4	3.3	0	3.3	0	4	0	0	0	3.3	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	0.94	4.47	0	0	0	1.9	3.3	2.9	4.7	4.6	0	3.3	1.9	1.3	4.4	3	2.3	2.5	3.6	3.5	0	4	1.3	4.7	1.9	0	2.3	4.1	4.1	1.3	0	1.9	3.3	2.5	3	3.2	4.9	0	2.5
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-2.97	1.71	0	0	0	4.3	4.3	5.5	5.3	4.5	2.2	2.9	4.8	2.9	4.6	4.5	3.3	4.1	4.3	4.6	0	3.9	2.2	4.8	2.9	0	0	4.1	4.4	2.2	3.3	0	4.2	2.9	4.1	2.2	4.5	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-3.5	4.11	2.3	0	0	4.6	0	4.5	5	5.2	0	3.3	4.2	5	4.5	2.9	0	2.9	3.6	4.6	0	2.9	0	2.3	3.3	0	0	4.1	3.6	4.2	0	0	4.2	3.3	3.6	2.3	4.4	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	3.07	6.22	0	0	0	2.7	3.4	0	4.5	4.1	2.7	3.8	0	4.1	3.4	0	0	2.7	3.4	4.1	0	3.8	2.7	5.4	0	3.4	3.4	4.3	4.5	0	0	0	4.3	0	5	3.8	4.6	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	6.41	1.15	0	0	0	3.4	3.8	0	4.5	4.4	0	1.7	0	3.4	4	3.4	0	3.5	3	3.2	0	4.6	0	4	3.2	1.7	0	3.7	4.1	1.7	0	0	4	2.3	2.7	0	3.5	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	5.68	2.69	0	0	0	3.4	0	0	4.8	4.3	0	0	0	0	3.4	0	0	0	3.4	4.6	0	4.3	0	4.6	2.7	0	0	3.8	2.7	0	0	0	2.7	0	2.7	4.3	4.9	2.7	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-2.8	2.94	0	0	0	2.7	3.3	4.4	5.1	4	0	3.3	0	4.7	4	2.7	0	2.7	4	4.7	0	4	0	0	0	3.3	0	4.5	4.7	2.7	0	0	2.7	0	2.7	2.7	3.7	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	4.05	4.93	0	0	0	3.9	4.2	0	5	4.2	0	6	3.6	3.6	4.2	3.6	0	4.5	0	4.6	0	3.6	0	4.5	0	0	0	4.8	3.9	0	0	2.9	3.9	0	3.9	0	4.2	0	4.2
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-0.3	0.42	0	0	0	0	5	4.5	5	4.8	0	4.1	4.9	2.1	4.7	2.1	2.7	3.1	3.4	4.4	0	4.2	0	4.2	2.1	3.1	0	4.5	4.4	2.1	3.1	0	4.5	0	2.1	3.4	4.5	0	2.7
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	0.26	1.23	0	0	0	2.8	4.8	3.5	5.1	4.5	0	4.4	3.5	4.9	4.9	3.5	4.1	0	4.4	4.9	0	3.9	0	4.5	0	0	0	4.5	3.5	0	0	0	0	0	0	0	5.1	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	2.85	1.61	0	0	0	0	4.7	0	4.7	4.7	0	2.9	4	0	4.7	0	0	4	4	4.7	0	4.3	0	0	0	2.9	0	4	2.9	0	0	0	2.9	2.9	2.9	0	4.3	3.6	4
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	3.63	1.36	0	0	0	0	5.3	3.7	4.4	4.8	3.7	4.4	0	0	3.7	0	0	3.7	4.8	5.5	0	5.3	0	5.6	0	0	0	3.7	3.7	0	0	0	0	0	4.4	0	5.1	3.7	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-0.68	6.74	2.5	0	0	0	0	0	5.4	4.9	2.5	3.1	0	5	3.8	3.1	0	4.8	4.5	4.4	2.5	0	0	2.5	2.5	3.1	3.1	4.7	4.6	0	0	0	4.2	2.5	2.5	2.5	4	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-0.66	7.8	0	0	0	4.2	2.9	2.9	5	4.9	2.9	5.1	2.9	4.6	3.9	0	0	3.5	2.9	2.9	0	4.2	0	2.9	3.9	3.5	2.9	4.2	3.9	3.5	0	0	3.5	0	3.5	0	4.2	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-1.47	4.86	0	0	0	4.7	0	0	0	4	0	0	0	5.1	0	0	0	0	4	4	0	0	0	0	4.7	0	0	5.1	0	0	0	4	4	0	0	0	0	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	1.67	2.67	0	0	0	2.9	5.2	3.6	5	3.6	0	4.3	0	3.6	4.7	2.9	0	4	5	4	0	3.6	0	5.3	0	0	0	0	4.3	0	0	0	4.3	2.9	3.6	0	4.7	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-2.57	6.63	0	0	0	2.3	0	0	4.8	4.7	0	2.9	4.7	4	4.7	4	0	3.3	4.3	5	0	2.3	0	0	0	3.3	0	4.1	4.4	3.6	0	3.6	4.7	2.3	3.6	2.9	4.6	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	1.12	7.91	0	0	0	4.4	0	0	5.4	5.1	3.7	3.7	0	4	5.7	0	0	3.7	4.6	4.6	4.2	3.7	0	0	0	0	0	5.1	2.7	2.7	0	0	4	0	4.7	0	4.4	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	0.9	6.34	0	0	0	0	0	0	4.7	4.4	0	4.3	2.4	0	3.1	3.1	0	3.5	3.8	4.2	0	0	0	3.1	0	0	0	4.7	3.5	2.4	0	3.8	4	3.1	3.5	3.5	4.6	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	1.39	1.03	0	0	0	3.5	3.5	0	4.2	3.5	3.5	0	3.5	4.2	4.9	0	0	3.5	0	0	0	0	0	0	0	0	0	4.2	3.5	0	0	0	0	0	0	0	4.2	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	2.72	0.39	0	0	0	2.7	5.3	3.1	4.9	4.5	2.7	4.5	4	0	4.1	3.9	1.5	2.5	4.1	4.7	0	4.9	0	4.8	1.5	2.7	0	4.5	3.7	2.1	1.5	2.9	3.6	1.5	3.6	1.5	4.3	2.7	3.1
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	2.59	3.17	0	0	0	2.6	3.9	0	4.8	4.1	0	4.1	2.9	0	4.8	2.9	0	1.6	3.5	3.5	0	4.1	0	4.5	0	2.9	0	3.5	2.9	0	0	3.4	2.9	1.6	1.6	2.2	4	2.2	2.6
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-2.26	4.18	0	0	0	3.2	0	4.2	4.2	4.5	0	0	0	3.2	5.1	0	0	3.8	0	0	0	0	0	3.2	4.2	0	0	5.2	3.8	3.8	0	0	3.2	0	0	0	3.8	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	3.36	2.07	0	0	0	0	4	2.9	4.7	4.3	0	2.9	4	0	2.9	0	0	0	2.9	4.5	0	4	0	2.9	0	0	0	5	0	0	0	0	4.5	3.6	0	0	4.5	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-2.32	7.08	2.9	0	0	2.9	3.5	2.9	5	5.5	0	4.9	4.2	3.5	5.2	3.9	3.9	3.5	4.2	4.4	0	4.4	0	0	4.2	0	0	4.9	3.9	0	0	2.9	4.9	0	4.4	0	4.8	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-3.93	6.16	0	0	0	3	0	3.5	4.8	4.6	2.6	3.2	3.5	3.9	3.5	3	0	3.5	4.5	4.4	0	4.2	0	3.5	2	2.6	0	4.1	3.6	2.6	2	0	2	2	3.6	0	4.5	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	5.31	2.62	0	0	0	0	0	0	4.7	5.4	0	3.6	0	0	4.3	4.7	0	3.6	3.6	5	0	0	0	4.3	3.6	0	0	4.3	0	0	0	0	3.6	0	3.6	4.3	5	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	2.25	7.3	0	0	0	0	3.1	2.4	4.9	4.7	0	4.3	2.4	4.9	3.5	2.4	0	3.1	3.8	3.8	0	4.6	0	4.4	3.1	0	0	3.5	0	2.4	0	0	3.8	3.1	4.3	0	4.7	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	0.58	5.68	0	0	0	0	0	3.4	5.1	5.3	0	0	0	3.4	2.7	3.4	0	4.1	3.4	2.7	0	4.5	0	2.7	2.7	0	0	4.6	3.8	3.4	0	0	4.1	0	4.5	3.4	3.8	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	0.83	5.06	0	0	0	0	3.3	0	4.2	4.4	0	2.6	0	0	2.6	0	0	3.3	2.6	4	0	3.3	0	4.2	2.6	0	0	4.2	3.7	0	0	0	3.3	2.6	2.6	2.6	3.7	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-3.72	5.71	0	1.3	1.3	3.6	1.3	3.8	4.8	4.9	1.3	0	4.2	4.7	4.6	2.9	0	3.3	4.6	4.5	0	4.6	0	4	1.9	2.7	0	4.5	4.3	1.3	0	2.5	3.9	3	3.6	2.9	4.5	1.9	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	1.55	1.66	0	0	0	0	5.1	0	3.7	4.4	0	3.7	3.1	4.1	3.1	0	3.1	0	3.7	5.4	0	3.7	0	4.4	0	3.1	0	3.1	3.7	0	0	0	3.1	0	4.1	3.1	5	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	4.7	3.42	0	0	0	0	0	3.6	4.2	4.2	0	4.2	0	0	5.3	0	0	4.6	0	4.6	0	3.6	0	5.1	0	0	0	0	3.6	0	0	0	0	0	3.6	0	4.9	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	5.4	2.53	0	0	0	2.7	3.4	2.7	4.6	5.1	0	0	3.4	0	5.5	3.4	0	3.4	3.4	2.7	0	0	0	2.7	2.7	0	0	4.9	3.8	2.7	0	4.5	4.5	0	0	0	4.6	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	5.78	2.14	0	0	0	0	0	4.4	4.8	4.8	0	3.8	4.4	0	4.4	0	0	3.8	3.8	4.4	0	0	0	0	0	0	0	4.8	0	0	0	0	4.4	0	0	4.4	4.4	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	2.45	1.31	0	0	0	0	4.2	0	4.9	5.5	3.5	0	0	0	3.5	0	0	3.5	4.6	5.1	0	0	0	5.1	3.5	0	0	4.9	3.5	0	0	0	0	0	0	0	5.3	3.5	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	1.54	6.71	0	0	0	4	3.3	0	5.4	5	4	3.3	0	0	3.3	3.3	0	4.6	4.9	5.3	0	3.3	0	0	0	0	0	5.9	0	0	0	0	4	0	3.3	4.6	4.4	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-2.94	3.1	0	0	0	3.5	3.9	3.5	4.6	4.5	0	2.6	3.9	2.6	2.6	3	0	3.5	3.3	3.8	0	4.7	0	2	3.5	3	0	3.9	4.3	0	0	0	3.7	3	2.6	0	4.6	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-5.48	3.51	0	0	0	4.6	4.1	4.6	5.1	5.5	0	0	0	4.1	5.5	0	0	4.1	5.1	5.5	0	3.7	0	3	0	0	0	3.7	4.4	0	0	0	3	0	0	0	4.4	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-0.1	6.39	3.1	2.7	0	4	0	2.7	4.8	5	0	3.9	3.3	0	5.1	4.1	3.7	3.9	3.7	4.1	0	3.1	0	0	0	2.7	0	4.4	4	0	0	2.1	3.9	2.1	4.9	3.1	5.1	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	0.62	5.35	0	0	0	0	4.4	4.4	4.6	4.8	0	3.1	3.1	2.5	3.5	2.5	0	2.5	3.8	3.8	0	3.8	0	3.5	3.1	2.5	3.1	4.6	4.4	0	0	3.1	4.4	0	0	4.4	5.2	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-3.26	0.16	0	0	0	0	4.5	4.9	5.1	4.8	0	0	4	2.9	4	0	0	3.6	4.2	4.5	0	4.5	0	2.9	0	0	0	2.9	4.5	0	0	0	4.2	2.9	0	4.5	5	0	2.9
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	6.87	0.86	0	0	0	2.9	0	0	3.6	4.4	0	0	0	0	2.9	3.3	0	3.3	2.3	2.3	0	2.9	0	2.3	2.9	0	0	4.7	3.6	2.3	0	0	2.3	0	0	3.6	3.6	2.3	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	1.67	0.28	0	0	0	3.5	5.7	3.5	5.8	5.1	0	4.6	0	0	0	3.5	0	0	3.5	4.9	0	5.1	0	4.2	0	0	0	5.1	3.5	0	0	0	3.5	0	3.5	0	4.6	0	4.6
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	1.48	1.14	0	0	0	4.5	4	0	5.5	2.9	4.6	3.6	0	0	5	0	3.6	2.9	2.9	4.6	0	4.6	0	4.6	4	0	0	2.9	4.6	2.9	0	0	3.6	2.9	3.6	0	4.2	3.6	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-3.26	3.02	0	0	0	2.9	3.6	4.3	5	5	0	0	5.1	4	5.6	4.3	0	2.9	4	3.6	0	3.6	2.9	3.6	2.9	0	0	3.6	5.1	0	0	0	4.5	2.9	0	0	5	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	3.32	4.47	0	0	0	0	0	0	4.8	5	0	3.5	0	0	4.1	3.5	0	0	4.1	5	0	4.8	0	3.5	0	0	0	5.6	4.5	0	0	3.5	3.5	3.5	4.8	4.1	5.4	0	3.5
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	5.81	2.08	0	0	0	2.5	2.5	2.5	3.8	3.5	0	0	0	0	4.5	3.5	0	2.5	4	4.5	0	2.5	0	3.8	2.5	0	0	4.4	0	0	0	0	4.2	0	0	2.5	4.8	3.5	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-1.8	6.67	0	0	0	3.7	0	4.6	4.9	4.9	0	4.1	0	5.4	4.9	3	0	3	3.7	0	0	3	0	3	0	3.7	0	4.1	3.7	0	0	0	0	0	3	3.7	3.7	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-3.94	5.6	0	0	0	0	0	3.9	4.8	2.8	2.8	0	0	3.5	4.2	3.9	0	0	3.9	3.5	0	4.6	0	3.5	0	0	0	4.2	2.8	0	2.8	0	0	0	0	4.2	4.2	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-1.19	0.75	0	0	0	3.4	4.2	4.6	2.4	4.7	0	0	3.4	2.4	4.2	3.4	0	3	4.2	3.4	0	4.5	0	3.4	0	0	0	3.9	3.4	0	0	3	4.5	2.4	4.2	3	4.7	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	5.78	2.42	0	0	0	0	2.5	3.1	4	4.4	0	2.5	4.6	0	4.9	0	0	0	3.5	2.5	0	4.5	0	3.5	0	2.5	0	4.4	3.1	0	0	0	2.5	3.1	2.5	2.5	4.5	0	3.5
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-0.88	2.75	4.4	0	0	0	0	0	4.4	0	0	0	0	5.9	0	0	0	0	0	0	0	0	0	3.7	0	0	0	5.5	0	0	0	4.4	0	0	0	3.7	4.4	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	0.17	-3.61	0	0	0	0	5.4	4.5	5.4	0	0	0	3.8	0	0	0	0	0	3.8	3.8	0	3.8	0	4.5	0	0	0	4.5	0	0	0	0	0	0	0	0	4.5	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-0.82	6.5	0	0	0	0	2.4	3.5	5	4.8	0	3.7	3.1	0	5.1	4	0	4.4	2.4	4.1	0	3.7	0	2.4	3.5	2.4	2.4	4.3	3.1	3.1	0	0	4	0	3.1	2.4	4.3	0	2.4
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	0.06	6.12	2.5	2.5	0	4	0	0	4.8	5.3	0	4.7	0	2.5	5.4	3.5	0	2.5	3.8	3.5	0	3.1	0	2.5	3.5	0	0	4.7	3.8	2.5	0	3.5	3.1	3.1	2.5	3.1	4.9	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-0.5	2.93	2.4	0	0	0	3.7	5.3	5.2	3.9	0	0	3	3.7	3.9	3.4	2.4	4.1	3.4	4.9	0	4.4	0	3.7	0	0	0	4.1	4.6	0	3	2.4	3.7	3.4	3.7	0	4.2	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	4.37	0.63	0	0	0	3.4	5	6	5.6	4.1	0	5	3.4	0	5	4.1	0	3.4	4.1	5.3	0	4.1	0	4.1	0	0	4.1	5	4.1	0	0	3.4	4.1	0	4.1	4.1	4.5	0	4.1
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-0.6	4.79	0	0	0	0	0	0	4.3	2.9	0	4.3	0	5.9	0	4	2.9	4.3	4	4.8	0	0	0	4.3	0	0	0	5.7	3.6	0	0	0	0	0	4.3	3.6	5.2	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	2.82	2.45	0	0	0	0	3.5	0	4.5	3.5	0	0	0	0	0	3.5	0	3.5	4.1	4.5	0	4.5	0	3.5	0	0	0	3.5	3.5	0	0	0	3.5	3.5	0	0	4.5	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-0.82	6.27	0	0	0	3.7	0	3.9	4.8	5	0	2.1	3.9	3.7	4.5	3.7	2.1	2.7	4.2	3.9	0	3.6	0	0	2.7	3.1	0	4.1	4.1	2.1	0	3.7	4	2.7	3.6	3.1	4.7	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	7.34	-0.5	0	0	0	3.4	0	2.8	4.2	5.1	0	5	2.8	2.1	4.4	2.1	0	3.2	4.1	4.6	0	2.1	0	3.2	0	0	0	3.8	3.4	2.1	0	0	3.4	0	2.1	0	4.2	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	0.93	1.41	0	0	0	2.5	3.8	2.5	4	4.6	2.5	4.3	3.5	0	4	0	0	3.1	3.5	3.5	0	3.8	0	4.8	0	0	0	4	3.1	0	0	0	3.8	0	3.8	0	5.3	2.5	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	4.82	1.59	0	0	0	3.4	5.1	3.1	4.7	4.9	0	0	3.8	0	4.8	2.7	2.1	2.1	3.6	2.7	0	4.1	0	3.9	0	0	0	4.6	4.7	2.1	0	0	3.4	3.4	2.7	0	4.9	3.8	3.1
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-3.42	4.21	0	0	0	4.7	2.1	4.3	4.7	4.6	0	2.8	3.6	4.3	5	0	0	0	4.1	3.8	0	4.1	0	4.5	2.8	0	2.1	3.8	4.7	2.1	0	2.8	3.6	3.2	2.8	3.6	4.8	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-0.45	6.09	0	0	0	3.8	0	0	5.3	4.8	2.3	0	0	4.4	5.6	0	0	2.3	2.3	4.8	0	4.4	0	2.3	2.9	2.9	0	5.1	3.8	2.3	0	5	5.2	2.3	4.9	0	4.4	2.9	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	5.27	3.15	0	0	0	3.2	3.2	4.1	4.9	5	2.6	4.6	4.8	0	3.9	4.1	0	2.6	3.2	4.9	0	2.6	3.6	4.9	3.6	2.6	0	4.8	3.6	0	0	4.1	4.1	2.6	3.6	2.6	3.9	0	3.9
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	1.12	7.81	3.8	0	0	3.5	0	0	4.6	5.8	3.2	3.2	0	3.2	3.8	3.2	0	3.5	4.7	4.2	0	3.5	0	2.5	0	0	0	4.7	3.8	0	0	3.2	4.4	2.5	4.5	0	4.6	0	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	-1.42	-0.16	0	0	0	0	4.8	3.6	4.7	5	0	3.6	0	4	4.7	0	5.4	0	2.9	2.9	0	5.2	0	4.8	2.9	3.6	0	4	2.9	0	0	0	0	0	4.3	0	5.5	3.6	0
E8.5b	E85b_Pre_epidermal_keratinocytes	Pre_epidermal_keratinocytes	1.13	0.39	0	0	0	3.4	5.5	2.1	4.7	5.3	2.1	0	4.2	2.8	3.8	0	0	2.8	0	4.1	0	4.5	0	4.8	0	0	0	4.7	4	0	0	2.8	3.8	0	0	2.1	5.2	2.1	0
