day	Anno	celltype	UMAP_1	UMAP_2	Atp1a2	Epha7	Itga11	Lamc3	Mkx	Nfia	Zfpm2	Zic1	Zic4
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.39	-3.09	0	4.1	0	0	0	4.8	4.8	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.67	0.39	0	0	0	0	0	0	4.5	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	0.23	-2.28	0	4.8	0	0	0	0	0	4.8	4.2
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.32	1.08	0	5	0	0	0	0	5	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.62	0.24	0	0	0	0	0	0	5	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-5.3	1.98	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	0.03	1.41	0	0	0	0	0	4.7	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.43	-2	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-5.3	-3.34	0	5.5	0	0	0	3.9	3.9	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.18	-1.62	0	5.2	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.33	4.06	0	5.4	0	0	5.4	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.76	-1.09	0	0	0	0	4.8	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.6	-2.36	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.97	1.09	0	4.4	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.92	4.25	0	4.4	0	0	0	0	6	4.4	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.2	-3.4	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.23	0.72	0	4.3	0	0	0	4.3	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.8	-2.5	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	5.09	-1.55	0	0	0	3.9	0	4.6	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.09	-0.68	0	5	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4	-0.41	0	4.7	0	0	0	0	4.7	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.92	-0.39	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.34	3.75	0	5.5	0	4.8	0	0	0	4.8	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	0.67	-4.94	0	5	0	0	0	5.4	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.78	-1.35	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.21	-2.19	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.89	0.05	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.47	1.09	0	6.1	0	0	0	0	5	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.54	2.75	0	4.9	0	0	4.9	0	4.9	0	4.9
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	0.49	-3.53	0	0	0	0	0	0	4.5	0	0
