day	Anno	celltype	UMAP_1	UMAP_2	marker:Pax3	marker:Six3	up:Mecom	up:Bcl11a	up:Nfib	up:Tox	up:Dach1	up:Cux1	up:Zfhx4	up:Zfhx3	up:Prdm16	up:Dnajc1	up:Six1	up:Zfp800	up:Satb1	up:Sp4	up:Pbx3	up:Satb2	up:Tcf7l2	up:Sox5	down:Prdm1	down:Peg3	down:Lmx1b	down:Nfkb1	down:Zfp644	down:Aff3	down:Creb3l2	down:Mbd2	down:Rarb	down:Nr2f2	down:Nr2f1
E8.5b	E85b_Placodal_area	Placodal_area	0.69	-4.92	0	0	2.8	0	0	0	5.4	4.4	2.8	3.9	0	0	0	3.5	0	2.8	4.4	3.9	3.5	0	3.5	3.5	0	3.5	4.5	5.6	0	2.8	4.4	0	0
E8.5b	E85b_Placodal_area	Placodal_area	1.17	-5.18	0	0	0	0	0	0	4.1	3	2.6	2.6	0	4.4	0	0	2	0	4	3.8	2.6	3.3	3.8	5.5	2	2.6	3	3.7	2	2	3.7	2	0
E8.5b	E85b_Placodal_area	Placodal_area	6.78	1.91	5.2	0	4.1	0	0	0	4.5	4.6	3.4	3.4	0	4.5	0	0	0	0	5.6	2.7	2.7	0	3.8	0	3.4	2.7	4.5	5	2.7	0	0	0	3.8
E8.5b	E85b_Placodal_area	Placodal_area	-2.69	4.09	0	0	0	3.3	0	3.3	0	4.4	0	3.3	0	4.4	0	0	0	0	5.1	0	4	0	4.7	4	0	0	3.3	0	0	0	4	0	0
E8.5b	E85b_Placodal_area	Placodal_area	0.39	1.34	0	0	0	0	0	0	0	3.8	3.8	0	0	0	0	3.8	3.8	0	4.9	0	0	0	3.8	5.7	0	0	0	0	3.8	0	3.8	3.8	0
E8.5b	E85b_Placodal_area	Placodal_area	1.22	-3.61	0	0	0	0	0	0	3.9	3.5	2.8	0	0	2.8	0	0	0	0	4.4	0	2.8	0	0	3.5	3.9	2.8	3.5	3.9	0	2.8	3.5	0	0
E8.5b	E85b_Placodal_area	Placodal_area	-2.52	-0.96	0	0	0	0	0	0	2.9	3.8	4.3	4.6	0	4.2	3.5	0	3.3	0	3.3	0	4.2	0	2.2	0	3.3	3.5	3.3	3.8	2.2	2.2	2.2	3.3	0
E8.5b	E85b_Placodal_area	Placodal_area	3.47	4.58	4.5	3.1	0	0	0	0	4.8	4	4.2	3.1	0	3.1	0	3.1	0	2.5	5.4	0	3.1	3.8	0	0	0	0	2.5	2.5	0	2.5	0	3.5	4.5
E8.5b	E85b_Placodal_area	Placodal_area	-7.5	-2.73	0	0	0	0	0	4	4.3	3.8	3.8	3.7	0	2.8	0	2.2	2.2	0	4.1	4	4	3.8	3.2	0	0	4	4	4.3	2.8	2.8	0	2.2	0
E8.5b	E85b_Placodal_area	Placodal_area	6.59	0.43	3.6	0	0	0	2.5	0	0	4.8	2.5	3.9	0	2.5	2.5	3.6	0	0	4.8	0	3.6	0	3.9	3.2	3.9	4.1	4.9	3.6	2.5	2.5	0	2.5	0
E8.5b	E85b_Placodal_area	Placodal_area	-0.69	-1.28	0	0	0	0	0	3.8	5.9	4.2	0	3.8	0	3.1	0	0	0	0	4.5	0	4.2	3.8	0	4.2	0	0	3.1	5.4	0	0	3.1	4.2	0
E8.5b	E85b_Placodal_area	Placodal_area	1.68	-5.46	0	0	0	0	0	0	0	4	3.5	3.1	0	3.1	0	0	3.1	0	4.8	2.5	4.2	3.1	2.5	4.4	0	2.5	4.6	3.8	0	0	5	0	0
E8.5b	E85b_Placodal_area	Placodal_area	7.2	1.1	3.5	0	0	0	0	0	4	3.5	0	2.2	0	2.8	0	0	0	2.8	3.7	0	0	0	4	2.8	4.1	0	4.4	4.5	2.2	2.2	0	0	0
E8.5b	E85b_Placodal_area	Placodal_area	1.04	-2.87	0	0	0	0	0	0	0	3.4	0	0	0	3.4	0	0	3.4	0	4.4	0	0	0	4.4	3.4	0	0	0	0	3.4	0	4	0	0
E8.5b	E85b_Placodal_area	Placodal_area	1.61	2.42	0	4	2.9	0	4.5	0	3.6	0	0	0	0	3.6	0	3.6	0	2.9	3.6	0	0	3.6	0	0	2.9	0	4	0	2.9	0	0	3.6	0
E8.5b	E85b_Placodal_area	Placodal_area	1.32	7.25	0	2	3.7	0	0	0	4.8	4.1	5.3	3.8	0	4.7	2	2	2	3	5.5	2.6	4.9	4	0	3.3	2.6	0	3.3	4.1	3.7	2	0	3.3	0
E8.5b	E85b_Placodal_area	Placodal_area	0.38	0.21	0	0	0	0	0	0	2.5	4.2	4.5	4.1	0	4.1	2.5	0	0	0	6	0	2.5	0	4.5	4.6	3.6	0	4.1	3.8	3.2	0	2.5	3.6	0
E8.5b	E85b_Placodal_area	Placodal_area	0.9	6.88	3	3.3	4.5	0	0	2.7	4.3	4	4.9	3	0	3.5	3.3	2	2	3	5.5	0	3	3.9	0	3.3	0	2	2.7	4.2	3	2	0	3	0
E8.5b	E85b_Placodal_area	Placodal_area	4.76	1.92	3.8	0	0	0	0	4.2	4.2	5	5	3.1	0	3.8	0	0	3.1	0	5.6	0	3.1	0	0	0	0	3.1	3.8	4.7	3.1	3.1	0	4.5	4.7
E8.5b	E85b_Placodal_area	Placodal_area	-1.92	-4.35	3.2	0	2.2	0	0	0	5	3.7	2.8	3.9	0	3.5	2.2	0	2.8	0	5	0	5.2	2.8	0	2.2	3.9	3.5	3.2	4.4	0	0	2.2	2.8	2.2
E8.5b	E85b_Placodal_area	Placodal_area	-0.86	7.02	2.9	3.5	4.6	0	0	0	5.3	4.8	4.6	3.9	0	4.2	3.5	2.9	4.2	3.5	0	0	4.6	0	0	3.5	2.9	0	3.5	4.2	2.9	0	0	3.5	0
E8.5b	E85b_Placodal_area	Placodal_area	-1.39	-4.07	2.3	0	2.9	0	0	0	5	3.8	3.6	4.8	0	2.3	0	0	2.3	3.3	3.6	0	4.3	0	2.3	4.8	2.3	2.3	3.6	4.3	2.9	2.3	0	0	2.9
E8.5b	E85b_Placodal_area	Placodal_area	-1.5	6.99	2.9	3.6	2.3	0	0	0	2.3	4.5	4.5	4	2.9	4	2.3	2.3	2.3	2.3	5.4	0	5.5	3.8	2.9	3.8	0	0	3.3	3.3	0	0	2.3	0	0
E8.5b	E85b_Placodal_area	Placodal_area	-5.3	-2.53	3.3	0	0	0	0	0	4	3.7	2.7	0	0	3.3	3.3	3.7	0	2.7	4.7	0	3.7	2.7	0	0	2.7	0	3.3	3.7	0	2.7	0	3.3	0
E8.5b	E85b_Placodal_area	Placodal_area	4.17	2.87	4.8	0	0	0	0	0	0	4.3	5.5	2.6	0	0	0	0	2.6	2.6	5.1	0	4.1	2.6	0	0	4.1	0	3.6	3.6	0	2.6	0	2.6	4.1
E8.5b	E85b_Placodal_area	Placodal_area	0.13	5.58	4.4	0	3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	0	3.7	0	3.7	0	4.4	0	4.8	3.7	0	0	0	0	0
E8.5b	E85b_Placodal_area	Placodal_area	0.5	-1.2	0	0	0	0	0	0	4.4	3.8	3.8	5.1	0	2.1	0	0	2.1	2.1	4.9	2.1	4.2	3.8	4	2.8	3.2	4.7	4	3.2	2.8	3.2	4.3	3.2	3.2
E8.5b	E85b_Placodal_area	Placodal_area	1.12	-2.7	0	0	4.2	0	0	0	5	3.3	0	2.6	0	3.7	0	2.6	0	2.6	4.5	0	4.3	3.7	3.7	5.5	0	0	4.2	4.5	0	0	0	0	0
E8.5b	E85b_Placodal_area	Placodal_area	0.89	1.71	0	0	2.2	0	0	0	2.6	2.8	3.2	1.6	0	2.8	1.6	1.6	0	2.2	4.2	0	2.6	2.2	3	4.9	0	2.8	3.2	1.6	1.6	0	0	3.4	0
E8.5b	E85b_Placodal_area	Placodal_area	5.56	2.13	5.1	2.5	0	0	0	0	5.7	3.8	4.9	2.5	0	3.2	2.5	0	0	0	4.6	0	2.5	3.2	0	0	2.5	0	4.7	0	0	0	0	0	0
E8.5b	E85b_Placodal_area	Placodal_area	-4.75	-3.42	3.3	0	2.3	0	2.3	2.9	5	3.8	4.4	4.1	0	4.3	2.3	0	2.9	2.3	4.3	2.3	5.1	2.3	0	2.9	2.3	2.9	4.1	5.3	2.3	0	2.3	2.9	0
E8.5b	E85b_Placodal_area	Placodal_area	4.88	4.67	5	3.1	0	0	0	0	4.6	4.6	4.4	3.7	0	3.1	0	4.1	3.7	0	6.2	3.1	4.1	0	0	4.6	0	3.1	5	0	0	0	3.1	4.6	4.8
E8.5b	E85b_Placodal_area	Placodal_area	6.39	0.99	5.1	0	0	0	0	0	5.6	3.2	4.6	4.1	0	0	3.2	0	2.5	3.2	5.1	4.1	3.6	5.1	3.6	2.5	4.2	0	4.1	3.2	3.2	0	0	0	4.7
E8.5b	E85b_Placodal_area	Placodal_area	-1.19	6.71	0	3.4	3.1	0	0	3.1	0	4.5	5.3	4.3	0	3.4	2.4	0	2.4	3.1	3.7	0	5.7	4.4	0	2.4	0	0	3.9	3.1	3.7	0	2.4	0	0
E8.5b	E85b_Placodal_area	Placodal_area	6.27	1.37	3.6	0	0	0	0	3	4.3	4.3	4.3	3	0	3	3	3	0	3.6	4.9	0	3.6	0	0	0	3	0	4.3	0	0	0	0	0	0
E8.5b	E85b_Placodal_area	Placodal_area	-0.55	-3.38	0	0	0	0	0	0	0	4.1	0	3.5	0	3.5	3.5	0	0	0	0	0	4.5	0	0	4.5	0	0	4.1	3.5	0	0	3.5	0	0
E8.5b	E85b_Placodal_area	Placodal_area	-7.49	-3.42	0	0	0	0	0	0	4.1	3.4	3.4	0	0	4.5	0	0	0	0	4.8	0	0	4.8	0	4.1	0	3.4	3.4	0	3.4	0	0	0	0
E8.5b	E85b_Placodal_area	Placodal_area	-7.63	-3.52	3	0	0	0	0	3	5.2	3	3	0	0	4.1	3	0	0	4.6	3	3	0	4.4	0	0	0	0	4.4	4.6	3	0	0	0	0
E8.5b	E85b_Placodal_area	Placodal_area	6.34	0.79	4.9	0	0	0	0	0	4.7	3	5	3.7	0	4	0	0	0	0	4.9	3	3	0	0	3.7	3	0	4	3	0	0	0	0	3
E8.5b	E85b_Placodal_area	Placodal_area	-3.32	-2.19	0	0	3.8	0	3.6	3.4	3.8	3.4	3.4	3.1	0	3.8	2.8	0	0	2.1	4.2	2.1	3.6	0	3.1	2.8	0	3.1	3.6	4.7	2.1	0	2.8	3.1	0
E8.5b	E85b_Placodal_area	Placodal_area	1.2	4.12	0	4.7	3.7	0	0	3.7	5.8	3.7	3.7	0	0	3.7	3.7	3.7	0	0	3.7	0	4.7	0	0	0	0	0	3.7	0	3.7	0	0	0	0
E8.5b	E85b_Placodal_area	Placodal_area	-2.37	0.16	0	0	0	0	0	0	3.7	3.7	5.2	0	0	3.1	3.1	0	0	0	4.1	0	0	0	3.1	4.4	0	3.1	3.1	3.7	0	0	0	3.1	3.1
E8.5b	E85b_Placodal_area	Placodal_area	-2.34	-2.63	0	0	3.1	0	0	0	0	4.4	0	3.7	0	3.1	3.1	0	3.7	3.7	4.6	3.1	3.7	0	0	4.6	0	0	0	3.1	0	0	3.7	3.1	0
E8.5b	E85b_Placodal_area	Placodal_area	4.46	0.42	4	0	0	0	0	0	4	4.4	3.3	4.7	0	4.4	0	0	4	3.3	4.4	0	0	4.4	3.3	4	3.3	0	4.9	3.3	0	0	0	3.3	4
E8.5b	E85b_Placodal_area	Placodal_area	1.44	-4.01	0	0	0	0	0	0	0	4	0	3.5	0	3.5	0	2.5	0	0	4.1	2.9	1.9	0	4.5	4.6	1.9	2.9	4.5	3.5	1.9	0	4.2	0	1.9
E8.5b	E85b_Placodal_area	Placodal_area	1.89	1.65	0	0	0	0	0	0	3.7	0	0	3	0	0	0	0	3	3	3	0	4.4	3.7	3	0	0	0	4.8	0	0	0	0	0	3
E8.5b	E85b_Placodal_area	Placodal_area	4.07	2.48	5.1	0	0	0	0	0	5.2	3.7	5.1	4.1	0	4.1	0	0	0	4.1	5.2	0	0	4.9	0	3	4.4	0	3.7	3.7	3.7	3	0	0	0
E8.5b	E85b_Placodal_area	Placodal_area	-0.51	6.82	0	4.6	0	0	0	0	0	4.4	5	0	0	4.9	3.3	0	0	0	5	0	5	0	3.3	0	3.3	0	4	4.6	3.3	0	0	0	0
E8.5b	E85b_Placodal_area	Placodal_area	-7.07	-4.44	3.8	0	0	0	0	0	4	4.7	4	4.6	2.4	3.5	0	0	2.4	3.8	4.8	3.5	4.3	3.1	3.8	0	2.4	0	4	4.6	3.8	2.4	3.1	3.1	0
E8.5b	E85b_Placodal_area	Placodal_area	1.44	7.01	0	0	4	0	0	0	0	4.2	4.8	3.7	0	4.8	0	0	2.7	0	6.3	0	5.6	4.4	0	3.7	0	0	4.2	0	0	0	0	3.7	0
