day	Anno	celltype	UMAP_1	UMAP_2	Abcb4	Bcl11a	Etv6	Hba-x	Hbb-bs	Kel	Myb	Nr3c1	Runx1	Slc4a1	Snca	Tspan8
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.78	-3.78	0	0	0	5.3	0	5.9	0	0	0	5.3	5.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.4	-1.52	0	0	6	6.7	0	0	0	0	0	6.4	6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	2.76	-2.77	0	0	0	7.4	0	5.3	0	0	0	6	5.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.95	-3.36	0	0	0	6.9	0	0	0	0	0	5.8	6.2	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	1.93	-3.48	0	0	0	5.9	0	5.2	0	0	0	0	5.2	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.13	1.63	0	0	0	6.4	0	0	0	0	0	4.9	4.2	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.48	-1.29	0	0	0	5.8	0	4.7	0	0	0	0	5.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	2.24	-3.07	0	0	0	6.3	0	0	0	0	0	0	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.52	-3.7	0	0	0	0	0	0	0	0	4.6	4.6	5.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.06	-1.66	0	0	0	6.7	0	0	0	0	0	6.7	5.1	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.84	-0.3	0	0	0	6.7	0	0	0	0	0	6.4	6.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.72	-1.98	0	0	0	7.3	0	5.7	0	0	0	4.6	6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.18	3.4	0	0	4.4	8.6	4.4	0	0	0	0	5	4.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.46	-1.8	0	0	0	7.4	0	0	0	0	0	6.1	4.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.77	-3.92	0	0	0	7.2	0	0	0	0	0	0	5.6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.53	2.32	0	0	0	8.1	0	4.6	0	0	0	5.7	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.64	0.94	0	0	0	6	0	5.6	0	0	0	5.3	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.86	1.16	0	0	0	8.3	0	4	0	0	0	5.9	5.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.09	-2.13	0	0	0	6.6	0	5.5	0	0	0	0	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.06	-2.16	0	0	0	6.5	0	0	0	0	0	5	5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.36	2.87	0	0	0	8	0	0	0	0	0	0	6.1	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.42	-3.39	0	0	0	5.3	0	6.4	0	0	0	6	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.64	-2.07	0	0	0	6.2	0	5	0	0	4.3	5.4	5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.95	-0.1	0	0	0	6.1	0	5.4	0	0	0	6.1	4.7	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.24	-3.41	0	0	0	5.4	0	0	0	0	0	6.1	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	1.51	4.97	0	0	0	8.5	0	0	0	0	0	6.2	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.36	-1.94	0	0	4.6	6	0	0	0	0	0	4.6	4.6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.92	-1.31	0	0	0	7.4	0	4.8	0	0	0	5.2	4.2	0
