day	Anno	celltype	UMAP_1	UMAP_2	marker:Sim1	marker:Pax2	marker:Mecom	up:Dach1	up:Prdm16	up:Grhl2	up:Hnf1b	up:Tfap2a	down:Tshz2	down:Zeb2	down:Zeb1	down:Meis1	down:Ebf1	down:Nr2f2	down:Osr1	down:Meis2	down:Pknox2	down:Hoxa3	down:Zfhx4	down:Hoxc4	down:Tshz1	down:Foxp2	down:Zfp516	down:Zbtb16	down:Foxn3	down:Bnc2	down:Pbx1	down:Hoxa5	down:9430076C15Rik	down:Wt1	down:Hoxc5	down:Rora	down:Hoxc6
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-3.06	3.87	0	5.5	0	3.2	0	0	0	0	3.2	2.5	3.6	0	0	2.5	0	5.2	0	0	0	0	2.5	0	2.5	3.2	4.2	0	4.4	0	0	0	2.5	3.2	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	0.49	0.9	3.2	3.2	3.9	4.9	0	0	0	0	5.2	3.9	0	4.9	0	0	3.2	5.9	3.9	3.9	3.2	4.8	3.9	3.9	3.2	0	3.2	0	5.5	0	0	0	0	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	6.02	-0.13	0	3.3	0	4.8	0	0	0	0	4.6	3.3	0	4.8	0	0	4.6	5.3	5.2	3.3	4.6	0	0	0	0	0	3.3	3.9	4.8	0	0	0	0	3.3	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-3.3	4.31	3.8	5.4	4.3	5.2	0	0	0	0	3.4	2.7	0	3.4	0	2.7	0	4.8	3.4	0	3.4	0	2.7	4.5	3.4	2.7	3.4	2.7	4.5	0	0	0	0	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	4.79	0.43	1.7	3.5	2.3	4.1	0	0	0	0	4.5	4.2	3.6	4.9	2.3	3.6	4.4	5.4	4.4	3.1	4.1	4.2	2.9	2.3	3.6	3.1	3.5	3.3	5.3	2.3	2.3	1.7	0	2.7	1.7
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	6.33	2.34	3.6	0	3.2	4.1	0	0	0	0	4.4	4.1	3.9	4.6	4.1	2.6	3.2	5.9	4.1	2.6	4.6	2.6	3.6	0	0	0	4.3	0	5.8	3.2	2.6	0	0	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	1.72	2.79	3.4	0	0	0	0	0	0	0	4.1	4.3	0	4.3	0	4.3	2.7	5.3	0	0	2.7	0	0	3.8	3.4	0	0	3.8	5.6	2.7	0	0	0	3.4	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	0.48	3.62	0	4.7	0	4.5	0	0	0	0	0	3.5	3.8	4.5	3.1	2.5	0	5.5	0	2.5	3.5	0	3.5	3.8	3.5	3.8	3.5	3.1	5.2	0	0	0	3.1	2.5	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-3.64	0.79	0	5.2	5.2	5.1	0	0	0	0	5.1	4.1	0	4.7	0	2.4	0	5.9	4.2	3.9	2.4	0	2.4	2.4	3.7	3	3.4	0	6.1	3	0	0	0	3	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	4.46	1.29	0	0	2.7	4.9	0	0	0	0	4.5	3.9	2.9	4.9	3.5	3.7	3.3	4.8	4.3	3.3	3.9	3.1	3.1	2.3	3.7	3.3	2.7	1.7	5.2	1.7	0	0	1.7	2.7	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	2.1	2.36	2.5	2.5	3.2	3.9	0	0	1.9	0	4.3	3.9	2.9	4.6	5.1	1.9	3.7	5.8	0	0	4.3	2.5	3.2	1.9	1.9	2.5	2.9	0	6.1	2.9	0	2.5	0	3.2	1.9
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	3.98	0.86	3.2	0	0	5.8	0	0	0	0	4.8	4.6	2.5	5	0	3.2	3.8	5.9	2.5	3.8	2.5	2.5	4.1	0	3.2	3.2	4.1	0	5.8	0	0	0	2.5	0	2.5
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-0.33	4.01	0	4.5	4.4	4.4	0	0	0	0	5.8	3.9	3.3	4.3	0	4.6	0	5.2	4.1	2.2	3.8	3.3	0	2.9	3.5	3.3	4.1	0	5.8	0	0	0	0	4.4	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-0.06	1.02	2.8	4.3	2.8	5.1	0	0	0	0	2.8	0	4.8	4.9	0	3.4	3.4	5.4	2.8	0	2.8	0	2.8	3.8	2.8	0	3.4	4.3	5.7	0	0	0	0	2.8	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-4.59	1.71	3.9	6.1	5.8	4.5	0	0	0	2.6	6.2	3.2	0	3.6	0	0	2.6	4.8	3.2	0	3.2	0	0	0	0	4.3	3.2	0	4.9	2.6	0	0	0	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-3.94	3.44	4.1	5.4	5.1	4.8	0	0	0	0	3	2.5	3.1	4	0	2.5	2.1	5	2.1	2.5	2.5	1.5	2.1	0	2.8	3.4	3.1	0	4.3	2.5	0	0	1.5	3.3	0
